NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"Santa Fe city, New Mexico",35,70500,40641.0,8934.0,13700.0,35082.0,35082.0,38627.0,38627.0,60020.0,93.0,31411.0,48.7,72844,72844,40641,60517,87436,22288,73445,102849,41026,18353,45984,66133,-888888888,11.2,-888888888,12.7,45246,45246,45246,45246,88196,68513,77.7,4609,5.2,33532,47.0,37800,53.0,Santa Fe,New Mexico
"Winston-Salem city, North Carolina",37,75000,101551.0,18592.0,36728.0,94351.0,94351.0,111077.0,111077.0,144947.0,87.2,59194.0,35.6,202207,202207,101551,54228,82231,58564,70102,102463,34025,42987,34400,51030,-888888888,11.3,-888888888,17.1,114871,114871,114871,114871,250337,180578,72.1,21123,8.4,89239,45.8,105631,54.2,Winston-Salem,North Carolina
"Pawtucket city, Rhode Island",44,54640,29735.0,6521.0,10312.0,30055.0,30055.0,31535.0,31535.0,42103.0,81.8,9192.0,17.9,60761,60761,29735,51817,72783,17160,67422,86206,29258,12575,36517,46384,-888888888,11.4,-888888888,17.6,32238,32238,32238,32238,75379,56043,74.3,4747,6.3,28775,49.1,29860,50.9,Pawtucket,Rhode Island
"Providence city, Rhode Island",44,59000,68179.0,17313.0,20908.0,76811.0,76811.0,78826.0,78826.0,96821.0,80.7,40624.0,33.9,153374,153374,68179,60970,88012,37752,68136,105078,32495,30427,41693,61053,-888888888,15.8,-888888888,22.1,78329,78329,78329,78329,189697,133685,70.5,16489,8.7,73501,49.2,75902,50.8,Providence,Rhode Island
"Abilene city, Texas",48,1000,48398.0,9683.0,14332.0,52074.0,52074.0,51372.0,51372.0,67742.0,85.0,20801.0,26.1,101229,101229,48398,51931,67702,29262,61320,81318,25748,19136,36407,42831,-888888888,16.2,-888888888,21.5,53099,53099,53099,53099,129601,91707,70.8,9943,7.7,49461,50.2,49149,49.8,Abilene,Texas
"North Charleston city, South Carolina",45,50875,47324.0,9741.0,18786.0,43901.0,43901.0,51755.0,51755.0,72463.0,90.3,25158.0,31.4,94018,94018,47324,55864,77498,27241,70200,85101,33471,20083,39678,65585,-888888888,16.3,-888888888,19.9,56930,56930,56930,56930,117463,88615,75.4,6000,5.1,43003,46.6,49180,53.4,North Charleston,South Carolina
"Layton city, Utah",49,43660,27176.0,3949.0,5613.0,31525.0,31525.0,32144.0,32144.0,46727.0,93.8,17272.0,34.7,61885,61885,27176,81011,111880,20038,103207,129200,37044,7138,43440,58930,-888888888,6.0,-888888888,7.3,28226,28226,28226,28226,83299,54496,65.4,6905,8.3,28922,49.6,29433,50.4,Layton,Utah
"Lehi city, Utah",49,44320,22067.0,2355.0,2468.0,27862.0,27862.0,24688.0,24688.0,39303.0,98.0,21787.0,54.3,50835,50835,22067,114136,152201,18365,129770,167394,41695,3702,72073,75105,-888888888,2.2,-888888888,3.9,22854,22854,22854,22854,79979,44431,55.6,7254,9.1,24977,52.4,22670,47.6,Lehi,Utah
"Dale City CDP, Virginia",51,21088,22465.0,3017.0,5195.0,29886.0,29886.0,30231.0,30231.0,41666.0,82.9,15340.0,30.5,59096,59096,22465,107272,126177,17683,112174,134187,36274,4782,70617,83771,-888888888,3.7,-888888888,5.3,22758,22758,22758,22758,79782,54213,68.0,5028,6.3,28363,49.7,28682,50.3,Dale Cit,Virginia
"Hampton city, Virginia",51,35000,58181.0,11681.0,19589.0,53621.0,53621.0,59634.0,59634.0,86441.0,93.9,26073.0,28.3,111814,111814,58181,57647,81788,37076,77644,99370,34250,21105,40685,44967,-888888888,7.4,-888888888,10.8,62528,62528,62528,62528,137746,100371,72.9,9547,6.9,51198,47.3,57094,52.7,Hampton,Virginia
"Madison city, Wisconsin",55,48000,123938.0,33629.0,38172.0,114164.0,114164.0,117324.0,117324.0,163037.0,95.2,100878.0,58.9,229022,229022,123938,67270,91365,52544,104651,129343,42473,71394,43770,61115,-888888888,6.6,-888888888,18.0,129717,129717,129717,129717,269162,200169,74.4,21213,7.9,111198,49.3,114258,50.7,Madison,Wisconsin
"Mission city, Texas",48,48768,28128.0,4947.0,7344.0,33419.0,33419.0,33190.0,33190.0,38061.0,72.4,13768.0,26.2,65416,65416,28128,57749,74354,20892,68498,82098,24573,7236,32011,46490,-888888888,19.5,-888888888,21.1,32749,32749,32749,32749,86215,58224,67.5,6940,8.0,31895,50.6,31192,49.4,Mission,Texas
"Missouri City city, Texas",48,48804,29801.0,3916.0,8292.0,28215.0,28215.0,34301.0,34301.0,48969.0,90.0,23701.0,43.5,62131,62131,29801,81451,98413,21855,98193,106053,37776,7946,75078,76741,-888888888,4.6,-888888888,5.2,31024,31024,31024,31024,76462,57908,75.7,4376,5.7,26783,44.7,33201,55.3,Missouri City,Texas
"Richardson city, Texas",48,61796,45148.0,8417.0,10713.0,45925.0,45925.0,49415.0,49415.0,70975.0,91.3,43153.0,55.5,94122,94122,45148,85580,117252,28833,102494,140132,46080,16315,63457,74933,-888888888,7.2,-888888888,9.8,47008,47008,47008,47008,116369,86745,74.5,6590,5.7,44833,48.9,46841,51.1,Richardson,Texas
"Warwick city, Rhode Island",44,74300,36595.0,6790.0,12250.0,33357.0,33357.0,37593.0,37593.0,56827.0,94.0,21166.0,35.0,69923,69923,36595,72025,89306,21231,94742,106567,39014,15364,43863,62171,-888888888,3.8,-888888888,7.1,38375,38375,38375,38375,83014,64560,77.8,5545,6.7,31633,46.4,36519,53.6,Warwick,Rhode Island
"Rochester city, New York",36,63000,93263.0,24915.0,39569.0,82434.0,82434.0,92725.0,92725.0,116419.0,82.0,39985.0,28.1,172160,172160,93263,41980,58879,43991,51124,68942,26950,49272,33905,46789,-888888888,21.8,-888888888,27.8,103333,103333,103333,103333,210594,158443,75.2,13723,6.5,78363,47.1,88120,52.9,Rochester,New York
"Knoxville city, Tennessee",47,40000,85151.0,20951.0,31509.0,79691.0,79691.0,84114.0,84114.0,111686.0,89.9,43799.0,35.2,161269,161269,85151,45700,69750,39259,66760,95885,31855,45892,32079,45528,-888888888,11.9,-888888888,19.8,94457,94457,94457,94457,192657,143180,74.3,14170,7.4,76774,48.7,80719,51.3,Knoxville,Tennessee
"League City city, Texas",48,41980,44419.0,4382.0,8980.0,43462.0,43462.0,46764.0,46764.0,73638.0,94.7,37013.0,47.6,88048,88048,44419,101382,125248,32790,130967,143775,47988,11629,61787,69462,-888888888,4.1,-888888888,7.7,45107,45107,45107,45107,114664,82884,72.3,7278,6.3,40656,48.0,44122,52.0,League City,Texas
"Leander city, Texas",48,42016,24031.0,1717.0,4339.0,25359.0,25359.0,26898.0,26898.0,43446.0,96.7,21977.0,48.9,50960,50960,24031,120165,141481,19016,129478,154366,49365,-999999999,66402,-999999999,-888888888,7.2,-888888888,8.3,24692,24692,24692,24692,68993,46569,67.5,4300,6.2,23518,47.8,25681,52.2,Leander,Texas
"Ponce zona urbana, Puerto Rico",72,63820,,,,,,,,,,,,93878,93878,42404,17207,30842,24969,25433,38485,13119,17435,11382,17900,-888888888,42.6,-888888888,47.5,55535,55535,55535,55535,112005,88017,78.6,6109,5.5,42219,45.9,49733,54.1,Ponce zona u,Puerto Rico
"Waukesha city, Wisconsin",55,84250,31139.0,5214.0,10079.0,28437.0,28437.0,32065.0,32065.0,47260.0,95.1,20241.0,40.7,59477,59477,31139,69533,88781,18242,89354,110033,38381,12897,41711,55024,-888888888,4.3,-888888888,8.1,31815,31815,31815,31815,71254,55115,77.4,4630,6.5,27037,46.5,31049,53.5,Waukesha,Wisconsin
"Gresham city, Oregon",41,31250,43487.0,8652.0,12847.0,44009.0,44009.0,47240.0,47240.0,68667.0,88.7,17932.0,23.2,89369,89369,43487,66129,79403,29346,81158,93215,31425,14141,35909,46845,-888888888,9.8,-888888888,14.0,46296,46296,46296,46296,113106,81960,72.5,7129,6.3,41844,48.5,44478,51.5,Gresham,Oregon
"Dayton city, Ohio",39,21000,55114.0,13671.0,24168.0,50848.0,50848.0,58536.0,58536.0,73172.0,87.3,16726.0,20.0,107339,107339,55114,39315,50971,28379,49026,62139,21484,26735,30251,36552,-888888888,20.0,-888888888,27.6,68591,68591,68591,68591,137581,93041,67.6,13588,9.9,48377,46.4,55873,53.6,Dayton,Ohio
"Allentown city, Pennsylvania",42,2000,47204.0,11980.0,15298.0,48904.0,48904.0,52619.0,52619.0,65684.0,78.9,13095.0,15.7,100079,100079,47204,46745,60130,27259,55815,68726,23667,19945,30612,43090,-888888888,12.7,-888888888,17.3,51405,51405,51405,51405,125934,91714,72.8,7577,6.0,46931,47.9,50999,52.1,Allentown,Pennsylvania
"Portland city, Oregon",41,59000,286734.0,65543.0,82822.0,274072.0,274072.0,278814.0,278814.0,452051.0,93.3,263232.0,54.3,546399,546399,286734,79057,108391,138910,104230,138450,49003,147824,55849,76193,-888888888,6.4,-888888888,12.0,303483,303483,303483,303483,642218,515575,80.3,31016,4.8,264448,49.4,270792,50.6,Portland,Oregon
"Bethlehem city, Pennsylvania",42,6088,30099.0,5924.0,10998.0,31970.0,31970.0,33112.0,33112.0,43643.0,87.5,16438.0,33.0,64256,64256,30099,57320,78603,17123,66204,91794,32054,12976,42769,55806,-888888888,11.9,-888888888,19.2,31754,31754,31754,31754,75134,56652,75.4,6607,8.8,30589,48.8,32075,51.2,Bethlehem,Pennsylvania
"Tulsa city, Oklahoma",40,75000,173943.0,41387.0,57604.0,160796.0,160796.0,166952.0,166952.0,240131.0,88.0,96412.0,35.3,322290,322290,173943,51008,77263,96493,65552,96343,33002,77450,35623,50312,-888888888,15.0,-888888888,18.9,194402,194402,194402,194402,411905,296600,72.0,25862,6.3,152425,48.8,159631,51.2,Tulsa,Oklahoma
"Baytown city, Texas",48,6128,28264.0,5462.0,8051.0,28321.0,28321.0,29106.0,29106.0,37635.0,78.4,7752.0,16.1,57052,57052,28264,48287,70160,19497,58957,78180,25261,8767,36285,51135,-888888888,15.2,-888888888,16.8,30642,30642,30642,30642,79676,52738,66.2,4472,5.6,27086,49.5,27640,50.5,Baytown,Texas
"Brownsville city, Texas",48,10768,56522.0,8412.0,17743.0,67222.0,67222.0,74674.0,74674.0,76874.0,70.7,22764.0,20.9,138686,138686,56522,47435,64324,45416,54066,70326,19429,11106,14656,34263,-888888888,21.2,-888888888,22.0,62000,62000,62000,62000,187840,120861,64.3,16657,8.9,62441,47.0,70283,53.0,Brownsville,Texas
"Alexandria city, Virginia",51,1000,72024.0,16766.0,25450.0,61885.0,61885.0,67804.0,67804.0,111128.0,94.0,77297.0,65.4,128797,128797,72024,101162,141427,31269,139944,188629,68020,40755,80522,103454,-888888888,6.5,-888888888,10.4,80350,80350,80350,80350,154706,124496,80.5,4885,3.2,60494,47.9,65866,52.1,Alexandria,Virginia
"Grand Prairie city, Texas",48,30464,64208.0,10595.0,17630.0,74609.0,74609.0,79353.0,79353.0,104184.0,84.8,34058.0,27.7,150048,150048,64208,68473,86747,47719,77536,94185,28698,16489,48105,59958,-888888888,11.6,-888888888,12.3,67743,67743,67743,67743,197338,133835,67.8,17482,8.9,68526,48.1,73910,51.9,Grand Prairie,Texas
"Everett city, Washington",53,22640,45029.0,9901.0,13183.0,46922.0,46922.0,45579.0,45579.0,71986.0,90.8,22352.0,28.2,90807,90807,45029,70023,90705,24529,91911,109016,38113,20500,49012,62815,-888888888,6.4,-888888888,10.2,48306,48306,48306,48306,110820,85286,77.0,5762,5.2,45029,50.9,43501,49.1,Everett,Washington
"Philadelphia city, Pennsylvania",42,60000,660921.0,147154.0,270111.0,603038.0,603038.0,686165.0,686165.0,947562.0,86.9,378996.0,34.8,1270642,1270642,660921,52899,77734,352498,61775,91456,32707,308423,37802,58421,-888888888,18.1,-888888888,22.8,733015,733015,733015,733015,1576251,1172084,74.4,96020,6.1,576153,46.6,660029,53.4,Philadelphia,Pennsylvania
"Newport News city, Virginia",51,56000,77489.0,17034.0,28667.0,70208.0,70208.0,77966.0,77966.0,109379.0,91.4,33424.0,27.9,144914,144914,77489,58937,73854,42822,73323,88522,31802,34667,41863,53240,-888888888,12.3,-888888888,15.4,81913,81913,81913,81913,184587,131545,71.3,13748,7.4,66786,47.2,74778,52.8,Newport News,Virginia
"Green Bay city, Wisconsin",55,31000,46857.0,10445.0,14622.0,43190.0,43190.0,45611.0,45611.0,68032.0,91.5,20166.0,27.1,88157,88157,46857,51908,69038,25092,64794,81557,30951,21765,38250,51863,-888888888,11.9,-888888888,14.5,48574,48574,48574,48574,107020,80914,75.6,6560,6.1,40906,48.2,43940,51.8,Green Bay,Wisconsin
"Lewisville city, Texas",48,42508,46897.0,8317.0,14819.0,43723.0,43723.0,49350.0,49350.0,73329.0,91.5,29988.0,37.4,91947,91947,46897,75915,91467,29353,87067,105459,38205,17544,54389,65084,-888888888,7.6,-888888888,9.7,49094,49094,49094,49094,112853,86358,76.5,5581,4.9,42289,47.0,47701,53.0,Lewisville,Texas
"Vancouver city, Washington",53,74060,81814.0,16852.0,24660.0,80174.0,80174.0,82946.0,82946.0,127243.0,91.0,41829.0,29.9,159927,159927,81814,69993,91911,46763,85002,113053,39959,35051,46909,60105,-888888888,7.1,-888888888,12.8,86065,86065,86065,86065,192176,150688,78.4,10089,5.2,77604,49.5,79191,50.5,Vancouver,Washington
"Milwaukee city, Wisconsin",55,53000,232362.0,59623.0,91583.0,211765.0,211765.0,234419.0,234419.0,307384.0,86.2,97240.0,27.3,436763,436763,232362,46637,64459,125691,51513,71734,26998,106671,37552,52789,-888888888,20.1,-888888888,23.8,257812,257812,257812,257812,569326,391192,68.7,45091,7.9,199484,47.3,222454,52.7,Milwaukee,Wisconsin
"Round Rock city, Texas",48,63500,49740.0,9385.0,13349.0,50742.0,50742.0,51151.0,51151.0,76659.0,93.1,35513.0,43.1,100568,100568,49740,79649,98320,34596,96093,115726,38765,15144,40617,55922,-888888888,6.3,-888888888,8.4,51290,51290,51290,51290,127130,91537,72.0,9682,7.6,47233,49.7,47882,50.3,Round Rock,Texas
"Hillsboro city, Oregon",41,34100,40891.0,7846.0,9340.0,45729.0,45729.0,43538.0,43538.0,68370.0,91.8,33072.0,44.4,88418,88418,40891,97436,112326,25874,114157,129078,43169,15017,70569,80264,-888888888,4.4,-888888888,6.4,41432,41432,41432,41432,106651,79948,75.0,6687,6.3,43325,50.7,42106,49.3,Hillsboro,Oregon
"Franklin city, Tennessee",47,27740,33275.0,3964.0,8156.0,33625.0,33625.0,35993.0,35993.0,54971.0,96.9,37103.0,65.4,67966,67966,33275,104515,137005,23309,129816,163085,54369,9966,53544,75551,-888888888,-999999999.0,-888888888,2.7,34177,34177,34177,34177,85473,61359,71.8,5592,6.5,31330,47.6,34552,52.4,Franklin,Tennessee
"Beaumont city, Texas",48,7000,46375.0,11169.0,17189.0,42339.0,42339.0,45896.0,45896.0,64463.0,88.8,18487.0,25.5,86197,86197,46375,51361,70337,26882,60173,76037,29653,19493,41235,57906,-888888888,19.4,-888888888,22.3,54306,54306,54306,54306,112559,78790,70.0,7759,6.9,40467,47.8,44235,52.2,Beaumont,Texas
"Bryan city, Texas",48,10912,32910.0,7524.0,11251.0,35133.0,35133.0,35598.0,35598.0,44194.0,82.8,16663.0,31.2,69752,69752,32910,44017,61340,17361,54240,73821,24185,15549,29397,44900,-888888888,17.5,-888888888,26.4,37247,37247,37247,37247,86851,63383,73.0,6500,7.5,33354,49.7,33800,50.3,Bryan,Texas
"College Station city, Texas",48,15976,41586.0,10879.0,12337.0,51790.0,51790.0,49178.0,49178.0,50587.0,94.8,27929.0,52.3,99251,99251,41586,49215,81213,20760,84154,122092,28463,20826,30125,38968,-888888888,11.3,-888888888,26.7,48960,48960,48960,48960,120032,75125,62.6,17125,14.3,49664,51.2,47243,48.8,College Station,Texas
"Federal Way city, Washington",53,23515,35047.0,6742.0,9604.0,38893.0,38893.0,38629.0,38629.0,58604.0,86.6,18389.0,27.2,76998,76998,35047,78734,97404,24707,83687,104396,35358,10340,58410,67739,-888888888,14.3,-888888888,16.4,36274,36274,36274,36274,99028,71800,72.5,4953,5.0,37387,50.3,36955,49.7,Federal Way,Washington
"Pittsburgh city, Pennsylvania",42,61000,136747.0,35581.0,51099.0,126448.0,126448.0,138617.0,138617.0,194373.0,93.8,98611.0,47.6,262349,262349,136747,57821,85004,59474,81448,112883,39779,77273,40148,62503,-888888888,13.5,-888888888,20.2,159435,159435,159435,159435,300454,233464,77.7,24748,8.2,122663,47.6,135155,52.4,Pittsburgh,Pennsylvania
"Norfolk city, Virginia",51,57000,97596.0,25019.0,32073.0,102958.0,102958.0,92875.0,92875.0,132140.0,89.0,52280.0,35.2,194344,194344,97596,58591,77096,52434,75077,91962,33362,45162,41619,55688,-888888888,10.6,-888888888,14.7,102423,102423,102423,102423,235089,172507,73.4,15147,6.4,99553,52.6,89846,47.4,Norfolk,Virginia
"Guaynabo zona urbana, Puerto Rico",72,32522,,,,,,,,,,,,63354,63354,26979,53479,75642,17671,68662,93821,29510,9308,25657,35529,-888888888,17.3,-888888888,20.8,31709,31709,31709,31709,72088,58698,81.4,4603,6.4,27976,45.6,33411,54.4,Guaynabo zona u,Puerto Rico
"Pasco city, Washington",53,53545,25084.0,2567.0,5740.0,30939.0,30939.0,30588.0,30588.0,36324.0,76.2,8424.0,17.7,60101,60101,25084,82561,97104,20306,82439,95747,30012,4778,54932,82679,-888888888,8.0,-888888888,12.0,26216,26216,26216,26216,84190,52976,62.9,7262,8.6,28626,50.3,28238,49.7,Pasco,Washington
"Suffolk city, Virginia",51,76432,37383.0,5520.0,10428.0,37233.0,37233.0,40031.0,40031.0,61033.0,92.8,21114.0,32.1,76772,76772,37383,79556,103422,27221,94662,111443,40284,10162,52604,78168,-888888888,9.2,-888888888,10.2,39558,39558,39558,39558,96194,70576,73.4,5724,6.0,35300,48.1,38125,51.9,Suffolk,Virginia
"San Angelo city, Texas",48,64472,39065.0,8895.0,11205.0,40344.0,40344.0,41050.0,41050.0,55173.0,85.8,14921.0,23.2,79426,79426,39065,60030,72852,22891,68311,87871,28769,16174,27422,48890,-888888888,8.9,-888888888,14.2,45230,45230,45230,45230,101063,71094,70.3,8645,8.6,38083,49.5,38924,50.5,San Angelo,Texas
"San Antonio city, Texas",48,65000,549245.0,113971.0,170743.0,564748.0,564748.0,592301.0,592301.0,787609.0,83.4,266972.0,28.3,1135774,1135774,549245,54923,74838,355461,66015,86848,28860,193784,37383,48727,-888888888,13.3,-888888888,17.0,603670,603670,603670,603670,1451863,1030772,71.0,102597,7.1,535716,48.8,561350,51.2,San Antonio,Texas
"San Marcos city, Texas",48,65600,27015.0,7200.0,11404.0,27519.0,27519.0,31287.0,31287.0,27084.0,83.3,9897.0,30.5,58190,58190,27015,36080,52262,11234,47238,70422,20854,15781,24561,36747,-888888888,23.3,-888888888,32.4,28845,28845,28845,28845,68578,47133,68.7,8194,11.9,26856,47.2,30056,52.8,San Marcos,Texas
"Broken Arrow city, Oklahoma",40,9050,45138.0,6360.0,11552.0,44114.0,44114.0,50256.0,50256.0,76685.0,95.0,27735.0,34.3,92715,92715,45138,73628,90681,32123,86346,104262,35079,13015,40996,52349,-888888888,6.1,-888888888,8.8,46629,46629,46629,46629,117775,85833,72.9,7833,6.7,41583,46.7,47478,53.3,Broken Arrow,Oklahoma
"Mount Vernon city, New York",36,49121,26465.0,4710.0,9669.0,27446.0,27446.0,33632.0,33632.0,42914.0,82.2,18684.0,35.8,60121,60121,26465,78562,100127,18707,95854,116174,36888,7758,43862,52214,-888888888,11.6,-888888888,13.5,27528,27528,27528,27528,72584,54697,75.4,5683,7.8,25875,44.7,32050,55.3,Mount Vernon,New York
"Allen city, Texas",48,1924,37461.0,3875.0,6556.0,42261.0,42261.0,41728.0,41728.0,68589.0,95.0,39080.0,54.1,82348,82348,37461,107438,136507,30137,130058,149315,49106,7324,67083,80432,-888888888,4.3,-888888888,5.5,38372,38372,38372,38372,106868,76078,71.2,7426,6.9,39712,49.7,40162,50.3,Allen,Texas
"Arlington CDP, Virginia",51,3000,108396.0,28261.0,31317.0,99050.0,99050.0,98078.0,98078.0,163284.0,95.3,131184.0,76.6,195525,195525,108396,125651,171647,48572,172122,230273,80996,59824,101159,121649,-888888888,5.6,-888888888,8.4,119446,119446,119446,119446,232965,187568,80.5,8344,3.6,95864,50.3,94821,49.7,Arlingto,Virginia
"Conroe city, Texas",48,16432,37297.0,5662.0,11848.0,37610.0,37610.0,39223.0,39223.0,53812.0,89.4,23462.0,39.0,74100,74100,37297,68428,88297,22703,95378,105599,35206,14594,42720,59759,-888888888,7.8,-888888888,9.6,39740,39740,39740,39740,94401,67511,71.5,8773,9.3,34475,47.9,37433,52.1,Conroe,Texas
"New Braunfels city, Texas",48,50820,37815.0,7319.0,9006.0,37489.0,37489.0,40016.0,40016.0,56006.0,87.2,22944.0,35.7,76262,76262,37815,89073,102277,24719,93324,113510,39081,13096,50278,78539,-888888888,1.8,-888888888,4.2,41529,41529,41529,41529,96630,71502,74.0,5028,5.2,35514,48.0,38489,52.0,New Braunfels,Texas
"Canton city, Ohio",39,12000,31168.0,7506.0,11182.0,27993.0,27993.0,29795.0,29795.0,43034.0,87.6,7886.0,16.1,56665,56665,31168,40934,54723,18296,52656,63768,24626,12872,27781,36704,-888888888,20.6,-888888888,25.5,36101,36101,36101,36101,70438,52366,74.3,4730,6.7,27176,49.7,27468,50.3,Canton,Ohio
"Salem city, Oregon",41,64900,64959.0,10076.0,19549.0,69661.0,69661.0,72221.0,72221.0,102075.0,88.0,33514.0,28.9,139835,139835,64959,63927,85482,41609,79590,97970,32046,23350,42750,58363,-888888888,9.6,-888888888,12.8,69247,69247,69247,69247,177727,126750,71.3,12479,7.0,65948,48.9,68785,51.1,Salem,Oregon
"West Jordan city, Utah",49,82950,36309.0,4935.0,6398.0,44726.0,44726.0,43343.0,43343.0,65851.0,92.5,18691.0,26.3,86023,86023,36309,86252,99163,30135,92479,104735,31248,6174,50959,62769,-888888888,8.5,-888888888,8.8,37776,37776,37776,37776,116544,77784,66.7,9473,8.1,41031,50.1,40850,49.9,West Jordan,Utah
"West Valley City city, Utah",49,83470,42003.0,7979.0,8895.0,53316.0,53316.0,52774.0,52774.0,66403.0,80.0,11389.0,13.7,104188,104188,42003,74348,85807,31884,77496,89659,26074,10119,48120,57718,-888888888,5.5,-888888888,8.2,43083,43083,43083,43083,139094,91290,65.6,12155,8.7,50184,50.6,49062,49.4,West Valley City,Utah
"Harlingen city, Texas",48,32372,27051.0,5181.0,8506.0,26191.0,26191.0,28635.0,28635.0,37668.0,79.3,11125.0,23.4,54194,54194,27051,50861,63952,18453,56977,70543,24360,8598,25186,43159,-888888888,24.0,-888888888,28.3,30752,30752,30752,30752,71928,49290,68.5,4850,6.7,24062,46.9,27280,53.1,Harlingen,Texas
"Killeen city, Texas",48,39148,57875.0,12099.0,19920.0,53153.0,53153.0,60011.0,60011.0,80515.0,89.7,19441.0,21.6,111134,111134,57875,51619,62241,37780,60839,69939,23909,20095,36361,44266,-888888888,18.4,-888888888,20.8,63491,63491,63491,63491,156260,99684,63.8,10687,6.8,50200,47.2,56176,52.8,Killeen,Texas
"Scranton city, Pennsylvania",42,69000,30096.0,5325.0,9380.0,30734.0,30734.0,32425.0,32425.0,44124.0,87.0,12304.0,24.3,62305,62305,30096,54279,65623,17790,71096,79446,26688,12306,28603,42434,-888888888,12.6,-888888888,17.9,35098,35098,35098,35098,75867,55432,73.1,6228,8.2,28561,47.4,31663,52.6,Scranton,Pennsylvania
"San Juan zona urbana, Puerto Rico",72,76770,,,,,,,,,,,,276505,276505,129554,22556,45487,70880,28976,56211,20321,58674,17062,30493,-888888888,38.9,-888888888,39.7,174398,174398,174398,174398,320456,257403,80.3,18488,5.8,119438,44.3,150148,55.7,San Juan zona u,Puerto Rico
"Yakima city, Washington",53,80010,37282.0,7555.0,11517.0,36878.0,36878.0,39504.0,39504.0,47613.0,74.8,13134.0,20.6,75497,75497,37282,52689,66335,22555,68647,81230,25737,14727,28652,38280,-888888888,10.6,-888888888,16.2,38297,38297,38297,38297,96565,68497,70.9,7005,7.3,35088,48.5,37311,51.5,Yakima,Washington
"Spring CDP, Texas",48,69596,23096.0,4499.0,5156.0,28898.0,28898.0,26651.0,26651.0,41660.0,90.9,12238.0,26.7,54519,54519,23096,79884,89391,18645,79003,90518,29046,-999999999,57190,-999999999,-888888888,5.5,-888888888,9.2,23562,23562,23562,23562,71893,50505,70.3,4242,5.9,28127,53.1,24834,46.9,Sprin,Texas
"Norman city, Oklahoma",40,52500,53446.0,11322.0,15286.0,54177.0,54177.0,56729.0,56729.0,74287.0,93.6,36625.0,46.1,109954,109954,53446,57786,79343,29505,88224,106617,34554,23941,31487,44217,-888888888,11.5,-888888888,18.8,57307,57307,57307,57307,128087,92914,72.5,12803,10.0,52250,48.7,54931,51.3,Norman,Oklahoma
"Chattanooga city, Tennessee",47,14000,77299.0,17445.0,27193.0,69832.0,69832.0,80490.0,80490.0,112732.0,90.1,42968.0,34.3,147712,147712,77299,55065,79320,42160,76706,101693,34297,35139,34392,49706,-888888888,12.2,-888888888,18.4,86385,86385,86385,86385,182111,135935,74.6,11581,6.4,66778,46.2,77853,53.8,Chattanooga,Tennessee
"Amarillo city, Texas",48,3000,82129.0,17519.0,23088.0,73318.0,73318.0,82094.0,82094.0,108486.0,85.6,34960.0,27.6,152535,152535,82129,55572,78625,50699,67743,94580,32931,31430,35723,50706,-888888888,12.1,-888888888,16.6,89810,89810,89810,89810,198781,137502,69.2,13466,6.8,69481,47.4,76995,52.6,Amarillo,Texas
"Rapid City city, South Dakota",46,52980,32471.0,7403.0,8497.0,31838.0,31838.0,30136.0,30136.0,48372.0,94.6,19396.0,37.9,60706,60706,32471,61495,78900,17988,80734,101889,34144,14483,35425,48533,-888888888,8.3,-888888888,12.2,34819,34819,34819,34819,76173,56155,73.7,5396,7.1,29853,50.9,28751,49.1,Rapid City,South Dakota
"Corpus Christi city, Texas",48,17000,117366.0,24139.0,32886.0,125826.0,125826.0,130884.0,130884.0,178724.0,85.2,51559.0,24.6,251782,251782,117366,59812,78283,78935,70986,89025,29969,38431,37524,52448,-888888888,14.1,-888888888,18.2,137431,137431,137431,137431,317768,228272,71.8,24030,7.6,118888,49.0,123914,51.0,Corpus Christi,Texas
"Longview city, Texas",48,43888,31072.0,5713.0,10306.0,30577.0,30577.0,34383.0,34383.0,44067.0,86.2,10821.0,21.2,63444,63444,31072,51209,72827,19569,67226,89131,28292,11503,28652,40322,-888888888,14.3,-888888888,18.5,35008,35008,35008,35008,81877,56129,68.6,6837,8.4,29098,47.8,31796,52.2,Longview,Texas
"North Richland Hills city, Texas",48,52356,26937.0,4016.0,7257.0,29099.0,29099.0,29491.0,29491.0,45595.0,90.7,19157.0,38.1,57731,57731,26937,78496,98367,17747,88564,112661,39348,9190,59390,63815,-888888888,8.0,-888888888,8.8,27961,27961,27961,27961,70212,53749,76.6,4537,6.5,27309,49.0,28382,51.0,North Richland Hills,Texas
