NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"St. Cloud city, Minnesota",27,56896,30029.0,7423.0,8636.0,29734.0,29734.0,29227.0,29227.0,40473.0,94.5,11730.0,27.4,58592,58592,30029,53036,68204,16050,74589,88478,29911,13979,38572,42389,-888888888,11.8,-888888888,17.4,31034,31034,31034,31034,69809,50434,72.2,6665,9.5,28727,50.7,27893,49.3,St. Cloud,Minnesota
"Las Cruces city, New Mexico",35,39380,45991.0,10408.0,16541.0,43117.0,43117.0,46524.0,46524.0,60045.0,85.5,23590.0,33.6,88307,88307,45991,42058,64036,26209,52309,77133,26291,19782,32556,45450,-888888888,13.2,-888888888,18.4,48065,48065,48065,48065,112907,79773,70.7,8684,7.7,40920,47.9,44581,52.1,Las Cruces,New Mexico
"Springfield city, Missouri",29,70000,79232.0,20560.0,26125.0,69108.0,69108.0,74873.0,74873.0,100239.0,92.7,35077.0,32.4,142675,142675,79232,41808,60529,37895,57402,79269,28056,41337,28245,41497,-888888888,10.4,-888888888,17.4,83888,83888,83888,83888,169850,128082,75.4,12247,7.2,67023,48.1,72237,51.9,Springfield,Missouri
"Wyoming city, Michigan",26,88940,28253.0,6071.0,8047.0,29039.0,29039.0,29656.0,29656.0,39945.0,83.1,10663.0,22.2,56718,56718,28253,61583,70396,17623,74616,81910,26584,10630,37813,46219,-888888888,8.3,-888888888,10.3,29880,29880,29880,29880,76747,52230,68.1,5825,7.6,26980,49.4,27589,50.6,Wyoming,Michigan
"St. Paul city, Minnesota",27,58000,121964.0,26186.0,40827.0,120467.0,120467.0,125484.0,125484.0,178588.0,88.6,84595.0,42.0,242177,242177,121964,66098,90598,65008,87023,109254,36313,56956,50085,64614,-888888888,10.8,-888888888,15.6,131275,131275,131275,131275,307176,218499,71.1,22127,7.2,114221,49.0,118959,51.0,St. Paul,Minnesota
"Charlotte city, North Carolina",37,12000,365269.0,78497.0,121462.0,341875.0,341875.0,375102.0,375102.0,540044.0,90.1,292679.0,48.8,704784,704784,365269,70869,105574,204925,88792,130882,44593,160344,52947,69914,-888888888,7.9,-888888888,11.3,393631,393631,393631,393631,879697,649539,73.8,56557,6.4,325982,47.7,358021,52.3,Charlotte,North Carolina
"Buffalo city, New York",36,11000,122569.0,30149.0,50257.0,103570.0,103570.0,121235.0,121235.0,159746.0,86.6,60539.0,32.8,221386,221386,122569,40669,60652,60850,50140,73933,27269,61719,30805,44935,-888888888,21.8,-888888888,26.4,137222,137222,137222,137222,276804,202543,73.2,18362,6.6,98989,46.1,115869,53.9,Buffalo,New York
"Rochester Hills city, Michigan",26,69035,28831.0,4665.0,5422.0,31845.0,31845.0,30326.0,30326.0,49339.0,96.0,31631.0,61.6,61206,61206,28831,103023,136223,19852,129108,165219,52293,8979,52970,71473,-888888888,6.2,-888888888,6.4,30934,30934,30934,30934,76021,54779,72.1,6399,8.4,30298,51.7,28306,48.3,Rochester Hills,Michigan
"Woodbury city, Minnesota",27,71428,28751.0,3044.0,6382.0,29570.0,29570.0,30593.0,30593.0,50100.0,98.9,32735.0,64.6,59345,59345,28751,114592,145522,21028,125768,158156,53470,7723,79081,104225,-888888888,3.0,-888888888,4.0,30287,30287,30287,30287,76994,54263,70.5,4870,6.3,27429,48.1,29567,51.9,Woodbury,Minnesota
"Omaha city, Nebraska",31,37000,201469.0,42883.0,61992.0,192717.0,192717.0,197702.0,197702.0,293705.0,91.2,122873.0,38.1,382774,382774,201469,62948,91342,115515,88361,117040,38062,85954,40162,53701,-888888888,9.2,-888888888,13.8,212802,212802,212802,212802,487299,350245,71.9,34459,7.1,182388,49.3,187773,50.7,Omaha,Nebraska
