City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
52,"Goodyear city, Arizona",04,28380,101744,47382,54362,38.7,39.8,36.8,101744,8344,10628,17178,12240,11766
53,"Green Valley CDP, Arizona",04,29710,21965,9671,12294,73.4,74.1,72.8,21965,243,295,500,585,2930
54,"Kingman city, Arizona",04,37620,33813,17791,16022,42.0,42.0,42.1,33813,1832,3643,5322,2706,5606
55,"Lake Havasu City city, Arizona",04,39370,58278,29412,28866,57.2,57.2,57.1,58278,3471,6357,4606,5922,9677
56,"Marana town, Arizona",04,44270,54903,27785,27118,40.8,40.6,41.0,54903,4235,7460,7957,5669,6622
57,"Maricopa city, Arizona",04,44410,62727,30739,31988,37.6,37.7,37.3,62727,4318,7626,10701,7215,5401
58,"Mesa city, Arizona",04,46000,509492,252457,257035,37.7,37.2,38.2,509492,44340,76031,64891,55321,63204
59,"Oro Valley town, Arizona",04,51600,47895,23254,24641,55.0,51.6,56.1,47895,3629,3598,4466,4378,6457
60,"Peoria city, Arizona",04,54050,194910,95784,99126,42.7,41.0,44.4,194910,11930,21320,26767,29393,26334
61,"Phoenix city, Arizona",04,55000,1624539,818870,805669,34.5,34.1,35.1,1624539,157989,265026,226450,203896,180098
62,"Prescott city, Arizona",04,57380,46830,22239,24591,61.7,60.1,62.6,46830,3864,3988,4524,2747,6930
63,"Prescott Valley town, Arizona",04,57450,48188,24146,24042,46.4,43.4,49.2,48188,3513,4394,4800,6483,6293
64,"Queen Creek town, Arizona",04,58150,69311,33992,35319,37.0,37.6,34.3,69311,5810,5810,9532,11964,6777
65,"Rio Rico CDP, Arizona",04,60180,22877,10958,11919,37.7,40.7,37.2,22877,1205,2661,3667,2834,2821
66,"Sahuarita town, Arizona",04,62140,35345,15899,19446,37.4,38.6,35.3,35345,3054,2946,4211,5075,3049
67,"San Luis city, Arizona",04,63470,37334,21181,16153,31.4,31.1,31.8,37334,3586,5638,5555,5526,2850
68,"San Tan Valley CDP, Arizona",04,64210,103399,50768,52631,33.3,32.8,33.6,103399,7191,16598,17879,9660,9992
69,"Scottsdale city, Arizona",04,65000,242754,113878,128876,49.5,48.3,50.1,242754,14451,36215,26191,29076,39885
70,"Sierra Vista city, Arizona",04,66820,45485,22108,23377,36.3,34.8,38.7,45485,4109,5886,6598,4889,3682
71,"Sun City CDP, Arizona",04,70320,38917,15570,23347,72.3,72.7,71.9,38917,230,676,678,1236,6080
72,"Sun City West CDP, Arizona",04,70355,27255,11409,15846,74.7,74.8,74.7,149191,13419,17809,15455,17750,17403
73,"Surprise city, Arizona",04,71510,149191,69561,79630,40.6,39.2,42.1,184109,41710,44788,23804,14876,15824
74,"Tempe city, Arizona",04,73000,184109,96723,87386,29.0,28.7,30.0,543215,80938,88960,64897,56361,57326
75,"Tucson city, Arizona",04,77000,543215,271982,271233,33.6,32.8,34.6,97097,12076,15315,11351,7116,8544
76,"Yuma city, Arizona",04,85540,97097,49379,47718,30.7,29.6,32.0,30814,1336,2400,3147,4641,4021
77,"Bella Vista city, Arkansas",05,04840,30814,15430,15384,52.4,51.5,52.9,35676,3043,4833,5275,5476,2600
78,"Benton city, Arkansas",05,05290,35676,17852,17824,35.9,33.8,38.5,56723,4694,8373,12729,6640,4675
79,"Bentonville city, Arkansas",05,05320,56723,29652,27071,35.0,34.5,35.2,26661,1858,4261,3391,3927,2916
80,"Cabot city, Arkansas",05,10300,26661,12734,13927,37.9,36.3,42.1,65126,15151,8757,9059,5857,6156
81,"Conway city, Arkansas",05,15190,65126,31515,33611,29.1,27.5,30.3,20029,1583,2120,3182,1477,2518
82,"El Dorado city, Arkansas",05,21070,20029,10443,9586,39.5,35.8,40.2,95231,21895,16933,11364,10214,7019
83,"Fayetteville city, Arkansas",05,23290,95231,47456,47775,28.4,28.0,28.6,89574,10019,11866,11670,8983,12372
84,"Fort Smith city, Arkansas",05,24550,89574,43035,46539,36.7,35.6,38.9,38118,4807,4367,4008,3532,6310
85,"Hot Springs city, Arkansas",05,33400,38118,16647,21471,40.2,38.9,40.5,29302,3720,3699,5561,2318,3143
86,"Jacksonville city, Arkansas",05,34750,29302,14256,15046,35.6,35.1,36.8,79330,9658,13700,9106,8117,7437
87,"Jonesboro city, Arkansas",05,35710,79330,37546,41784,32.8,31.5,33.6,201984,16694,30499,25088,25388,24084
88,"Little Rock city, Arkansas",05,41000,201984,93334,108650,37.9,37.6,38.1,21564,3600,3236,1492,2950,2696
