name,brewery_type,address_1,City,state_province,postal_code,longitude,latitude,state_x,zip_code,brewery_id,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,State
4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,Broomfield,Colorado,80021-2521,,,Colorado,80021,108, Colorado,9280.0,30161.0,5377.0,7573.0,31208.0,31208.0,31425.0,31425.0,50964.0,95.4,31446.0,58.9,61651.0,61651.0,30161.0,107638.0,140086.0,19793.0,129412.0,165400.0,56161.0,10368.0,65208.0,85333.0,-888888888.0,3.0,-888888888.0,5.1,31800.0,31800.0,31800.0,31800.0,75325.0,56671.0,75.2,5004.0,6.6,29724.0,50.0,29768.0,50.0, Colorado
450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,Columbus,Indiana,47203-8106,,,Indiana,47203,116, Ohio,18000.0,390605.0,92133.0,132362.0,361111.0,361111.0,380966.0,380966.0,549983.0,90.8,232829.0,38.4,731827.0,731827.0,390605.0,58202.0,74938.0,206996.0,69237.0,86505.0,32392.0,183609.0,46875.0,59241.0,-888888888.0,13.6,-888888888.0,17.7,422120.0,422120.0,422120.0,422120.0,907310.0,668125.0,73.6,56818.0,6.3,346262.0,48.6,365732.0,51.4, Ohio
450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,Columbus,Indiana,47203-8106,,,Indiana,47203,116, Georgia,19000.0,82663.0,16777.0,31783.0,77760.0,77760.0,84812.0,84812.0,120109.0,89.2,42173.0,31.3,159069.0,159069.0,82663.0,52734.0,71883.0,51662.0,63810.0,81873.0,29666.0,31001.0,34847.0,51899.0,-888888888.0,17.5,-888888888.0,20.4,91621.0,91621.0,91621.0,91621.0,205617.0,146364.0,71.2,13144.0,6.4,73433.0,47.5,81109.0,52.5, Georgia
4J Brewing Company,micro,1348 Cedar Post Ln.,Houston,Texas,77055,,,Texas,77055,121, Texas,35000.0,924981.0,210649.0,303326.0,907054.0,907054.0,938026.0,938026.0,1206382.0,79.0,553802.0,36.3,1816331.0,1816331.0,924981.0,55499.0,89003.0,542339.0,61795.0,104597.0,36265.0,382642.0,41912.0,63521.0,-888888888.0,16.1,-888888888.0,19.4,1028763.0,1028763.0,1028763.0,1028763.0,2287047.0,1664835.0,72.8,152355.0,6.7,864677.0,49.3,889900.0,50.7, Texas
Barrie Brewing Company,planning,,Gainesville,Florida,32607-4807,,,Florida,32607,126, Florida,25175.0,56513.0,15900.0,21548.0,57166.0,57166.0,65662.0,65662.0,74330.0,94.0,37797.0,47.8,121565.0,121565.0,56513.0,40822.0,60553.0,21248.0,70318.0,86556.0,25655.0,35265.0,30887.0,43742.0,-888888888.0,10.0,-888888888.0,26.9,66685.0,66685.0,66685.0,66685.0,140406.0,100810.0,71.8,14062.0,10.0,55666.0,46.4,64338.0,53.6, Florida
5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,Atlanta,Georgia,30318-0683,,,Georgia,30318,132, Georgia,4000.0,232720.0,62706.0,88774.0,208075.0,208075.0,216270.0,216270.0,319487.0,92.7,206198.0,59.8,419538.0,419538.0,232720.0,74107.0,117117.0,94427.0,101490.0,166758.0,55051.0,138293.0,58614.0,81911.0,-888888888.0,13.8,-888888888.0,17.9,253355.0,253355.0,253355.0,253355.0,496480.0,382121.0,77.0,31072.0,6.3,202904.0,49.2,209530.0,50.8, Georgia
56 Brewing,micro,3055 Columbia Ave NE Ste 102,Minneapolis,Minnesota,55418-1860,,,Minnesota,55418,141, Minnesota,43000.0,188681.0,53233.0,58158.0,183399.0,183399.0,176862.0,176862.0,266532.0,92.1,155134.0,53.6,356026.0,356026.0,188681.0,69397.0,100172.0,76857.0,102959.0,136470.0,44836.0,111824.0,52357.0,72359.0,-888888888.0,7.2,-888888888.0,15.0,203633.0,203633.0,203633.0,203633.0,425338.0,321155.0,75.5,28721.0,6.8,176132.0,50.7,171533.0,49.3, Minnesota
5th Element Brewing,planning,,Leander,Texas,78641-4009,,,Texas,78641,143, Texas,42016.0,24031.0,1717.0,4339.0,25359.0,25359.0,26898.0,26898.0,43446.0,96.7,21977.0,48.9,50960.0,50960.0,24031.0,120165.0,141481.0,19016.0,129478.0,154366.0,49365.0,-999999999.0,66402.0,-999999999.0,-888888888.0,7.2,-888888888.0,8.3,24692.0,24692.0,24692.0,24692.0,68993.0,46569.0,67.5,4300.0,6.2,23518.0,47.8,25681.0,52.2, Texas
5x5 Brewing Co.,planning,,Mission,Texas,78572-6215,,,Texas,78572,145, Texas,48768.0,28128.0,4947.0,7344.0,33419.0,33419.0,33190.0,33190.0,38061.0,72.4,13768.0,26.2,65416.0,65416.0,28128.0,57749.0,74354.0,20892.0,68498.0,82098.0,24573.0,7236.0,32011.0,46490.0,-888888888.0,19.5,-888888888.0,21.1,32749.0,32749.0,32749.0,32749.0,86215.0,58224.0,67.5,6940.0,8.0,31895.0,50.6,31192.0,49.4, Texas
6 Bridges Brewing,planning,,Johns Creek,Georgia,30097,,,Georgia,30097,148, Georgia,42425.0,29256.0,2717.0,5368.0,30047.0,30047.0,32091.0,32091.0,49890.0,92.3,38983.0,72.1,61190.0,61190.0,29256.0,132870.0,159133.0,23555.0,155313.0,173861.0,56308.0,5701.0,76166.0,93349.0,-888888888.0,5.1,-888888888.0,4.9,29983.0,29983.0,29983.0,29983.0,82078.0,55459.0,67.6,6204.0,7.6,27907.0,47.8,30475.0,52.2, Georgia
