NAME,state,place,K200101_001E,K200101_002E,K200101_003E,K200103_001E,K200103_002E,K200103_003E,K200104_001E,K200104_003E,K200104_004E,K200104_005E,K200104_006E,K200104_007E
"Casa Grande city, Arizona",04,10530,57699,29347,28352,37.4,36.1,38.1,57699,5208,9154,5362,7249,7753
"Casas Adobes CDP, Arizona",04,10670,73450,35466,37984,41.4,38.6,44.9,73450,9554,9037,8923,7835,9876
"Catalina Foothills CDP, Arizona",04,11230,53319,25395,27924,52.0,52.1,52.0,53319,2755,3214,6993,6152,9142
"Chandler city, Arizona",04,12000,279445,142965,136480,36.6,34.9,38.4,279445,23724,44573,40880,40263,31666
"Drexel Heights CDP, Arizona",04,20540,27434,14277,13157,40.1,40.3,39.5,27434,2307,2765,3930,3245,3481
"El Mirage city, Arizona",04,22220,36019,18347,17672,31.5,29.0,33.8,36019,5114,4762,5643,3243,3748
"Flagstaff city, Arizona",04,23620,76984,37720,39264,26.7,28.6,24.6,76984,23375,12060,8164,7645,7255
"Florence town, Arizona",04,23760,26200,18225,7975,41.6,40.2,56.2,26200,1811,4765,5382,2538,3242
"Fortuna Foothills CDP, Arizona",04,25030,30667,15744,14923,56.1,49.6,58.3,30667,1674,3864,1751,3187,4166
"Fountain Hills town, Arizona",04,25300,24635,11465,13170,60.3,60.7,59.8,24635,973,1829,1420,2506,7584
"Gilbert town, Arizona",04,27400,273138,138703,134435,35.3,34.4,35.9,273138,21879,32169,47840,35657,25464
"Glendale city, Arizona",04,27820,249627,125148,124479,36.1,33.9,39.1,249627,27022,35681,33564,30776,29642
"Goodyear city, Arizona",04,28380,101744,47382,54362,38.7,39.8,36.8,101744,8344,10628,17178,12240,11766
"Green Valley CDP, Arizona",04,29710,21965,9671,12294,73.4,74.1,72.8,21965,243,295,500,585,2930
"Kingman city, Arizona",04,37620,33813,17791,16022,42.0,42.0,42.1,33813,1832,3643,5322,2706,5606
"Lake Havasu City city, Arizona",04,39370,58278,29412,28866,57.2,57.2,57.1,58278,3471,6357,4606,5922,9677
"Marana town, Arizona",04,44270,54903,27785,27118,40.8,40.6,41.0,54903,4235,7460,7957,5669,6622
"Maricopa city, Arizona",04,44410,62727,30739,31988,37.6,37.7,37.3,62727,4318,7626,10701,7215,5401
"Mesa city, Arizona",04,46000,509492,252457,257035,37.7,37.2,38.2,509492,44340,76031,64891,55321,63204
"Oro Valley town, Arizona",04,51600,47895,23254,24641,55.0,51.6,56.1,47895,3629,3598,4466,4378,6457
"Peoria city, Arizona",04,54050,194910,95784,99126,42.7,41.0,44.4,194910,11930,21320,26767,29393,26334
"Phoenix city, Arizona",04,55000,1624539,818870,805669,34.5,34.1,35.1,1624539,157989,265026,226450,203896,180098
"Prescott city, Arizona",04,57380,46830,22239,24591,61.7,60.1,62.6,46830,3864,3988,4524,2747,6930
"Prescott Valley town, Arizona",04,57450,48188,24146,24042,46.4,43.4,49.2,48188,3513,4394,4800,6483,6293
"Queen Creek town, Arizona",04,58150,69311,33992,35319,37.0,37.6,34.3,69311,5810,5810,9532,11964,6777
"Rio Rico CDP, Arizona",04,60180,22877,10958,11919,37.7,40.7,37.2,22877,1205,2661,3667,2834,2821
"Sahuarita town, Arizona",04,62140,35345,15899,19446,37.4,38.6,35.3,35345,3054,2946,4211,5075,3049
"San Luis city, Arizona",04,63470,37334,21181,16153,31.4,31.1,31.8,37334,3586,5638,5555,5526,2850
"San Tan Valley CDP, Arizona",04,64210,103399,50768,52631,33.3,32.8,33.6,103399,7191,16598,17879,9660,9992
"Scottsdale city, Arizona",04,65000,242754,113878,128876,49.5,48.3,50.1,242754,14451,36215,26191,29076,39885
"Sierra Vista city, Arizona",04,66820,45485,22108,23377,36.3,34.8,38.7,45485,4109,5886,6598,4889,3682
"Sun City CDP, Arizona",04,70320,38917,15570,23347,72.3,72.7,71.9,38917,230,676,678,1236,6080
"Sun City West CDP, Arizona",04,70355,27255,11409,15846,74.7,74.8,74.7,149191,13419,17809,15455,17750,17403
"Surprise city, Arizona",04,71510,149191,69561,79630,40.6,39.2,42.1,184109,41710,44788,23804,14876,15824
"Tempe city, Arizona",04,73000,184109,96723,87386,29.0,28.7,30.0,543215,80938,88960,64897,56361,57326
"Tucson city, Arizona",04,77000,543215,271982,271233,33.6,32.8,34.6,97097,12076,15315,11351,7116,8544
"Yuma city, Arizona",04,85540,97097,49379,47718,30.7,29.6,32.0,30814,1336,2400,3147,4641,4021
"Bella Vista city, Arkansas",05,04840,30814,15430,15384,52.4,51.5,52.9,35676,3043,4833,5275,5476,2600
"Benton city, Arkansas",05,05290,35676,17852,17824,35.9,33.8,38.5,56723,4694,8373,12729,6640,4675
"Bentonville city, Arkansas",05,05320,56723,29652,27071,35.0,34.5,35.2,26661,1858,4261,3391,3927,2916
"Cabot city, Arkansas",05,10300,26661,12734,13927,37.9,36.3,42.1,65126,15151,8757,9059,5857,6156
"Conway city, Arkansas",05,15190,65126,31515,33611,29.1,27.5,30.3,20029,1583,2120,3182,1477,2518
"El Dorado city, Arkansas",05,21070,20029,10443,9586,39.5,35.8,40.2,95231,21895,16933,11364,10214,7019
"Fayetteville city, Arkansas",05,23290,95231,47456,47775,28.4,28.0,28.6,89574,10019,11866,11670,8983,12372
"Fort Smith city, Arkansas",05,24550,89574,43035,46539,36.7,35.6,38.9,38118,4807,4367,4008,3532,6310
"Hot Springs city, Arkansas",05,33400,38118,16647,21471,40.2,38.9,40.5,29302,3720,3699,5561,2318,3143
"Jacksonville city, Arkansas",05,34750,29302,14256,15046,35.6,35.1,36.8,79330,9658,13700,9106,8117,7437
"Jonesboro city, Arkansas",05,35710,79330,37546,41784,32.8,31.5,33.6,201984,16694,30499,25088,25388,24084
"Little Rock city, Arkansas",05,41000,201984,93334,108650,37.9,37.6,38.1,21564,3600,3236,1492,2950,2696
"Maumelle city, Arkansas",05,44600,21564,9991,11573,37.1,30.5,40.6,64164,5259,11639,8369,6225,8939
"North Little Rock city, Arkansas",05,50450,64164,31091,33073,36.7,33.7,37.8,30710,2056,3864,4573,2910,3840
"Paragould city, Arkansas",05,53390,30710,15043,15667,36.2,35.6,36.4,40250,4138,5407,5085,4452,5642
"Pine Bluff city, Arkansas",05,55310,40250,19456,20794,37.5,36.3,39.7,71114,6023,12709,9845,7942,8182
"Rogers city, Arkansas",05,60410,71114,35330,35784,33.5,33.5,33.6,29344,5990,4365,3067,2343,3281
"Russellville city, Arkansas",05,61670,29344,14501,14843,31.1,29.9,34.0,20087,4736,2657,2486,1201,2595
"Searcy city, Arkansas",05,63020,20087,10192,9895,29.7,31.6,28.2,33021,1786,3185,6673,4281,3361
"Sherwood city, Arkansas",05,63800,33021,16476,16545,37.0,36.5,39.1,87255,9015,12311,11731,10650,8670
"Springdale city, Arkansas",05,66080,87255,44057,43198,34.0,31.8,35.0,26667,2015,3840,2543,3621,3556
"Texarkana city, Arkansas",05,68810,26667,14103,12564,41.8,35.3,47.8,24684,1498,4072,2161,2762,3424
"Van Buren city, Arkansas",05,71480,24684,10583,14101,37.4,36.3,39.7,24275,3140,3145,2733,2241,2991
"West Memphis city, Arkansas",05,74540,24275,11320,12955,32.7,30.4,37.7,38122,3322,7547,5257,4676,2348
"Adelanto city, California",06,00296,38122,20149,17973,28.8,27.4,29.1,76352,3644,11547,12848,11211,8984
"Alameda city, California",06,00562,76352,37267,39085,40.6,39.9,41.5,21056,1045,2939,3888,2388,2510
"Albany city, California",06,00674,21056,9860,11196,37.7,37.3,38.7,81219,5264,15150,12236,8697,10934
"Alhambra city, California",06,00884,81219,36902,44317,39.5,40.4,38.4,51829,4357,6756,8743,7334,6336
"Aliso Viejo city, California",06,00947,51829,25155,26674,37.3,37.2,37.5,46510,2916,3980,5733,6901,7180
"Altadena CDP, California",06,01290,46510,22963,23547,46.6,43.4,49.4,23371,3410,2975,3049,3218,2853
"American Canyon city, California",06,01640,23371,11580,11791,38.7,35.3,40.3,345935,30526,54439,48375,47069,40627
"Anaheim city, California",06,02000,345935,168784,177151,37.2,36.6,37.9,44991,2674,4298,8760,3660,6384
"Antelope CDP, California",06,02210,44991,21459,23532,36.6,37.8,35.8,114801,9288,14737,16513,13295,16694
"Antioch city, California",06,02252,114801,56359,58442,36.9,36.9,37.0,76217,5049,7208,10025,7059,8418
"Apple Valley town, California",06,02364,76217,39795,36422,36.8,36.8,36.8,55335,3225,6874,6889,6967,7664
"Arcadia city, California",06,02462,55335,25682,29653,43.6,44.4,43.3,100613,7789,19168,11194,13829,11273
"Arden-Arcade CDP, California",06,02553,100613,49015,51598,34.7,34.2,36.7,20363,2843,2970,2163,2576,1359
"Arvin city, California",06,02924,20363,10278,10085,26.4,25.3,29.0,24152,1565,5915,3487,2507,2140
"Ashland CDP, California",06,02980,24152,11262,12890,32.3,30.7,34.0,29707,2040,4399,4139,3838,3972
"Atascadero city, California",06,03064,29707,14864,14843,42.3,40.3,44.0,31972,3719,4697,4080,2886,3683
"Atwater city, California",06,03162,31972,17348,14624,32.9,32.5,33.7,48670,7326,8296,5423,6685,4683
"Azusa city, California",06,03386,48670,24317,24353,31.3,31.6,30.9,407581,42788,62584,54390,42965,41784
"Bakersfield city, California",06,03526,407581,198772,208809,32.1,31.6,32.4,70634,8598,11168,7311,11808,8808
"Baldwin Park city, California",06,03666,70634,36578,34056,39.3,35.3,42.5,30276,2782,4277,3449,2348,3222
"Banning city, California",06,03820,30276,15688,14588,35.0,32.4,37.7,25444,1910,3615,3199,2260,2056
"Barstow city, California",06,04030,25444,11358,14086,30.1,30.3,30.0,25017,3477,4304,3377,2962,2867
"Bay Point CDP, California",06,04415,25017,11072,13945,32.0,29.8,32.9,55274,3656,5874,10700,5650,4892
"Beaumont city, California",06,04758,55274,27042,28232,36.2,36.9,35.7,32829,2866,4936,4750,3469,3419
"Bell city, California",06,04870,32829,15399,17430,33.2,33.8,32.6,77407,5794,12168,11902,9724,9167
"Bellflower city, California",06,04982,77407,36688,40719,35.6,35.1,36.0,38558,4297,5887,5183,4631,2819
"Bell Gardens city, California",06,04996,38558,18772,19786,30.9,29.1,32.7,27217,1197,3141,4564,3137,4096
"Belmont city, California",06,05108,27217,13553,13664,42.5,43.9,41.3,26818,2271,3615,2907,4683,2962
"Benicia city, California",06,05290,26818,12633,14185,40.5,40.1,44.6,117147,27072,21086,12683,11129,12723
"Berkeley city, California",06,06000,117147,57712,59435,33.0,33.3,32.8,31892,2508,4419,4311,3310,3917
"Beverly Hills city, California",06,06308,31892,14272,17620,41.9,40.4,44.2,25469,3576,3510,3358,3758,1446
"Bloomington CDP, California",06,07064,25469,13018,12451,27.6,26.6,30.8,19755,1472,3802,2822,3540,2090
"Blythe city, California",06,07218,19755,13439,6316,40.5,40.9,40.0,26543,2129,4490,4116,1913,2754
"Brawley city, California",06,08058,26543,14267,12276,32.2,31.1,32.8,47587,3832,5917,6848,5670,6922
"Brea city, California",06,08100,47587,23555,24032,42.7,39.9,44.8,64874,5724,7284,7813,8342,7512
"Brentwood city, California",06,08142,64874,31021,33853,40.0,38.7,42.1,83017,8917,10548,12540,10604,11393
"Buena Park city, California",06,08786,83017,40663,42354,38.1,38.7,37.8,105407,6668,14909,17696,14912,11775
"Burbank city, California",06,08954,105407,49869,55538,42.4,42.3,42.7,30107,1525,4603,4677,3351,3753
"Burlingame city, California",06,09066,30107,15323,14784,41.1,40.6,41.7,25947,1801,3411,4042,2385,3661
"Calabasas city, California",06,09598,25947,13176,12771,38.4,33.9,39.7,38532,3449,5819,2676,4457,4053
"Calexico city, California",06,09710,38532,18367,20165,32.1,31.4,32.5,70838,6565,9213,7105,8553,9407
"Camarillo city, California",06,10046,70838,36054,34784,43.1,36.4,48.3,42758,1760,5651,8342,6216,5558
"Campbell city, California",06,10345,42758,21977,20781,41.1,40.6,41.4,115291,5882,14084,14038,16613,16869
"Carlsbad city, California",06,11194,115291,56167,59124,46.3,42.9,49.9,81039,7288,11615,9421,9146,10706
"Carmichael CDP, California",06,11390,81039,38899,42140,39.7,37.7,41.0,93526,7716,12208,13332,10800,12074
"Carson city, California",06,11530,93526,47052,46474,40.6,38.5,41.8,20605,1295,2053,1999,2936,3147
"Casa de Oro-Mount Helix CDP, California",06,11691,20605,9741,10864,50.1,50.1,50.0,66408,3201,6976,9842,8626,9333
"Castro Valley CDP, California",06,11964,66408,29901,36507,42.8,43.9,41.6,52228,3683,6810,7388,6320,8282
"Cathedral City city, California",06,12048,52228,27451,24777,39.5,38.8,40.8,49285,4527,8050,6831,4725,5052
"Ceres city, California",06,12524,49285,25784,23501,32.3,31.9,33.0,48398,3172,4601,5350,6892,7246
"Cerritos city, California",06,12552,48398,25223,23175,46.2,43.2,48.6,102340,21017,13891,13092,9803,9672
"Chico city, California",06,13014,102340,50688,51652,31.7,30.0,33.1,92988,6744,13536,13844,12506,12240
"Chino city, California",06,13210,92988,47266,45722,37.7,36.6,38.5,78675,6503,13728,9689,13498,10001
"Chino Hills city, California",06,13214,78675,39785,38890,38.0,36.9,39.4,20356,2900,3017,3789,2011,2041
"Chowchilla city, California",06,13294,20356,10174,10182,34.2,40.5,29.8,277211,23854,41156,41292,33317,34337
"Chula Vista city, California",06,13392,277211,139638,137573,36.7,36.4,36.8,87411,7500,14518,10917,9789,13519
"Citrus Heights city, California",06,13588,87411,41975,45436,40.1,38.8,41.5,35698,6054,2490,5118,5229,3926
"Claremont city, California",06,13756,35698,16048,19650,43.2,44.6,40.6,122985,9381,16404,17325,12484,14186
"Clovis city, California",06,14218,122985,58759,64226,33.7,34.1,32.8,42564,4312,8637,5877,5676,4577
"Coachella city, California",06,14260,42564,21788,20776,32.9,34.0,32.1,54286,5646,9270,7599,6653,5892
"Colton city, California",06,14890,54286,26659,27627,35.3,36.8,33.5,93584,9924,12950,12313,13594,11033
"Compton city, California",06,15044,93584,44933,48651,37.3,37.7,36.8,124091,8738,17614,21685,13508,16248
"Concord city, California",06,16000,124091,62092,61999,39.1,37.7,41.0,23324,2836,4456,3893,3332,2850
"Corcoran city, California",06,16224,23324,16253,7071,36.2,37.3,29.8,159749,16525,19610,20955,24788,20041
"Corona city, California",06,16350,159749,79654,80095,38.3,37.8,38.8,19458,2752,2473,1506,2436,2493
"Coronado city, California",06,16378,19458,10271,9187,37.2,28.2,45.2,110750,8284,21963,16438,13075,13813
"Costa Mesa city, California",06,16532,110750,54741,56009,37.1,37.4,36.8,50416,4817,8265,6602,6240,7099
"Covina city, California",06,16742,50416,24724,25692,36.5,31.5,41.2,21247,2622,3026,3207,2747,2578
"Cudahy city, California",06,17498,21247,10713,10534,34.9,31.8,37.4,39979,1711,6491,6530,4994,5000
"Culver City city, California",06,17568,39979,19350,20629,38.7,38.3,39.9,58625,5147,8210,8421,8560,8016
"Cupertino city, California",06,17610,58625,30719,27906,40.2,39.3,42.3,49923,4791,6543,6513,7557,5924
"Cypress city, California",06,17750,49923,24502,25421,38.7,36.4,40.8,101221,10611,14234,13075,13846,13073
"Daly City city, California",06,17918,101221,52302,48919,44.4,42.3,46.5,32810,2346,4845,3947,4119,5387
"Dana Point city, California",06,17946,32810,17037,15773,44.1,38.7,49.3,43240,2697,2882,4485,7567,6199
"Danville town, California",06,17988,43240,22235,21005,46.3,43.7,47.9,66798,22053,9141,6421,6990,4998
"Davis city, California",06,18100,66798,32582,34216,26.0,25.2,27.1,52173,4886,10310,8380,6499,5572
"Delano city, California",06,18394,52173,31151,21022,33.4,32.5,35.0,32721,3858,4106,2768,4054,3824
"Desert Hot Springs city, California",06,18996,32721,16292,16429,34.3,37.2,30.0,53859,3694,6072,6298,7357,8531
"Diamond Bar city, California",06,19192,53859,24694,29165,46.1,47.1,45.7,25143,3003,3389,3499,1866,2704
"Dinuba city, California",06,19318,25143,13163,11980,31.4,29.8,32.6,21000,1692,1955,2648,3728,4057
"Dixon city, California",06,19402,21000,10949,10051,42.0,39.8,46.3,111637,10061,16537,13336,14827,15641
"Downey city, California",06,19766,111637,54968,56669,40.3,36.3,42.8,22383,972,3269,2589,3077,2935
"Duarte city, California",06,19990,22383,10643,11740,38.6,36.7,41.8,71680,3276,9412,15913,11068,5383
"Dublin city, California",06,20018,71680,35721,35959,37.8,37.7,37.9,30251,3081,2479,4147,3925,3051
"Eastern Goleta Valley CDP, California",06,20574,30251,15970,14281,42.4,40.3,44.7,20757,1891,3457,3443,1917,2133
"East Hemet CDP, California",06,20697,20757,10644,10113,32.4,32.5,32.2,115803,11742,17923,15373,16948,14258
"East Los Angeles CDP, California",06,20802,115803,60212,55591,35.5,34.0,37.1,27672,2784,3958,3465,3625,4108
"East Niles CDP, California",06,20903,27672,15003,12669,35.0,31.4,40.0,28853,2661,5249,3798,3864,3470
"East Palo Alto city, California",06,20956,28853,14394,14459,35.8,33.8,38.2,22956,2293,2519,2169,3981,3336
"East San Gabriel CDP, California",06,21096,22956,11931,11025,44.3,43.5,45.7,71374,6391,8432,13311,10354,7086
"Eastvale city, California",06,21230,71374,35725,35649,37.2,36.8,38.1,105431,9878,17557,13770,11220,12298
"El Cajon city, California",06,21712,105431,50299,55132,34.4,34.5,34.4,44165,4363,5690,4907,4869,5768
"El Centro city, California",06,21782,44165,22047,22118,34.8,29.3,41.3,25838,2410,3899,3736,3336,3299
"El Cerrito city, California",06,21796,25838,12842,12996,39.7,38.4,41.7,52978,4235,3616,5423,9159,7973
"El Dorado Hills CDP, California",06,21880,52978,26495,26483,46.1,47.0,45.3,178988,12419,19489,26589,24663,20881
"Elk Grove city, California",06,22020,178988,88285,90703,38.2,36.7,38.5,106913,10308,13180,16702,14470,12439
"El Monte city, California",06,22230,106913,55142,51771,38.1,37.1,39.5,31757,3976,3130,4830,3136,3722
"El Paso de Robles (Paso Robles) city, California",06,22300,31757,15510,16247,37.2,36.6,37.6,61755,3059,7391,8706,9066,8399
"Encinitas city, California",06,22678,61755,30741,31014,44.3,42.3,45.2,150656,11202,21582,22881,20069,17371
"Escondido city, California",06,22804,150656,73785,76871,36.7,36.3,37.2,26487,1656,3084,4002,4002,2957
"Eureka city, California",06,23042,26487,12999,13488,41.5,41.2,46.3,119710,9705,17233,17000,13583,13692
"Fairfield city, California",06,23182,119710,59205,60505,35.3,34.8,35.5,33801,1595,5124,4781,3313,4235
"Fair Oaks CDP, California",06,23294,33801,16666,17135,40.9,42.8,38.8,34119,3485,5006,3634,3735,4398
"Fallbrook CDP, California",06,23462,34119,17356,16763,36.0,36.4,35.0,64169,5989,11080,9101,7241,5567
"Florence-Graham CDP, California",06,24477,64169,32856,31313,30.3,30.5,30.0,51334,5621,7015,6447,5451,6758
"Florin CDP, California",06,24498,51334,25776,25558,36.3,35.2,38.9,81212,6487,8559,12896,15002,10215
"Folsom city, California",06,24638,81212,42130,39082,40.7,40.9,40.5,210786,20575,33272,31905,27481,21433
"Fontana city, California",06,24680,210786,107690,103096,33.0,31.5,34.9,37476,2956,5845,5957,3400,4329
"Foothill Farms CDP, California",06,24722,37476,17991,19485,32.9,30.9,33.7,32530,1330,4668,5311,4458,4111
"Foster City city, California",06,25338,32530,15731,16799,40.3,37.8,43.6,56476,4598,6797,7100,8650,6514
"Fountain Valley city, California",06,25380,56476,29992,26484,40.6,38.4,44.5,227523,12766,33362,41953,32109,23534
"Fremont city, California",06,26000,227523,116772,110751,38.3,37.8,38.9,45247,3619,4904,7376,5824,3389
"French Valley CDP, California",06,26067,45247,23677,21570,30.6,26.8,32.3,544500,54337,85294,72749,61343,52246
"Fresno city, California",06,27000,544500,270529,273971,32.9,32.2,33.5,141875,14429,25407,14615,19339,17146
"Fullerton city, California",06,28000,141875,73222,68653,35.1,33.2,39.2,25489,2611,3731,3777,3190,2236
"Galt city, California",06,28112,25489,12464,13025,35.6,33.1,37.0,59714,4834,9430,7658,9378,7520
"Gardena city, California",06,28168,59714,28757,30957,39.2,39.7,37.8,170492,14564,23657,20468,25536,24817
"Garden Grove city, California",06,29000,170492,83725,86767,40.3,39.7,40.8,58101,4464,7547,7658,8047,6912
"Gilroy city, California",06,29504,58101,29303,28798,36.6,32.1,39.1,192376,13752,30515,28118,23140,23306
"Glendale city, California",06,30000,192376,93528,98848,40.0,38.4,41.2,51564,5521,6052,6586,6451,6498
"Glendora city, California",06,30014,51564,25282,26282,38.8,36.3,41.1,32845,3133,5907,3079,3200,6367
"Goleta city, California",06,30378,32845,16788,16057,38.8,37.3,41.9,19351,1578,539,1423,3213,3596
"Granite Bay CDP, California",06,30693,19351,10082,9269,54.5,55.1,54.1,52684,4202,5675,7099,8342,6428
"Hacienda Heights CDP, California",06,31596,52684,25866,26818,44.4,43.5,45.8,58496,4331,10073,7789,5343,5242
"Hanford city, California",06,31960,58496,29856,28640,31.6,30.6,33.3,86093,8658,17508,11264,11660,8521
"Hawthorne city, California",06,32548,86093,41399,44694,33.7,33.2,34.9,159839,11537,27610,23371,19204,21231
"Hayward city, California",06,33000,159839,82474,77365,37.8,37.1,38.6,90446,4631,12291,9419,8537,13969
"Hemet city, California",06,33182,90446,46449,43997,44.3,39.2,49.4,26094,2230,2960,3800,3068,4698
"Hercules city, California",06,33308,26094,11760,14334,48.7,48.8,48.4,100959,10536,13920,13670,12934,9518
"Hesperia city, California",06,33434,100959,55111,45848,32.0,30.3,35.1,57165,4920,8437,6841,7699,6527
"Highland city, California",06,33588,57165,27606,29559,34.2,34.5,34.0,43481,4128,6265,7001,4690,5109
"Hollister city, California",06,34120,43481,22115,21366,34.1,32.1,35.9,196650,13813,28660,23104,26396,31097
"Huntington Beach city, California",06,36000,196650,97345,99305,44.0,44.5,43.7,53651,4471,9060,6639,7829,4973
"Huntington Park city, California",06,36056,53651,25424,28227,33.6,33.8,33.4,26051,1500,5467,3490,3327,2497
"Imperial Beach city, California",06,36294,26051,12783,13268,37.3,37.3,37.3,90421,6069,12914,10824,10376,11682
"Indio city, California",06,36448,90421,44687,45734,42.9,41.4,44.9,105179,8247,18423,15192,13713,13034
"Inglewood city, California",06,36546,105179,49924,55255,36.9,36.8,36.9,309014,33831,50791,45974,39160,32091
"Irvine city, California",06,36770,309014,152703,156311,34.2,34.3,34.0,106937,11328,16071,16080,12272,11226
"Jurupa Valley city, California",06,37692,106937,53951,52986,32.9,31.8,33.5,21481,1509,1198,2035,3408,2816
"La Cañada Flintridge city, California",06,39003,21481,10818,10663,44.0,42.6,44.8,21160,1557,2197,3140,2875,2575
"La Crescenta-Montrose CDP, California",06,39045,21160,10084,11076,39.3,36.4,40.8,29596,1588,2553,4764,4295,2079
"Ladera Ranch CDP, California",06,39114,29596,15294,14302,28.4,28.8,25.8,25205,1292,1906,2688,5141,3328
"Lafayette city, California",06,39122,25205,13535,11670,45.9,45.5,47.1,23887,1158,2073,2678,3681,3512
"Laguna Beach city, California",06,39178,23887,11639,12248,50.8,49.7,51.3,30957,1417,3603,3263,4881,4221
"Laguna Hills city, California",06,39220,30957,15892,15065,46.6,46.3,46.8,64239,4435,8739,6810,6673,12394
"Laguna Niguel city, California",06,39248,64239,30919,33320,47.5,45.2,50.0,62595,6183,11169,6814,9695,7583
"La Habra city, California",06,39290,62595,33374,29221,36.5,33.9,41.1,71573,5236,9567,11556,10418,7363
