NAME,state,place,total_population
"West Puente Valley CDP, California",06,84774,21002
"West Rancho Dominguez CDP, California",06,84780,25912
"West Sacramento city, California",06,84816,53641
"West Whittier-Los Nietos CDP, California",06,84921,23207
"Whittier city, California",06,85292,85306
"Wildomar city, California",06,85446,37185
"Windsor town, California",06,85922,26040
"Woodland city, California",06,86328,61391
"Yorba Linda city, California",06,86832,67992
"Yuba City city, California",06,86972,69544
"Yucaipa city, California",06,87042,54739
"Yucca Valley town, California",06,87056,21140
"Arvada city, Colorado",08,03455,123829
"Aurora city, Colorado",08,04000,389675
"Black Forest CDP, Colorado",08,06970,20503
"Boulder city, Colorado",08,07850,104178
"Brighton city, Colorado",08,08675,40783
"Broomfield city, Colorado",08,09280,75325
"Castle Rock town, Colorado",08,12415,76366
"Centennial city, Colorado",08,12815,106957
"Clifton CDP, Colorado",08,15165,19005
"Colorado Springs city, Colorado",08,16000,483969
"Columbine CDP, Colorado",08,16110,27824
"Commerce City city, Colorado",08,16495,64293
"Dakota Ridge CDP, Colorado",08,19150,32472
"Denver city, Colorado",08,20000,711463
"Durango city, Colorado",08,22035,20328
"Englewood city, Colorado",08,24785,33521
"Erie town, Colorado",08,24950,34110
"Evans city, Colorado",08,25280,21282
"Fort Carson CDP, Colorado",08,27370,20616
"Fort Collins city, Colorado",08,27425,168535
"Fountain city, Colorado",08,27865,29673
"Four Square Mile CDP, Colorado",08,27950,20616
"Golden city, Colorado",08,30835,20614
"Grand Junction city, Colorado",08,31660,66951
"Greeley city, Colorado",08,32155,109340
"Highlands Ranch CDP, Colorado",08,36410,98239
"Ken Caryl CDP, Colorado",08,40377,35304
"Lafayette city, Colorado",08,41835,31000
"Lakewood city, Colorado",08,43000,156612
"Littleton city, Colorado",08,45255,45884
"Longmont city, Colorado",08,45970,100427
"Louisville city, Colorado",08,46355,22911
"Loveland city, Colorado",08,46465,77185
"Northglenn city, Colorado",08,54330,37307
"Parker town, Colorado",08,57630,60316
"Pueblo city, Colorado",08,62000,112358
"Pueblo West CDP, Colorado",08,62220,32991
"Security-Widefield CDP, Colorado",08,68847,34419
"Thornton city, Colorado",08,77290,142599
"Westminster city, Colorado",08,83835,114573
"Wheat Ridge city, Colorado",08,84440,32723
"Windsor town, Colorado",08,85485,35682
"Bridgeport city, Connecticut",09,08000,148345
"Bristol city, Connecticut",09,08420,60656
"Danbury city, Connecticut",09,18430,86749
"East Hartford CDP, Connecticut",09,22700,50733
"East Haven CDP, Connecticut",09,22980,27802
"Hartford city, Connecticut",09,37000,120593
"Manchester CDP, Connecticut",09,44690,36371
"Meriden city, Connecticut",09,46450,60505
"Middletown city, Connecticut",09,47290,47116
"Milford city (balance), Connecticut",09,47515,50433
"Naugatuck borough, Connecticut",09,49880,31426
"New Britain city, Connecticut",09,50370,73835
"New Haven city, Connecticut",09,52000,135076
"Newington CDP, Connecticut",09,52210,30373
"New London city, Connecticut",09,52280,27639
"North Haven CDP, Connecticut",09,54940,24168
"Norwalk city, Connecticut",09,55990,91203
"Norwich city, Connecticut",09,56200,40021
"Shelton city, Connecticut",09,68100,41469
"Stamford city, Connecticut",09,73000,136312
"Torrington city, Connecticut",09,76500,35361
"Wallingford Center CDP, Connecticut",09,78880,22376
"Waterbury city, Connecticut",09,80000,113820
"West Hartford CDP, Connecticut",09,82660,63957
"West Haven city, Connecticut",09,82800,55291
"Wethersfield CDP, Connecticut",09,84970,27111
"Bear CDP, Delaware",10,04130,23012
"Dover city, Delaware",10,21200,38987
"Middletown town, Delaware",10,47030,24169
"Newark city, Delaware",10,50670,31148
"Wilmington city, Delaware",10,77580,70750
"Washington city, District of Columbia",11,50000,670050
"Alafaya CDP, Florida",12,00410,95779
"Altamonte Springs city, Florida",12,00950,45522
"Apollo Beach CDP, Florida",12,01675,24070
"Apopka city, Florida",12,01700,55496
"Aventura city, Florida",12,02681,39228
"Bayonet Point CDP, Florida",12,04162,22227
"Bellview CDP, Florida",12,05462,26561
"Bloomingdale CDP, Florida",12,06875,19885
"Boca Raton city, Florida",12,07300,95785
"Bonita Springs city, Florida",12,07525,54905
"Boynton Beach city, Florida",12,07875,80083
"Bradenton city, Florida",12,07950,55895
"Brandon CDP, Florida",12,08150,116994
"Buenaventura Lakes CDP, Florida",12,09415,29002
"Cape Coral city, Florida",12,10275,204519
"Carrollwood CDP, Florida",12,10825,37026
"Casselberry city, Florida",12,11050,29091
"Citrus Park CDP, Florida",12,12425,31508
"Clearwater city, Florida",12,12875,116667
"Clermont city, Florida",12,12925,44534
"Coconut Creek city, Florida",12,13275,57105
"Cooper City city, Florida",12,14125,33964
"Coral Gables city, Florida",12,14250,48367
"Coral Springs city, Florida",12,14400,132822
"Coral Terrace CDP, Florida",12,14412,23139
"Country Club CDP, Florida",12,14895,52473
"Crestview city, Florida",12,15475,27828
"Cutler Bay town, Florida",12,15968,44293
"Dania Beach city, Florida",12,16335,31464
"Davie town, Florida",12,16475,104873
"Daytona Beach city, Florida",12,16525,74435
"DeBary city, Florida",12,16675,23541
"Deerfield Beach city, Florida",12,16725,86355
"DeLand city, Florida",12,16875,38769
"Delray Beach city, Florida",12,17100,66579
"Deltona city, Florida",12,17200,95771
"Doral city, Florida",12,17935,75954
"Dunedin city, Florida",12,18575,35949
"East Lake CDP, Florida",12,19206,33630
"East Lake-Orient Park CDP, Florida",12,19212,25898
"Edgewater city, Florida",12,19825,23980
"Egypt Lake-Leto CDP, Florida",12,20108,32556
"Englewood CDP, Florida",12,20825,22072
"Ensley CDP, Florida",12,20925,25412
"Estero village, Florida",12,21150,37530
"Eustis city, Florida",12,21350,19716
"Ferry Pass CDP, Florida",12,22275,25098
"Fish Hawk CDP, Florida",12,22387,27135
"Fleming Island CDP, Florida",12,22660,31794
"Florida Ridge CDP, Florida",12,23050,23174
"Fort Lauderdale city, Florida",12,24000,181666
"Fort Myers city, Florida",12,24125,92244
"Fort Pierce city, Florida",12,24300,47929
"Fort Walton Beach city, Florida",12,24475,21745
"Fountainebleau CDP, Florida",12,24562,55866
"Four Corners CDP, Florida",12,24581,61311
"Fruit Cove CDP, Florida",12,24925,32342
"Gainesville city, Florida",12,25175,140406
"Gibsonton CDP, Florida",12,25900,21025
"Golden Gate CDP, Florida",12,26300,26107
"Golden Glades CDP, Florida",12,26375,31971
"Greenacres city, Florida",12,27322,43800
"Haines City city, Florida",12,28400,29076
"Hallandale Beach city, Florida",12,28452,41003
"Hialeah city, Florida",12,30000,220479
"Hialeah Gardens city, Florida",12,30025,21531
"Holiday CDP, Florida",12,31075,21102
"Hollywood city, Florida",12,32000,152139
"Homestead city, Florida",12,32275,80523
"Horizon West CDP, Florida",12,32610,72283
"Immokalee CDP, Florida",12,33250,26843
"Ives Estates CDP, Florida",12,34400,26784
"Jacksonville city, Florida",12,35000,954624
"Jacksonville Beach city, Florida",12,35050,24623
"Jasmine Estates CDP, Florida",12,35350,20208
"Jupiter town, Florida",12,35875,60815
"Kendale Lakes CDP, Florida",12,36062,52043
"Kendall CDP, Florida",12,36100,81524
"Kendall West CDP, Florida",12,36121,32188
"Keystone CDP, Florida",12,36462,25189
"Key West city, Florida",12,36550,26526
"Kissimmee city, Florida",12,36950,79440
"Lakeland city, Florida",12,38250,115401
"Lake Magdalene CDP, Florida",12,38350,31356
"Lakeside CDP, Florida",12,38813,34914
"Lakewood Ranch CDP, Florida",12,39067,40548
"Lake Worth Beach city, Florida",12,39081,42510
"Land O' Lakes CDP, Florida",12,39200,38419
"Largo city, Florida",12,39425,82333
"Lauderdale Lakes city, Florida",12,39525,35610
"Lauderhill city, Florida",12,39550,73461
"Lealman CDP, Florida",12,39775,20410
"Leesburg city, Florida",12,39875,27813
"Lehigh Acres CDP, Florida",12,39925,126557
"Leisure City CDP, Florida",12,39950,24979
"Liberty Triangle CDP, Florida",12,40387,22527
"Lutz CDP, Florida",12,41775,29785
"Lynn Haven city, Florida",12,41825,20572
"Maitland city, Florida",12,42575,22618
"Margate city, Florida",12,43125,58005
"Meadow Woods CDP, Florida",12,43800,37120
"Melbourne city, Florida",12,43975,85091
"Merritt Island CDP, Florida",12,44275,33686
"Miami city, Florida",12,45000,439906
"Miami Beach city, Florida",12,45025,80673
"Miami Gardens city, Florida",12,45060,110881
"Miami Lakes town, Florida",12,45100,30383
"Midway CDP (Santa Rosa County), Florida",12,45465,20536
"Minneola city, Florida",12,45900,20850
"Miramar city, Florida",12,45975,135066
"Mount Dora city, Florida",12,47050,20110
"Myrtle Grove CDP, Florida",12,47550,22296
"Navarre CDP, Florida",12,48050,41823
"New Port Richey city, Florida",12,48500,21506
"New Smyrna Beach city, Florida",12,48625,31136
"Nocatee CDP, Florida",12,48850,22482
"Northdale CDP, Florida",12,49260,23857
"North Fort Myers CDP, Florida",12,49350,47564
"North Lauderdale city, Florida",12,49425,44232
"North Miami city, Florida",12,49450,59225
"North Miami Beach city, Florida",12,49475,42504
"North Port city, Florida",12,49675,80027
"Oakland Park city, Florida",12,50575,43666
"Oakleaf Plantation CDP, Florida",12,50630,32948
"Oak Ridge CDP, Florida",12,50638,26450
"Ocala city, Florida",12,50750,64098
"Ocoee city, Florida",12,51075,47453
"Orlando city, Florida",12,53000,309193
"Ormond Beach city, Florida",12,53150,43523
"Oviedo city, Florida",12,53575,39549
"Pace CDP, Florida",12,53725,27126
"Palm Bay city, Florida",12,54000,122932
"Palm Beach Gardens city, Florida",12,54075,59449
"Palm City CDP, Florida",12,54175,31235
"Palm Coast city, Florida",12,54200,93845
"Palmetto Bay village, Florida",12,54275,25059
"Palm Harbor CDP, Florida",12,54350,59237
"Palm River-Clair Mel CDP, Florida",12,54387,24689
"Palm Springs village, Florida",12,54450,26771
"Panama City city, Florida",12,54700,34045
"Parkland city, Florida",12,55125,35272
"Pembroke Pines city, Florida",12,55775,169388
"Pensacola city, Florida",12,55925,53685
"Pine Hills CDP, Florida",12,56825,85927
"Pinellas Park city, Florida",12,56975,53206
"Plantation city, Florida",12,57425,92981
"Plant City city, Florida",12,57550,39665
"Poinciana CDP, Florida",12,57900,65257
"Pompano Beach city, Florida",12,58050,111356
"Port Charlotte CDP, Florida",12,58350,65671
"Port Orange city, Florida",12,58575,63486
"Port St. John CDP, Florida",12,58700,26841
"Port St. Lucie city, Florida",12,58715,217535
"Princeton CDP, Florida",12,58975,38795
"Punta Gorda city, Florida",12,59200,20321
"Richmond West CDP, Florida",12,60230,43334
"Riverview CDP, Florida",12,60950,114560
"Riviera Beach city, Florida",12,60975,38069
"Rockledge city, Florida",12,61500,28311
"Royal Palm Beach village, Florida",12,62100,39042
"Ruskin CDP, Florida",12,62275,21233
"St. Cloud city, Florida",12,62625,62045
"St. Petersburg city, Florida",12,63000,258214
"Sanford city, Florida",12,63650,60676
