Geographic Area Name,Geographic,Area,Zip,City ,State,Total population ,TOTAL Brew Population Age Bracket population ,male_brew_age,Median Income,Number of white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:,density (km2),density(mil2)
ZCTA5 06269,ZCTA5,6269,6269,Storrs Mansfield,CT,8161,62,81,3323,49,0,0,49,2676,1033
ZCTA5 06277,ZCTA5,6277,6277,Thompson,CT,3940,1479,798,43284,1388,78,92,474,67.5,26
ZCTA5 06278,ZCTA5,6278,6278,Ashford,CT,4266,1998,1041,45536,1745,118,122,511,42.5,16
ZCTA5 06279,ZCTA5,6279,6265,South Willington,CT,5566,1969,1138,,2321,70,185,1011,64.8,25
ZCTA5 06280,ZCTA5,6280,6280,Windham,CT,3286,996,456,40938,1235,166,112,579,81.3,31
ZCTA5 06281,ZCTA5,6281,6244,East Woodstock,CT,7021,2331,1270,,2817,96,211,844,51.6,20
ZCTA5 06282,ZCTA5,6282,6282,Woodstock Valley,CT,1225,280,164,62375,487,25,38,106,57.7,22
ZCTA5 06330,ZCTA5,6330,6330,Baltic,CT,3167,1298,736,40394,1135,64,35,386,76.1,29
ZCTA5 06331,ZCTA5,6331,6331,Canterbury,CT,5085,2098,1197,44150,1929,144,108,611,48.1,19
ZCTA5 06332,ZCTA5,6332,6332,Central Village,CT,565,358,184,35179,408,0,20,249,274.2,106
ZCTA5 06333,ZCTA5,6333,6333,East Lyme,CT,7289,2656,1400,53626,2184,56,237,622,114.6,44
ZCTA5 06334,ZCTA5,6334,6334,Bozrah,CT,2336,753,361,44889,867,47,131,211,46.1,18
ZCTA5 06335,ZCTA5,6335,6335,Gales Ferry,CT,6781,2179,1237,54173,2015,89,212,528,211.9,82
ZCTA5 06336,ZCTA5,6336,6336,Gilman,CT,93,38,33,,16,0,4,0,51,20
ZCTA5 06338,ZCTA5,6338,,,,,,,,0,0,0,0,14.8,6
ZCTA5 06350,ZCTA5,6350,6350,Hanover,CT,133,25,26,34539,58,0,0,28,121.4,47
ZCTA5 06351,ZCTA5,6351,6351,Jewett City,CT,15609,5180,2747,40071,6251,381,1037,1764,115.2,44
ZCTA5 06353,ZCTA5,6353,6353,Montville,CT,175,200,153,31875,85,0,0,25,291.5,113
ZCTA5 06354,ZCTA5,6354,6354,Moosup,CT,5647,2489,1401,36578,2136,147,189,503,97,37
ZCTA5 06357,ZCTA5,6357,6357,Niantic,CT,11404,3880,1770,34211,4561,241,255,1868,432,167
