Geographic Area Name,Geographic,Area,Zip,City ,State,Total population ,TOTAL Brew Population Age Bracket population ,male_brew_age,Median Income,Number of white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:,density (km2),density(mil2)
ZCTA5 00601,ZCTA5,601,601,Adjuntas,PR,17242,6439,3277,,4640,258,911,1552,102.6,40
ZCTA5 00602,ZCTA5,602,602,Aguada,PR,37548,14504,7393,,7735,586,1317,2200,482.5,186
ZCTA5 00603,ZCTA5,603,603,Aguadilla,PR,49804,18182,9097,,14013,819,3329,4517,552.4,213
ZCTA5 00606,ZCTA5,606,606,Maricao,PR,5009,2072,1147,,1053,125,279,271,50.1,19
ZCTA5 00610,ZCTA5,610,610,Anasco,PR,25731,10336,5283,,4907,372,1043,1193,272.1,105
ZCTA5 00611,ZCTA5,611,,,,,,,,250,13,39,56,46.5,18
ZCTA5 00612,ZCTA5,612,612,Arecibo,PR,62425,23114,11140,,11772,498,2991,4028,325,125
ZCTA5 00616,ZCTA5,616,616,Bajadero,PR,9828,4520,2281,,1839,76,579,539,361.3,139
ZCTA5 00617,ZCTA5,617,617,Barceloneta,PR,22541,9221,4531,,3984,195,1338,917,479.7,185
ZCTA5 00622,ZCTA5,622,622,Boqueron,PR,7838,3007,1146,,1024,77,133,379,96,37
ZCTA5 00623,ZCTA5,623,623,Cabo Rojo,PR,39320,15075,7839,,4382,175,860,1528,390.6,151
ZCTA5 00624,ZCTA5,624,624,Penuelas,PR,21709,8345,4224,,5114,439,1472,1372,180.2,70
ZCTA5 00627,ZCTA5,627,627,Camuy,PR,32873,12730,6349,,10163,298,2302,2873,273.8,106
ZCTA5 00631,ZCTA5,631,631,Castaner,PR,1414,381,118,,383,0,64,132,135.6,52
ZCTA5 00636,ZCTA5,636,,,,,,,,167,0,35,0,1236,477
ZCTA5 00637,ZCTA5,637,637,Sabana Grande,PR,23124,7356,3597,,4423,425,818,1690,252.7,98
ZCTA5 00638,ZCTA5,638,638,Ciales,PR,18109,6086,3183,,4080,289,930,1066,95.7,37
ZCTA5 00641,ZCTA5,641,611,Angeles,PR,24292,8958,4406,,4042,231,891,1209,114.4,44
ZCTA5 00646,ZCTA5,646,646,Dorado,PR,36272,14649,7133,,6510,392,1250,1678,662.9,256
ZCTA5 00647,ZCTA5,647,647,Ensenada,PR,4611,1548,875,,1007,111,180,366,126.9,49
ZCTA5 00650,ZCTA5,650,650,Florida,PR,13637,5513,2695,,2878,147,735,725,174.1,67
ZCTA5 00652,ZCTA5,652,652,Garrochales,PR,4020,1193,636,,709,20,148,282,191.4,74
ZCTA5 00653,ZCTA5,653,653,Guanica,PR,9244,3540,1705,,2202,233,413,793,159.1,61
ZCTA5 00656,ZCTA5,656,656,Guayanilla,PR,17965,6860,3520,,4900,430,1322,1436,170.7,66
ZCTA5 00659,ZCTA5,659,659,Hatillo,PR,37421,14899,7428,,11329,533,2319,3078,352.9,136
ZCTA5 00660,ZCTA5,660,660,Hormigueros,PR,15448,5475,2664,,1061,53,249,329,533.2,206
ZCTA5 00662,ZCTA5,662,662,Isabela,PR,40770,15891,8107,,7778,523,1574,2874,378.9,146
ZCTA5 00664,ZCTA5,664,664,Jayuya,PR,15066,5831,3079,,2775,278,721,752,124.5,48
ZCTA5 00667,ZCTA5,667,667,Lajas,PR,23522,8212,4095,,2728,162,691,947,151.8,59
ZCTA5 00669,ZCTA5,669,669,Lares,PR,27833,10497,5417,,8003,745,1709,1963,167.2,65
ZCTA5 00670,ZCTA5,670,670,Las Marias,PR,8828,2972,1570,,1576,46,160,523,72.6,28
ZCTA5 00674,ZCTA5,674,674,Manati,PR,39345,14464,6880,,7692,594,1879,2106,351.6,136
ZCTA5 00676,ZCTA5,676,676,Moca,PR,36706,14190,6932,,10065,521,2314,2952,291.2,112
ZCTA5 00677,ZCTA5,677,677,Rincon,PR,15379,5560,2813,,3097,167,536,1230,403.5,156
ZCTA5 00678,ZCTA5,678,678,Quebradillas,PR,25410,10061,5158,,7092,358,1489,2247,341.4,132
ZCTA5 00680,ZCTA5,680,636,Rosario,PR,46056,13155,6706,,3276,103,586,1390,258.6,100
ZCTA5 00682,ZCTA5,682,681,Mayaguez,PR,28299,10197,5283,,2455,140,336,1093,753.2,291
ZCTA5 00683,ZCTA5,683,683,San German,PR,29788,9960,5102,,6326,393,1146,2434,232.4,90
ZCTA5 00685,ZCTA5,685,685,San Sebastian,PR,40294,14122,7104,,9559,649,1521,3250,197.1,76
ZCTA5 00687,ZCTA5,687,687,Morovis,PR,28727,11524,5842,,6046,589,1486,1405,288.7,111
ZCTA5 00688,ZCTA5,688,688,Sabana Hoyos,PR,12443,4669,2631,,1670,36,467,434,137.2,53
ZCTA5 00690,ZCTA5,690,690,San Antonio,PR,5326,2179,1055,,1748,90,387,479,1061.6,410
ZCTA5 00692,ZCTA5,692,692,Vega Alta,PR,32873,13150,6697,,5557,378,1315,1395,489.7,189
ZCTA5 00693,ZCTA5,693,693,Vega Baja,PR,56095,21335,10405,,10909,1155,2129,3103,488.1,188
ZCTA5 00694,ZCTA5,694,694,Vega Baja,PR,231,14,29,,14,0,0,0,41.6,16
ZCTA5 00698,ZCTA5,698,698,Yauco,PR,33774,12349,5968,,8112,362,1226,3076,209.6,81
ZCTA5 00703,ZCTA5,703,703,Aguas Buenas,PR,25332,9655,4924,,3965,247,1074,1289,311.2,120
ZCTA5 00704,ZCTA5,704,704,Aguirre,PR,6865,2931,1517,,927,41,340,225,308.1,119
ZCTA5 00705,ZCTA5,705,705,Aibonito,PR,24467,8879,4521,,4050,367,769,1304,310,120
ZCTA5 00707,ZCTA5,707,707,Maunabo,PR,10544,3830,2036,,345,12,38,152,195.9,76
ZCTA5 00714,ZCTA5,714,714,Arroyo,PR,15802,6186,2976,,3291,171,1206,923,416.5,161
ZCTA5 00715,ZCTA5,715,715,Mercedita,PR,2299,528,239,,393,13,77,130,61.1,24
ZCTA5 00716,ZCTA5,716,716,Ponce,PR,28423,9209,4816,,7339,385,1878,2556,1235.9,477
ZCTA5 00717,ZCTA5,717,717,Ponce,PR,14199,4516,2035,,3844,205,1009,1783,2370.5,915
ZCTA5 00718,ZCTA5,718,718,Naguabo,PR,23290,9332,4395,,3608,254,982,1117,191.5,74
ZCTA5 00719,ZCTA5,719,719,Naranjito,PR,30063,11023,5728,,5089,392,1071,1486,404.5,156
ZCTA5 00720,ZCTA5,720,720,Orocovis,PR,20331,7998,4110,,4098,563,761,1304,142.5,55
ZCTA5 00723,ZCTA5,723,723,Patillas,PR,15983,5814,2991,,440,6,138,189,136.5,53
ZCTA5 00725,ZCTA5,725,725,Caguas,PR,77223,29159,13796,,17580,1143,4526,5778,738.8,285
ZCTA5 00727,ZCTA5,727,727,Caguas,PR,54207,22137,11196,,11944,997,2519,4202,904,349
ZCTA5 00728,ZCTA5,728,728,Ponce,PR,36675,15379,8282,,8915,600,2366,2525,994.7,384
ZCTA5 00729,ZCTA5,729,729,Canovanas,PR,47393,19441,9323,,5997,283,1342,1864,520.8,201
ZCTA5 00730,ZCTA5,730,730,Ponce,PR,30521,11651,5870,,7077,439,2030,2483,1934.2,747
ZCTA5 00731,ZCTA5,731,731,Ponce,PR,12292,3947,2126,,2255,223,372,575,87.8,34
ZCTA5 00735,ZCTA5,735,735,Ceiba,PR,11299,4371,2108,,1564,85,249,603,163.9,63
ZCTA5 00736,ZCTA5,736,736,Cayey,PR,45833,17592,8560,,7125,469,1763,2144,324.7,125
ZCTA5 00738,ZCTA5,738,738,Fajardo,PR,30706,11464,5398,,4235,267,1138,1294,397.2,153
ZCTA5 00739,ZCTA5,739,739,Cidra,PR,34964,13539,6743,,5957,322,1414,1502,440.4,170
ZCTA5 00740,ZCTA5,740,740,Puerto Real,PR,1492,797,535,,187,32,43,53,1868,721
ZCTA5 00741,ZCTA5,741,741,Punta Santiago,PR,3526,1631,872,,414,0,86,220,661.3,255
ZCTA5 00745,ZCTA5,745,721,Palmer,PR,47718,19009,9419,,5378,286,1167,1398,306.9,118
ZCTA5 00751,ZCTA5,751,751,Salinas,PR,19369,7147,3645,,2531,319,556,764,125.7,49
ZCTA5 00754,ZCTA5,754,754,San Lorenzo,PR,36673,14500,7188,,3594,251,1001,1044,285.8,110
ZCTA5 00757,ZCTA5,757,757,Santa Isabel,PR,20183,8456,4121,,2627,148,775,819,242.4,94
ZCTA5 00765,ZCTA5,765,765,Vieques,PR,8249,2773,1737,,756,60,126,353,68,26
ZCTA5 00766,ZCTA5,766,766,Villalba,PR,22354,8094,4013,,3532,324,798,916,226.7,88
ZCTA5 00767,ZCTA5,767,767,Yabucoa,PR,30646,11562,5727,,1311,40,156,442,220.1,85
ZCTA5 00769,ZCTA5,769,769,Coamo,PR,34163,14009,6884,,5380,364,1295,1727,176,68
ZCTA5 00771,ZCTA5,771,771,Las Piedras,PR,34761,14071,6874,,1445,70,361,444,400.8,155
ZCTA5 00772,ZCTA5,772,772,Loiza,PR,17936,6888,3293,,679,41,194,255,428.7,166
ZCTA5 00773,ZCTA5,773,773,Luquillo,PR,17772,6694,3176,,2586,121,545,934,287,111
ZCTA5 00775,ZCTA5,775,775,Culebra,PR,1792,478,289,,176,13,4,87,42.9,17
ZCTA5 00777,ZCTA5,777,777,Juncos,PR,37717,16044,7851,,5049,470,1227,1542,550.2,212
ZCTA5 00778,ZCTA5,778,778,Gurabo,PR,40585,17643,8559,,7093,502,1396,1759,536.5,207
ZCTA5 00780,ZCTA5,780,780,Coto Laurel,PR,14934,4945,2365,,2329,100,580,627,261.8,101
ZCTA5 00782,ZCTA5,782,782,Comerio,PR,17965,7190,3856,,2873,281,616,1008,257.6,99
ZCTA5 00783,ZCTA5,783,783,Corozal,PR,34093,13105,6699,,6292,500,1110,1811,314.7,122
ZCTA5 00784,ZCTA5,784,784,Guayama,PR,36313,14722,7687,,8585,459,1943,2760,213.8,83
ZCTA5 00786,ZCTA5,786,786,La Plata,PR,273,19,15,,63,0,0,63,33.1,13
ZCTA5 00791,ZCTA5,791,791,Humacao,PR,47260,17227,8426,,5608,224,892,2135,428.7,166
ZCTA5 00794,ZCTA5,794,794,Barranquitas,PR,28791,10856,5579,,5273,586,1509,1124,319.9,124
ZCTA5 00795,ZCTA5,795,795,Juana Diaz,PR,43745,17119,8231,,4521,275,913,1106,284.7,110
ZCTA5 00901,ZCTA5,901,901,San Juan,PR,6218,3316,2182,,1809,55,276,953,3081.3,1190
ZCTA5 00906,ZCTA5,906,906,San Juan,PR,165,134,93,,91,0,30,61,20734.8,8006
ZCTA5 00907,ZCTA5,907,907,San Juan,PR,16864,6947,3922,,4794,234,668,2643,3140.8,1213
ZCTA5 00909,ZCTA5,909,909,San Juan,PR,6987,2040,1013,,752,31,128,468,2961.1,1143
ZCTA5 00911,ZCTA5,911,911,San Juan,PR,7496,2871,1595,,1827,113,334,897,5961,2302
ZCTA5 00912,ZCTA5,912,912,San Juan,PR,5786,2372,1421,,922,74,113,399,6489.4,2506
ZCTA5 00913,ZCTA5,913,913,San Juan,PR,7261,2425,952,,803,53,291,254,8890.6,3433
ZCTA5 00915,ZCTA5,915,915,San Juan,PR,25075,9388,4902,,1998,149,438,961,7047.2,2721
ZCTA5 00917,ZCTA5,917,917,San Juan,PR,17319,6644,3414,,3750,183,562,2193,5233,2020
ZCTA5 00918,ZCTA5,918,918,San Juan,PR,17439,5880,2792,,4111,234,603,2418,2203,851
ZCTA5 00920,ZCTA5,920,920,San Juan,PR,14798,6562,3537,,3308,263,484,1567,1845,712
ZCTA5 00921,ZCTA5,921,921,San Juan,PR,32062,12109,5401,,5846,276,1539,2917,4146.6,1601
ZCTA5 00923,ZCTA5,923,923,San Juan,PR,23607,9526,4365,,4361,313,1178,1845,4978,1922
ZCTA5 00924,ZCTA5,924,924,San Juan,PR,49654,17426,8010,,9373,414,3020,3566,3975.6,1535
ZCTA5 00925,ZCTA5,925,925,San Juan,PR,5501,2215,1298,,1476,79,202,1088,5308.4,2050
ZCTA5 00926,ZCTA5,926,926,San Juan,PR,96732,34805,16459,,20203,1047,3955,7187,1572.8,607
ZCTA5 00927,ZCTA5,927,927,San Juan,PR,14297,4899,2197,,3597,73,498,1659,2177.1,841
ZCTA5 00934,ZCTA5,934,934,Fort Buchanan,PR,218,69,56,,27,0,17,0,33.8,13
ZCTA5 00949,ZCTA5,949,949,Toa Baja,PR,67453,27338,13049,,13557,597,3271,4137,1309.2,505
ZCTA5 00950,ZCTA5,950,950,Toa Baja,PR,6,0,15,,0,0,0,0,0,0
ZCTA5 00951,ZCTA5,951,951,Toa Baja,PR,430,168,138,,76,12,6,11,135.5,52
ZCTA5 00952,ZCTA5,952,952,Sabana Seca,PR,8671,2778,1559,,1323,134,293,472,1345.6,520
ZCTA5 00953,ZCTA5,953,953,Toa Alta,PR,66369,28817,14039,,14515,902,3459,3402,978.1,378
ZCTA5 00956,ZCTA5,956,956,Bayamon,PR,72353,24125,11763,,11684,629,2789,3850,914.4,353
ZCTA5 00957,ZCTA5,957,957,Bayamon,PR,40540,15743,7615,,7139,333,1886,1945,3661.1,1414
ZCTA5 00959,ZCTA5,959,959,Bayamon,PR,43625,17540,8004,,8463,420,2040,2883,3027.9,1169
ZCTA5 00960,ZCTA5,960,960,Bayamon,PR,2891,2648,2758,,0,0,0,0,930.5,359
ZCTA5 00961,ZCTA5,961,961,Bayamon,PR,28062,11088,5499,,5882,214,1165,2141,2232.9,862
ZCTA5 00962,ZCTA5,962,962,Catano,PR,19741,7255,3555,,4114,345,1310,1276,1608.7,621
ZCTA5 00965,ZCTA5,965,965,Guaynabo,PR,6168,2152,1143,,812,42,220,320,2299.9,888
ZCTA5 00966,ZCTA5,966,966,Guaynabo,PR,16977,5260,2676,,3388,66,611,1310,2411.1,931
ZCTA5 00968,ZCTA5,968,922,San Juan,PR,3722,1166,614,,1067,39,56,566,3119.1,1204
ZCTA5 00969,ZCTA5,969,969,Guaynabo,PR,38838,16382,7829,,7785,291,1208,2801,3229.8,1247
ZCTA5 00971,ZCTA5,971,971,Guaynabo,PR,28517,10866,6155,,4145,284,827,1733,651.6,252
ZCTA5 00976,ZCTA5,976,976,Trujillo Alto,PR,59879,23540,11201,,13961,798,2568,4247,1370.1,529
ZCTA5 00979,ZCTA5,979,937,San Juan,PR,14929,6520,3560,,4225,302,499,2422,1719,664
ZCTA5 00982,ZCTA5,982,982,Carolina,PR,14182,5010,2277,,2403,160,606,1064,3787.2,1462
ZCTA5 00983,ZCTA5,983,983,Carolina,PR,31889,12453,6053,,5393,359,1297,1822,2925.9,1130
ZCTA5 00985,ZCTA5,985,985,Carolina,PR,31250,11967,5693,,4621,134,1260,1555,1348.8,521
ZCTA5 00987,ZCTA5,987,987,Carolina,PR,58427,22145,10946,,8022,434,1981,2582,818.2,316
ZCTA5 01001,ZCTA5,1001,1001,Agawam,MA,16984,6478,3618,41359,6189,339,650,2485,550.1,212
ZCTA5 01003,ZCTA5,1003,1003,Amherst,MA,13253,85,66,4453,10,0,0,0,6583.4,2542
ZCTA5 01008,ZCTA5,1008,1008,Blandford,MA,1317,382,212,44531,497,9,53,176,7.4,3
ZCTA5 01009,ZCTA5,1009,1009,Bondsville,MA,980,398,229,43233,333,26,29,143,442.8,171
ZCTA5 01010,ZCTA5,1010,1010,Brimfield,MA,3711,1302,813,42369,1345,27,99,436,40.6,16
ZCTA5 01011,ZCTA5,1011,1011,Chester,MA,1201,433,244,35156,490,15,57,140,15.7,6
ZCTA5 01012,ZCTA5,1012,1012,Chesterfield,MA,519,182,96,31042,217,9,15,74,16.1,6
ZCTA5 01013,ZCTA5,1013,1013,Chicopee,MA,23656,8968,4200,29180,7576,393,1138,3200,1549.1,598
ZCTA5 01022,ZCTA5,1022,1022,Chicopee,MA,2158,788,444,35752,952,49,71,673,179.2,69
ZCTA5 01026,ZCTA5,1026,1026,Cummington,MA,1011,336,226,42422,442,22,37,191,14.7,6
ZCTA5 01028,ZCTA5,1028,1028,East Longmeadow,MA,16417,5854,2894,48076,5638,178,641,1668,489.6,189
ZCTA5 01029,ZCTA5,1029,1029,East Otis,MA,714,176,143,31250,228,0,6,94,19.8,8
ZCTA5 01030,ZCTA5,1030,1030,Feeding Hills,MA,11708,4754,2461,43975,4720,65,371,1415,405.3,156
ZCTA5 01031,ZCTA5,1031,1031,Gilbertville,MA,1406,600,312,30806,603,49,57,201,90.4,35
ZCTA5 01032,ZCTA5,1032,1032,Goshen,MA,483,117,57,38750,198,3,10,84,17.2,7
ZCTA5 01033,ZCTA5,1033,1033,Granby,MA,6092,2276,1244,41422,2445,70,264,607,84.8,33
ZCTA5 01034,ZCTA5,1034,1034,Granville,MA,1977,814,477,42893,769,21,56,234,11.3,4
ZCTA5 01035,ZCTA5,1035,1035,Hadley,MA,5325,1804,979,49341,2095,119,213,800,88.5,34
ZCTA5 01037,ZCTA5,1037,1037,Hardwick,MA,706,121,65,43047,249,0,21,44,14.4,6
ZCTA5 01038,ZCTA5,1038,1038,Hatfield,MA,2522,716,447,44364,1033,41,114,351,108.9,42
ZCTA5 01039,ZCTA5,1039,1039,Haydenville,MA,1511,637,246,46131,679,21,120,238,39.2,15
ZCTA5 01040,ZCTA5,1040,1040,Holyoke,MA,38238,15140,7367,25592,11388,589,2557,4601,702,271
ZCTA5 01050,ZCTA5,1050,1050,Huntington,MA,2467,991,598,38212,1022,62,90,342,24.2,9
ZCTA5 01053,ZCTA5,1053,1053,Leeds,MA,2031,495,365,21266,588,33,176,208,135.4,52
ZCTA5 01054,ZCTA5,1054,1054,Leverett,MA,1889,601,346,43177,670,28,67,224,30.2,12
ZCTA5 01057,ZCTA5,1057,1057,Monson,MA,8152,2921,1551,38165,3307,163,339,1033,71.8,28
ZCTA5 01063,ZCTA5,1063,1063,Northampton,MA,2106,5,13,4023,0,0,0,0,11063,4271
ZCTA5 01066,ZCTA5,1066,1066,North Hatfield,MA,215,17,22,,34,0,0,26,15.6,6
ZCTA5 01068,ZCTA5,1068,1068,Oakham,MA,1904,551,296,37005,611,25,45,147,28.8,11
ZCTA5 01069,ZCTA5,1069,1069,Palmer,MA,8428,2808,1541,38584,3239,151,480,1223,122.1,47
ZCTA5 01070,ZCTA5,1070,1070,Plainfield,MA,577,172,101,38750,253,13,22,89,12.1,5
ZCTA5 01071,ZCTA5,1071,1071,Russell,MA,1486,431,281,47850,491,39,31,124,31.5,12
ZCTA5 01072,ZCTA5,1072,1072,Shutesbury,MA,1366,442,245,44622,591,41,91,182,27.8,11
ZCTA5 01073,ZCTA5,1073,1073,Southampton,MA,6224,2084,1200,39725,2154,117,61,368,84.5,33
ZCTA5 01074,ZCTA5,1074,1074,South Barre,MA,584,153,13,,157,0,139,18,869.5,336
ZCTA5 01075,ZCTA5,1075,1075,South Hadley,MA,18168,5454,2698,37168,6960,242,632,2790,393.3,152
ZCTA5 01079,ZCTA5,1079,1079,Thorndike,MA,701,184,80,35034,198,35,26,0,125.1,48
ZCTA5 01080,ZCTA5,1080,1080,Three Rivers,MA,2400,900,465,39709,804,41,82,248,527.7,204
ZCTA5 01081,ZCTA5,1081,1081,Wales,MA,1684,697,424,47774,677,25,46,213,46.6,18
ZCTA5 01082,ZCTA5,1082,1082,Ware,MA,10565,3808,1863,33640,4448,215,669,1646,85.8,33
ZCTA5 01083,ZCTA5,1083,1083,Warren,MA,2549,1163,815,30423,909,109,0,377,81.7,32
ZCTA5 01084,ZCTA5,1084,1084,West Chesterfield,MA,185,41,30,35313,44,10,0,18,4.7,2
ZCTA5 01088,ZCTA5,1088,1088,West Hatfield,MA,598,330,132,39153,345,10,83,170,48.7,19
ZCTA5 01089,ZCTA5,1089,1089,West Springfield,MA,28835,13101,6940,35307,10358,388,954,4612,665,257
ZCTA5 01092,ZCTA5,1092,1092,West Warren,MA,1343,589,278,55179,532,0,79,254,71.7,28
ZCTA5 01094,ZCTA5,1094,1094,Wheelwright,MA,60,23,20,19500,31,5,0,16,37.6,15
ZCTA5 01095,ZCTA5,1095,1095,Wilbraham,MA,14694,4997,2597,50977,5090,301,423,1350,253,98
ZCTA5 01097,ZCTA5,1097,1097,Woronoco,MA,130,36,21,31667,26,0,0,11,14.2,5
ZCTA5 01098,ZCTA5,1098,1098,Worthington,MA,1147,273,149,46579,504,12,34,180,12.6,5
ZCTA5 01103,ZCTA5,1103,1103,Springfield,MA,2545,976,485,21833,732,31,89,528,1925.2,743
ZCTA5 01104,ZCTA5,1104,1101,Springfield,MA,23598,8765,4060,,5279,305,1366,2047,1714,662
ZCTA5 01105,ZCTA5,1105,1105,Springfield,MA,12051,4902,2524,16434,2141,156,705,1036,4010.9,1549
ZCTA5 01106,ZCTA5,1106,1106,Longmeadow,MA,16165,5422,2852,61712,5495,104,388,1672,650.5,251
ZCTA5 01107,ZCTA5,1107,1107,Springfield,MA,11252,4677,2282,15482,2244,140,660,712,3100.9,1197
ZCTA5 01108,ZCTA5,1108,1108,Springfield,MA,27671,10861,5188,25422,5951,690,1257,2458,2946.1,1137
ZCTA5 01109,ZCTA5,1109,1109,Springfield,MA,30968,10846,5554,20164,3673,181,1305,1319,2216.9,856
ZCTA5 01119,ZCTA5,1119,1119,Springfield,MA,14393,4920,2479,29604,3134,146,531,1116,1509.5,583
ZCTA5 01128,ZCTA5,1128,1128,Springfield,MA,2647,1286,733,38750,931,62,95,291,1125.3,434
ZCTA5 01129,ZCTA5,1129,1129,Springfield,MA,7024,2311,1340,40356,1942,174,219,789,664.8,257
ZCTA5 01144,ZCTA5,1144,,,,,,,,0,0,0,0,0,0
ZCTA5 01151,ZCTA5,1151,1151,Indian Orchard,MA,9150,4057,1868,27716,2407,170,634,775,1571.3,607
ZCTA5 01220,ZCTA5,1220,1220,Adams,MA,8166,3102,1820,31184,3727,59,359,1856,137.7,53
ZCTA5 01222,ZCTA5,1222,1222,Ashley Falls,MA,835,329,245,34432,289,10,45,90,63.4,24
ZCTA5 01223,ZCTA5,1223,1223,Becket,MA,2430,1024,621,35968,1133,70,53,443,14.8,6
ZCTA5 01224,ZCTA5,1224,1224,Berkshire,MA,217,54,50,,80,0,25,14,154.3,60
ZCTA5 01225,ZCTA5,1225,1225,Cheshire,MA,3258,1032,575,46711,1424,58,42,554,46.7,18
ZCTA5 01229,ZCTA5,1229,1229,Glendale,MA,189,8,21,21964,88,0,0,64,22.1,9
ZCTA5 01235,ZCTA5,1235,1235,Hinsdale,MA,2733,947,505,30625,1065,26,98,373,21.6,8
ZCTA5 01236,ZCTA5,1236,1236,Housatonic,MA,1513,379,312,33938,642,33,59,146,95.2,37
ZCTA5 01237,ZCTA5,1237,1237,Lanesborough,MA,2365,633,298,41513,1015,15,160,379,18.3,7
ZCTA5 01238,ZCTA5,1238,1238,Lee,MA,5722,1927,1033,36915,2109,86,308,707,78.7,30
ZCTA5 01240,ZCTA5,1240,1240,Lenox,MA,4692,1293,741,37561,2035,34,271,913,79.5,31
ZCTA5 01242,ZCTA5,1242,1242,Lenox Dale,MA,449,99,15,,93,0,62,0,234.5,91
ZCTA5 01243,ZCTA5,1243,1243,Middlefield,MA,175,47,41,41389,74,16,6,25,4.4,2
ZCTA5 01244,ZCTA5,1244,1244,Mill River,MA,287,36,31,16053,68,0,4,11,11,4
ZCTA5 01245,ZCTA5,1245,1245,Monterey,MA,933,133,103,43088,355,0,15,104,11.5,4
ZCTA5 01253,ZCTA5,1253,1253,Otis,MA,808,397,190,46292,434,1,24,201,16,6
ZCTA5 01254,ZCTA5,1254,1254,Richmond,MA,946,317,152,49583,434,11,11,124,26.6,10
ZCTA5 01255,ZCTA5,1255,1255,Sandisfield,MA,959,282,144,29333,297,34,34,103,6.6,3
ZCTA5 01256,ZCTA5,1256,1256,Savoy,MA,645,238,120,36220,320,14,39,115,7.6,3
ZCTA5 01258,ZCTA5,1258,1258,South Egremont,MA,160,54,33,41750,77,1,9,25,2.8,1
ZCTA5 01259,ZCTA5,1259,1259,Southfield,MA,643,229,136,44625,289,9,15,96,12.1,5
ZCTA5 01260,ZCTA5,1260,1260,South Lee,MA,233,143,171,44922,81,0,0,0,49.4,19
ZCTA5 01262,ZCTA5,1262,1262,Stockbridge,MA,1758,399,177,22051,631,0,65,276,31.8,12
ZCTA5 01264,ZCTA5,1264,1264,Tyringham,MA,219,58,29,30313,100,3,7,39,6.7,3
ZCTA5 01266,ZCTA5,1266,1266,West Stockbridge,MA,1208,287,134,46750,398,32,28,114,17.6,7
ZCTA5 01267,ZCTA5,1267,1267,Williamstown,MA,7876,1720,761,27729,2380,41,259,958,53.2,21
ZCTA5 01270,ZCTA5,1270,1270,Windsor,MA,755,378,232,48456,343,24,22,103,11.4,4
ZCTA5 01330,ZCTA5,1330,1330,Ashfield,MA,1500,474,252,36429,625,43,34,251,17.3,7
ZCTA5 01331,ZCTA5,1331,1331,Athol,MA,13656,5169,2676,30267,5236,504,501,1808,98.9,38
ZCTA5 01337,ZCTA5,1337,1337,Bernardston,MA,2562,919,457,39120,997,61,56,299,25.7,10
ZCTA5 01338,ZCTA5,1338,1338,Buckland,MA,127,8,16,38250,55,0,12,35,28.6,11
ZCTA5 01339,ZCTA5,1339,1339,Charlemont,MA,1487,448,247,31216,614,28,57,209,9.9,4
ZCTA5 01341,ZCTA5,1341,1341,Conway,MA,1539,519,254,49969,725,15,35,233,19.1,7
ZCTA5 01342,ZCTA5,1342,1342,Deerfield,MA,1538,481,366,36750,320,23,38,63,23.8,9
ZCTA5 01343,ZCTA5,1343,1343,Drury,MA,165,63,37,32500,51,8,0,13,5.1,2
ZCTA5 01344,ZCTA5,1344,1344,Erving,MA,1665,700,381,32646,655,9,67,251,47.5,18
ZCTA5 01346,ZCTA5,1346,1346,Heath,MA,352,119,66,43958,178,9,19,93,11.7,5
ZCTA5 01347,ZCTA5,1347,1347,Lake Pleasant,MA,204,128,44,42750,75,0,0,75,223.7,86
ZCTA5 01350,ZCTA5,1350,1350,Monroe Bridge,MA,118,21,9,22188,52,0,6,20,4.1,2
ZCTA5 01351,ZCTA5,1351,1351,Montague,MA,2293,1157,673,40295,1042,35,130,397,53.7,21
ZCTA5 01354,ZCTA5,1354,1354,Gill,MA,1546,744,385,39107,580,40,27,226,48,19
ZCTA5 01355,ZCTA5,1355,1355,New Salem,MA,879,220,140,36540,340,8,36,99,8.2,3
ZCTA5 01360,ZCTA5,1360,1360,Northfield,MA,2871,964,482,40082,1151,91,199,297,32.6,13
ZCTA5 01366,ZCTA5,1366,1366,Petersham,MA,1187,359,191,35990,440,6,29,156,11.9,5
ZCTA5 01367,ZCTA5,1367,1367,Rowe,MA,506,143,78,31544,167,11,9,56,7.4,3
ZCTA5 01368,ZCTA5,1368,1368,Royalston,MA,1283,515,269,40296,544,18,40,154,12.7,5
ZCTA5 01370,ZCTA5,1370,1370,Shelburne Falls,MA,3932,1238,650,34963,1593,41,159,711,29.6,11
ZCTA5 01375,ZCTA5,1375,1375,Sunderland,MA,3639,1532,858,31961,1455,65,174,763,100.6,39
ZCTA5 01378,ZCTA5,1378,1378,Warwick,MA,780,265,155,40580,307,9,17,105,7.9,3
ZCTA5 01379,ZCTA5,1379,1379,Wendell,MA,774,338,204,29762,340,22,19,129,14.7,6
ZCTA5 01380,ZCTA5,1380,,,,,,,,14,0,0,9,2.8,1
ZCTA5 01430,ZCTA5,1430,1430,Ashburnham,MA,6303,2222,1025,47375,2084,50,345,285,66.4,26
ZCTA5 01431,ZCTA5,1431,1431,Ashby,MA,3193,1068,548,44253,1264,21,84,362,52,20
ZCTA5 01432,ZCTA5,1432,1432,Ayer,MA,8221,2978,1422,56645,3116,118,245,1416,358.6,138
ZCTA5 01434,ZCTA5,1434,1434,Devens,MA,1652,1108,1008,33325,165,119,0,14,133.1,51
ZCTA5 01436,ZCTA5,1436,1436,Baldwinville,MA,3208,1341,957,40464,1240,188,107,386,157.7,61
