name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
1840 Brewing Company,micro,342 E Ward St,Milwaukee,Wisconsin,53207-1348,-87.90606942,43.00436242,Wisconsin,53207,43,,"34,292","1,362",526,26%,17283,9019,42886,14382,487,952,7755
1850 Brewing Company,micro,,Mariposa,California,95338,-119.9036592,37.570148,California,95338,44,,"11,019",12,5,15%,3203,1667,28805,4157,221,440,1508
18th Street Brewery,micro,5725 Miller Ave,Gary,Indiana,46403-2871,-87.26887786,41.59928343,Indiana,46403,45,,"11,649",479,185,19%,4047,2204,30942,1435,200,128,650
18th Street Brewery,micro,5417 Oakley Ave,Hammond,Indiana,46320-1817,-87.517422,41.61556796,Indiana,46320,46,,"14,514","1,132",437,17%,4937,2497,20190,1405,85,139,713
1905 Brewing Company,micro,1301 S Chestnut St,Assumption,Illinois,62510-8504,-89.0503635,39.5172564,Illinois,62510,47,,"1,650",9,3,13%,497,221,26471,768,20,77,367
Roobrew,contract,,Akron,Ohio,44311-1051,-81.52171511,41.064332,Ohio,44311,6005,INCOMPLETE,,"1,488",575,,,,,,,,
192 Brewing,micro,7324 NE 175th St,Kenmore,Washington,98028-2500,-122.2415652,47.75670075,Washington,98028,49,,"23,914","1,480",571,25%,10793,5925,57418,7175,271,362,2752
2 Basset Brewery,micro,202 E Main St,White Sulphur Springs,Montana,59645-9081,-110.9004865,46.54807609,Montana,59645,52,,"1,699",0,0,12%,336,205,26316,610,11,38,217
2 Dogz and A Guy Brewing,micro,228 Church St,Montrose,Pennsylvania,18801-1271,-75.8800318,41.8336364,Pennsylvania,18801,53,,"7,829",17,7,17%,2603,1362,33125,3069,159,298,1018
2 Feet Brewing Company,brewpub,80 Columbia St,Bangor,Maine,04401-6319,-68.77283099,44.80012684,Maine,4401,54,,"44,608",171,66,20%,18049,9088,31813,17651,275,1913,8370
2 Row Brewing,micro,6856 S 300 W,Midvale,Utah,84047-1083,-111.9007652,40.5950202,Utah,84047,55,,"37,146","2,194",847,24%,17538,9045,37459,12381,512,1523,5765
2 Tones Brewing Co.,micro,4539 E Broad St,Whitehall,Ohio,43213-1308,-82.9118174,40.0030689,Ohio,43213,57,,"35,105","1,345",519,22%,15222,7695,31516,6972,556,878,3449
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,Santa Rosa,California,95401-6399,-122.7167729,38.4387767,California,95401,58,,"37,272",680,263,23%,15511,8430,38134,9494,591,807,3962
2 Way Brewing Company,brewpub,18 W Main St,Beacon,New York,12508-2512,-73.9809868,41.5082102,New York,12508,59,,"19,537",527,204,27%,8868,5308,40487,5770,186,499,2587
2 Witches Winery and Brewing Company,micro,209 Trade St,Danville,Virginia,24541-3545,-79.42125553,36.58590349,Virginia,24541,60,,"27,529",148,57,18%,10034,4993,26373,6735,342,691,2832
20 Corners Brewing LLC,brewpub,14148 NE 190th St Ste A,Woodinville,Washington,98072-8437,-122.1517007,47.76864301,Washington,98072,61,,"24,939",535,207,22%,10349,5478,65979,8391,328,565,2584
210 Brewing Co,brewpub,3438 Stoluckquamish Ln,Arlington,Washington,98223-9056,-122.18421,48.215096,Washington,98223,62,,"45,139",55,21,21%,17972,9548,42033,14616,710,1218,3992
217 Brew Works,micro,217 South St S,Wilson,North Carolina,27893-4911,-77.9120318,35.7227625,North Carolina,27893,64,,"37,131",141,54,18%,14261,6841,22184,5524,300,588,2133
21st Amendment Brewery,regional,2010 Williams St Unit A,San Leandro,California,94577-2334,-122.1772928,37.71130036,California,94577,65,,"48,868","2,337",902,22%,21222,10817,40832,7373,288,684,2793
21st Amendment Brewery Cafe,brewpub,563 2nd St,San Francisco,California,94107-1411,-122.3925769,37.782448,California,94107,66,,"34,012","5,952",2298,31%,18432,10447,98245,8299,66,269,4947
21st St Brewers Bar,brewpub,2017 Chouteau Ave,Saint Louis,Missouri,63103,-90.213781,38.624291,Missouri,63103,67,,"9,411","1,636",632,22%,3903,2100,28210,2061,13,121,1440
23rd Street Brewery,brewpub,3512 Clinton Pkwy,Lawrence,Kansas,66047-2145,-95.28093353,38.9429674,Kansas,66047,70,,"19,396",137,53,20%,7063,3796,30785,6991,158,303,3233
MillerCoors Brewing Co - Albany,large,405 Cordele Rd,Albany,Georgia,31705-2109,-84.08203126,31.58549343,Georgia,31705,4676,INCOMPLETE,,86,33,,,,,,,,
2C Family Brewing Co.,micro,1215 1st St S,Nampa,Idaho,83651-3957,-116.559282,43.578989,Idaho,83651,73,,"34,509",875,338,22%,14508,7611,28440,10874,855,732,3788
2Kids Brewing Company,micro,8680 Miralani Dr Ste 123,San Diego,California,92126-6391,-117.137429,32.896584,California,92126,74,,"74,788","2,603",1005,26%,35604,19324,41818,9540,512,711,2799
2nd Shift Brewing Co,brewpub,1601 Sublette Ave,Saint Louis,Missouri,63110-1924,-90.280526,38.621943,Missouri,63110,75,,"18,199","1,011",390,27%,9470,4827,43002,5930,91,405,3371
3 Beards Beer Company,contract,4 Main St,Williamsburg,Massachusetts,1096,-72.7305059,42.3923659,Massachusetts,1096,78,,"2,509",26,10,21%,950,531,43611,1047,36,27,325
3 Daughters Brewing,micro,222 22nd St S,Saint Petersburg,Florida,33712-1240,-82.6629721,27.76899022,Florida,33712,79,,"26,395","1,478",571,18%,9704,4696,30893,2857,220,168,1369
3 Disciples Brewing,micro,,Sebastopol,California,95472-5937,-122.8332502,38.3845125,California,95472,80,,"28,430",164,63,18%,10519,5027,43640,10515,440,1094,3476
3 Freaks Brewing Co,micro,7140 E County Line Rd,Highlands Ranch,Colorado,80126-3926,-104.9426656,39.5659575,Colorado,80126,81,,"44,221","1,576",608,20%,17684,8932,63529,14170,553,1051,2736
3 Iron Brewing Company,micro,898 Via Lata Ste A,Colton,California,92324-3920,-117.3066993,34.05616889,California,92324,82,,"58,626",805,311,21%,24313,12604,30114,8394,509,1527,2051
"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,Bradenton,Florida,34208-2421,-82.53393502,27.49645026,Florida,34208,83,,"38,522",963,372,22%,15822,8451,25394,9717,532,1266,3115
7venth Sun Tampa,micro,6809 N Nebraska Ave,Tampa,Florida,33604-5660,-82.4500207,27.9495902,Florida,33604,84,,"39,071","2,003",773,22%,17367,8555,26438,8784,580,1102,3987
3 Nations Brewing,micro,2405 Squire Pl Ste 200,Farmers Branch,Texas,75234-4714,-96.89883128,32.93044336,Texas,75234,85,,"33,216","1,233",476,21%,13775,6970,37098,8504,310,1325,2669
