name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
Good River Beer Company,contract,1790 S Bannock St.,Denver,Colorado,80223,-104.9898169,39.68421218,Colorado,80223,3036,,"19,862","1,472",568,31%,10757,6247,40045,6033,412,572,3204
Good Times Brewing,brewpub,237 Maxwell Ave,Greenwood,South Carolina,29646-2616,-82.16363224,34.18989245,South Carolina,29646,3037,,"26,783",105,41,19%,10586,5110,24454,5717,203,509,2254
GoodLife Brewing Company,regional,70 SW Century Ave 100-464,Bend,Oregon,97701,-121.3302942,44.05138311,Oregon,97701,3040,,"42,159",51,20,22%,17777,9339,37187,15310,827,1663,5986
Goodwood Brewing Co,micro,636 E Main St,Louisville,Kentucky,40202-1004,-85.7400684,38.254635,Kentucky,40202,3042,,"7,179","1,780",687,39%,4312,2780,15121,1049,0,29,819
Goose Island Beer Co / Fulton St,large,1800 W Fulton St,Chicago,Illinois,60612-2512,-87.6722122,41.8870058,Illinois,60612,3044,,"34,402","3,521",1359,23%,15771,7890,30974,4505,48,316,2624
Goose Island Philadelphia,brewpub,1002 Canal St,Philadelphia,Pennsylvania,19123,-75.13506341,39.9648491,Pennsylvania,19123,3046,,"18,793","5,532",2136,34%,11302,6395,54779,5410,130,125,3830
Gordon Biersch Brewery Restaurant - Atlanta,brewpub,3242 Peachtree Rd NE,Atlanta,Georgia,30305-2425,-84.3620936,33.8503143,Georgia,30305,3048,,"29,173","1,569",606,22%,12511,6534,69203,10918,174,383,5912
Gordon Biersch Brewery Restaurant - Bolingbrook,brewpub,639 E Boughton Rd Ste 100,Bolingbrook,Illinois,60440-3126,-88.042356,41.721179,Illinois,60440,3050,,"52,031","1,314",507,20%,20535,10469,35470,9470,308,1273,2843
Gordon Biersch Brewery Restaurant - Burbank,brewpub,145 S San Fernando Blvd,Burbank,California,91502-1322,-118.3083397,34.18041759,California,91502,3053,,"11,665","3,462",1337,25%,6211,2956,31630,4052,206,461,2493
Gordon Biersch Brewery Restaurant - Columbus,closed,401 N Front St Ste 120,Columbus,Ohio,43215-8200,-83.0040735,39.9703677,Ohio,43215,3054,,"20,761","1,151",444,25%,9179,5206,49298,8148,28,71,6966
Gordon Biersch Brewery Restaurant - Glendale,brewpub,6915 N 95th Ave,Glendale,Arizona,85305-2488,-112.2638679,33.5050851,Arizona,85305,3055,,"14,055",912,352,25%,6420,3554,38576,3316,191,453,1174
Draughtsmen Aleworks,micro,53 Santa Felicia Dr,Goleta,California,93117-2804,-119.8759909,34.43146172,California,93117,2285,INCOMPLETE,,126,49,,,,,,,,
Hollister Brewing Co,brewpub,6980 Market Place Dr,Goleta,California,93117-2997,-119.873842,34.428764,California,93117,3510,INCOMPLETE,,126,49,,,,,,,,
Gordon Biersch Brewery Restaurant - Louisville,brewpub,400 S 4th St,Louisville,Kentucky,40202-3418,-85.7574044,38.2528789,Kentucky,40202,3058,,"7,179","1,780",687,39%,4312,2780,15121,1049,0,29,819
Gordon Biersch Brewery Restaurant - Myrtle Beach,brewpub,3060 Howard Ave,Myrtle Beach,South Carolina,29577-1643,-78.939092,33.668327,South Carolina,29577,3059,,"34,109",576,222,21%,13372,6996,27363,10973,419,930,4988
Gordon Biersch Brewery Restaurant - Navy  Yard,brewpub,100 M St SE,Washington,District of Columbia,20003-3519,-77.0052971,38.8766834,District of Columbia,20003,3060,,"36,501","5,867",2265,32%,21508,11539,87999,11804,143,284,6555
Gordon Biersch Brewery Restaurant - New Orleans,brewpub,200 Poydras St,New Orleans,Louisiana,70130-1641,-90.0651027,29.9481058,Louisiana,70130,3061,,"14,521","2,439",942,29%,7630,4259,43660,4958,206,227,3340
Gordon Biersch Brewery Restaurant - San Diego,brewpub,5010 Mission Center Rd,San Diego,California,92108-3211,-117.1539235,32.7740128,California,92108,3064,,"24,266","1,927",744,29%,13012,7001,53410,8453,282,489,5275
Gordon Biersch Brewery Restaurant - Virginia Beach,brewpub,4561 Virginia Beach Blvd,Virginia Beach,Virginia,23462-3015,-76.1345641,36.8432205,Virginia,23462,3069,,"68,045","2,344",905,21%,28872,14409,35106,15199,886,1526,6126
Gordon Biersch Brewery Restaurant - Washington,brewpub,900 F St NW,Washington,District of Columbia,20004-1404,-77.0243479,38.8971375,District of Columbia,20004,3070,,"1,682","3,354",1295,41%,1089,688,111332,1108,10,0,945
Gordon Biersch Brewing Co,regional,357 E Taylor St,San Jose,California,95112-3105,-121.8841169,37.3567304,California,95112,3071,,"60,754","3,106",1199,24%,25692,14747,33451,7975,349,502,4828
Gordon Street Tavern,brewpub,114 N Gordon St,Alvin,Texas,77511-2331,-95.24398685,29.42403097,Texas,77511,3072,,"51,093",128,49,19%,19735,9899,33819,13942,939,1908,3984
Gore Range Brewery,brewpub,105 Edwards Village Blvd,Edwards,Colorado,81632-2970,-106.5953228,39.64367461,Colorado,81632,3073,,"11,343",35,14,22%,4210,2543,38617,2964,101,228,914
Goshen Brewing Company,brewpub,315 W Washington St,Goshen,Indiana,46526-3732,-85.8386783,41.585178,Indiana,46526,3074,,"33,170",189,73,19%,11393,6228,30337,9719,298,824,3039
M.Special Brewing Company,micro,6860 Cortona Dr Ste C,Goleta,California,93117-5507,-119.8684287,34.43298751,California,93117,4405,INCOMPLETE,,126,49,,,,,,,,
GOTL Brewing Co,brewpub,5243 Lake Rd E,Geneva,Ohio,44041-9433,-80.94434114,41.86120536,Ohio,44041,3076,,"13,910",83,32,20%,5190,2781,26034,5757,331,473,2441
Gottberg Brew Pub,brewpub,2804 13th St,Columbus,Nebraska,68601-4919,-97.3621271,41.42940061,Nebraska,68601,3077,,"30,189",40,15,19%,10486,5782,34984,10608,466,675,3822
Grace Ridge Brewing,micro,3388 B St Suite 2,Homer,Alaska,99603-7905,-151.504362,59.639728,Alaska,99603,3078,,"10,766",4,2,19%,3946,2064,34996,3834,104,299,1497
Grafton Winery & Brewhaus,micro,300 W Main St,Grafton,Illinois,62037-1124,-90.439045,38.969851,Illinois,62037,3079,,"1,779",11,4,16%,589,288,33790,712,7,45,278
Grain Station Brew Works,brewpub,755 NE Alpine Ave Ste 200,McMinnville,Oregon,97128-4102,-123.1894465,45.21286658,Oregon,97128,3081,,"38,394",133,51,18%,13269,6982,32204,12179,333,1857,4560
Grains and Taps Brewery and Taproom,micro,10 SW 3rd St,Lees Summit,Missouri,64063,-94.383478,38.91366,Missouri,64063,3083,,"20,965","1,356",523,22%,8559,4655,40627,7392,343,1003,2351
Grains of Wrath Brewing,brewpub,230 NE 5th Ave,Camas,Washington,98607,-122.4056003,45.5857341,Washington,98607,3084,,"35,054",281,109,20%,13900,6970,48795,10085,354,768,2002
Granary 'Cue and Brew,closed,602 Avenue A,San Antonio,Texas,78215-1222,-98.47916983,29.44143325,Texas,78215,3086,,"3,644","1,145",442,30%,1882,1109,60213,1583,33,7,1143
Grand Adventure Brewing Company,brewpub,207 Central Ave,Kremmling,Colorado,80459,-106.3925656,40.0599844,Colorado,80459,3087,,"2,454",2,1,21%,815,514,36809,734,14,75,235
Grand Armory Brewing Co,micro,17 S 2nd St,Grand Haven,Michigan,49417-3328,-86.2312558,43.06378759,Michigan,49417,3088,,"32,406",270,104,19%,12162,6298,35940,12523,577,1183,3679
Grand Armory Brewing Production Facility,micro,1734 Airpark Dr,Grand Haven,Michigan,49417-8943,-86.19774282,43.03862147,Michigan,49417,3089,,"32,406",270,104,19%,12162,6298,35940,12523,577,1183,3679
Grand Canyon Brewing Company,micro,233 W Route 66,Williams,Arizona,86046-2530,-112.1892168,35.2500282,Arizona,86046,3091,,"6,310",3,1,14%,1782,871,31577,2045,106,200,679
Grand Junction Brewing Co,brewpub,110 S Union St,Westfield,Indiana,46074-9458,-86.1275556,40.0424222,Indiana,46074,3092,,"42,598",438,169,20%,17020,8534,46748,12257,352,1097,2573
"Grand Lake Brewing Co, The",brewpub,5610 Yukon St,Arvada,Colorado,80002-2446,-105.082456,39.79927412,Colorado,80002,3093,,"20,267","1,172",453,25%,9449,4969,45767,8157,399,739,3969
Grand River Brewery,brewpub,117 W Louis Glick Hwy,Jackson,Michigan,49201-1327,-84.406597,42.249334,Michigan,49201,3096,,"47,747",121,47,27%,19705,12914,28386,14936,1043,1315,5298
Grand Rounds Brewing Company,brewpub,4 3rd St SW,Rochester,Minnesota,55902-3019,-92.46339522,44.0202771,Minnesota,55902,3098,,"25,878",245,95,18%,9280,4776,57652,9214,147,421,3289
Grand Teton Brewing Co,micro,430 Old Jackson Hwy,Victor,Idaho,83455-5500,-111.10507,43.593522,Idaho,83455,3099,,"5,675",24,9,28%,2779,1592,38827,1967,12,131,826
Grande Mere Inn / Cranberry Bog Bar,brewpub,5800 Red Arrow Hwy,Stevensville,Michigan,49127-1118,-86.5287857,42.01274111,Michigan,49127,3100,,"10,811",251,97,21%,3850,2233,38767,4058,143,411,1254
Lickinghole Creek Craft Brewery,micro,4100 Knolls Point Dr,Goochland,Virginia,23063-2858,-78.0036966,37.7404672,Virginia,23063,4195,INCOMPLETE,,18,7,,,,,,,,
Granite City Food & Brewery,brewpub,992 Willow Rd,Northbrook,Illinois,60062-6806,-87.8570648,42.1056946,Illinois,60062,3103,,"42,751",856,331,16%,13797,6901,56328,13465,254,758,3965
Granite City Food & Brewery,brewpub,100 Renaissance Ctr,Detroit,Michigan,48243-1114,-83.04053931,42.32916295,Michigan,48243,3106,,,,,,,11,,0,0,0,0
Granite City Food & Brewery,brewpub,24519 Cedar Rd,Cleveland,Ohio,44124-3780,-81.5040318,41.5033931,Ohio,44124,3107,,"40,530","1,027",397,20%,15866,8267,42083,14966,477,1294,6532
Granite City Food & Brewery,brewpub,1864 W McEwen Dr,Franklin,Tennessee,37067-1782,-86.8271308,35.9361408,Tennessee,37067,3108,,"31,465",385,149,23%,14429,7372,52975,9996,126,664,3303
Granite City Food & Brewery (#1),brewpub,3945 2nd St S,Saint Cloud,Minnesota,56301-3792,-94.2053715,45.5497329,Minnesota,56301,3109,,"33,786",179,69,18%,11387,5952,27142,9740,343,749,4061
Granite City Food & Brewery (#10),brewpub,3330 Pilot Knob Rd,Eagan,Minnesota,55121-2055,-93.16714524,44.83779871,Minnesota,55121,3110,,"9,468",345,133,22%,3794,2084,41141,2774,82,148,1458
Granite City Food & Brewery (#11),brewpub,8461 NW Prairie View Rd,Kansas City,Missouri,64153-1842,-94.66105,39.24936415,Missouri,64153,3111,,"6,129",65,25,27%,2903,1654,44100,2045,164,194,835
Granite City Food & Brewery (#12),brewpub,1701 Village West Pkwy,Kansas City,Kansas,66111-1879,-94.8239539,39.1233376,Kansas,66111,3112,,"10,506",177,68,22%,4447,2282,33615,2813,194,475,965
Granite City Food & Brewery (#13),brewpub,15085 W 119th St,Olathe,Kansas,66062-9628,-94.75995296,38.91268389,Kansas,66062,3113,,"77,553",698,269,21%,32280,16247,47339,23767,959,1735,6666
Granite City Food & Brewery (#16),brewpub,1001 N 102nd St,Omaha,Nebraska,68114-2155,-96.071539,41.268008,Nebraska,68114,3114,,"18,078","1,187",458,19%,6450,3477,39664,6891,203,418,3205
Granite City Food & Brewery (#19),brewpub,7144 Harrison Ave Ste 108,Rockford,Illinois,61112-,-89.0966204,42.2377268,Illinois,61112,3116,,139,54,21,14%,8,20,24023,71,0,0,63
Granite City Food & Brewery (#2),brewpub,2620 S Louise Ave,Sioux Falls,South Dakota,57106-4329,-96.7727844,43.52337192,South Dakota,57106,3117,,"47,877",629,243,24%,21395,11288,41129,18456,632,1928,7414
Granite City Food & Brewery (#21),brewpub,230 Conference Center Dr,East Peoria,Illinois,61611-9501,-89.5898359,40.6830595,Illinois,61611,3118,,"23,837",226,87,21%,8950,4897,36531,9731,361,546,3363
Granite City Food & Brewery (#22),brewpub,14035 S La Grange Rd,Orland Park,Illinois,60462-1321,-87.85389056,41.63748251,Illinois,60462,3119,,"40,539",990,382,19%,14245,7775,42850,13946,595,1182,4115
Granite City Food & Brewery (#24),brewpub,3809 Coldwater Rd,Fort Wayne,Indiana,46805-1101,-85.13581857,41.1113216,Indiana,46805,3120,,"21,138","1,344",519,23%,8866,4757,28802,7634,328,725,4059
Granite City Food & Brewery (#26),brewpub,6501 Grape Rd Ste 1000,Mishawaka,Indiana,46545-1010,-86.1923429,41.7177604,Indiana,46545,3122,,"26,312",557,215,21%,10559,5444,30486,10262,336,1071,4955
Granite City Food & Brewery (#28),brewpub,699 W Big Beaver Rd,Troy,Michigan,48084-4920,-83.1616138,42.56225169,Michigan,48084,3124,,"16,364",985,380,22%,6857,3673,64236,4087,112,283,1728
Granite City Food & Brewery (#29),brewpub,11411 Olive Blvd,Creve Coeur,Missouri,63141-7108,-90.43338752,38.67222065,Missouri,63141,3125,,"21,995",553,213,17%,7370,3643,57815,7327,146,439,2893
Granite City Food & Brewery (#3),brewpub,1636 42nd St SW,Fargo,North Dakota,58103-3324,-96.8500756,46.8559768,North Dakota,58103,3126,,"46,754","1,686",651,25%,21013,11581,33035,18978,407,1469,10427
Granite City Food & Brewery (#30),brewpub,1828 Abriter Ct,Naperville,Illinois,60563-9368,-88.12944727,41.80283897,Illinois,60563,3127,,"37,997","1,026",396,23%,17451,8822,55157,11055,425,719,4449
Granite City Food & Brewery (#4),brewpub,12801 University Ave,Clive,Iowa,50325-8219,-93.795293,41.600494,Iowa,50325,3130,,"18,619",916,354,22%,7758,4182,55952,5984,130,246,1770
Granite City Food & Brewery (#6),brewpub,5270 Utica Ridge Rd,Davenport,Iowa,52807-3872,-90.51357975,41.57457211,Iowa,52807,3132,,"15,851",207,80,22%,5977,3471,39507,5773,232,401,2518
Granite City Food & Brewery (#7),brewpub,6200 O St,Lincoln,Nebraska,68510-2240,-96.6872327,40.8135885,Nebraska,68510,3133,,"20,669","1,687",651,21%,7555,4283,34835,8162,195,699,3969
Granite City Food & Brewery (#8),brewpub,11909 Main St,Maple Grove,Minnesota,55369-7098,-93.4404863,45.0916614,Minnesota,55369,3134,,"38,379",586,226,21%,15597,7938,52307,13613,207,872,4747
Granite City Food & Wort House,micro,1722 Detroit St,Ellsworth,Iowa,50075,-93.57473798,42.31330919,Iowa,50075,3135,,833,6,2,16%,258,137,36477,303,8,25,116
Granite Falls Brewing Co.,brewpub,47 Duke St,Granite Falls,North Carolina,28630-1807,-81.4285158,35.7894173,North Carolina,28630,3136,,"19,772",132,51,21%,7945,4165,29869,7394,345,961,2273
Granite Mountain Brewing,micro,123 N Cortez St,Prescott,Arizona,86302-1109,-112.4686018,34.54238481,Arizona,86302,3137,,"18,201",,,12%,4369,2169,34900,8618,167,271,4179
Granite Roots Brewing,micro,244 N Main St,Troy,New Hampshire,03465-,-72.18973144,42.84401358,New Hampshire,3465,3138,,"2,130",39,15,20%,745,423,32595,702,45,81,272
Granville Brewing Company,micro,5371 Columbus Rd,Granville,Ohio,43023-9192,-82.58861603,40.03527379,Ohio,43023,3139,,"14,462",113,44,17%,4221,2440,37945,4413,169,188,910
Gravel Bottom Craft Brewery,micro,452 Ada Dr SE,Ada,Michigan,49301,-85.4857858,42.955144,Michigan,49301,3142,,"20,665",138,53,19%,7763,3996,62809,6418,220,179,885
Gravely Brewing Co.,micro,514 Baxter Ave,Louisville,Kentucky,40204-1104,-85.7301702,38.2470763,Kentucky,40204,3143,,"14,600","1,775",685,29%,7691,4273,40558,6724,200,488,4131
GravSouth Brewing Co.,brewpub,7950 Redwood Dr Ste 15,Cotati,California,94931-3054,-122.7140388,38.33255458,California,94931,3148,,"9,119",448,173,19%,3574,1775,41820,3028,117,280,1207
Gray Brewing Co,micro,2424 W Court St,Janesville,Wisconsin,53548,-89.04972689,42.67930794,Wisconsin,53548,3149,,"19,233",105,40,23%,8057,4453,34965,7844,502,915,2480
Greasy Luck Brewery,brewpub,791 Purchase St,New Bedford,Massachusetts,02740-6345,-70.92607527,41.63507079,Massachusetts,2740,3152,,"45,166","3,090",1193,20%,17866,8808,27532,11713,657,1559,5301
Great Adirondack Brewing Company,brewpub,2442 Main St,Lake Placid,New York,12946-3300,-73.985385,44.288397,New York,12946,3153,,"5,217",13,5,17%,1681,878,31955,1928,176,206,869
"Great American Restaurants, Sweetwater Tavern",brewpub,14250 Sweetwater Ln,Centreville,Virginia,20121-5336,-77.43946496,38.82898546,Virginia,20121,3154,,"28,901","1,223",472,25%,13492,7123,51343,5098,244,412,1829
Great Baraboo Brewing Co,brewpub,35905 Utica Rd,Clinton Township,Michigan,48035-2155,-82.96514018,42.56028034,Michigan,48035,3157,,"34,018","1,552",599,21%,13862,7302,31898,11113,667,1258,4293
Atwater Grand Rapids,brewpub,201 Michigan St NW,Grand Rapids,Michigan,49503-2323,-85.672454,42.970463,Michigan,49503,461,INCOMPLETE,,"1,968",760,,,,,,,,
Great Basin Brewing Co,brewpub,5525 S Virginia St,Reno,Nevada,89502-6085,-119.789957,39.4762338,Nevada,89502,3159,,"47,062",825,318,21%,19004,9963,31055,12641,732,1455,6310
Great Basin Brewing Co,brewpub,846 Victorian Ave,Sparks,Nevada,89431-5275,-119.775003,39.53533,Nevada,89431,3160,,"40,219","1,704",658,24%,17254,9605,30996,9512,579,1528,4146
Great Beer Co,contract,21119 Superior St,Chatsworth,California,91311-4309,-118.5932845,34.24643282,California,91311,3162,,"39,014",488,189,22%,16306,8470,43222,8560,527,995,2536
Great Black Swamp Brewing Co,micro,3323 Monroe St,Toledo,Ohio,43606-4553,-83.5462275,41.6530711,Ohio,43606,3163,,"25,671","1,503",580,18%,9045,4588,26053,6168,253,504,2852
Great Burn Brewing,micro,2230 McDonald Ave,Missoula,Montana,59801-8802,-114.033997,46.83979192,Montana,59801,3164,,"30,629","1,547",597,24%,14009,7222,27738,13462,448,1142,8285
Great Central Brewing Company,micro,221 N Wood St,Chicago,Illinois,60612-2614,-87.6712098,41.8858315,Illinois,60612,3165,,"34,402","3,521",1359,23%,15771,7890,30974,4505,48,316,2624
Great Change Brewing,planning,,Bakersfield,California,93313,-119.0194639,35.3738712,California,93313,3166,,"58,322",235,91,23%,26031,13526,35090,9175,574,1395,1357
Great Chicago Fire Brewery and Tap Room,brewpub,311 W Magnolia St,Leesburg,Florida,34748-5894,-81.8767662,28.81023951,Florida,34748,3167,,"45,481",416,161,13%,10994,5811,26483,15404,321,1451,5420
Great Crescent Brewery,micro,315 Importing St,Aurora,Indiana,47001-1415,-84.90051257,39.05760229,Indiana,47001,3168,,"10,208",53,20,20%,3995,2061,32064,4147,271,358,1416
Great Dane Pub and Brewing Co - Fitchburg,brewpub,2980 Cahill Main,Fitchburg,Wisconsin,53711-7146,-89.42370903,43.01816267,Wisconsin,53711,3170,,"51,448",722,279,19%,18949,9934,48944,17837,422,805,7600
Great Dane Pub and Brewing Co -- Hilldale,brewpub,357 Price Pl,Madison,Wisconsin,53705-3208,-89.45243818,43.07061375,Wisconsin,53705,3171,,"24,695","1,516",585,23%,10822,5745,44332,9206,174,574,4690
Great Dane Pub and Brewing Co- Wausau,brewpub,2305 Sherman St,Wausau,Wisconsin,54401-1708,-89.66482568,44.9511963,Wisconsin,54401,3172,,"31,727",144,55,18%,11256,5869,33219,12005,235,1077,4786
Great Divide Brewing Co,regional,2201 Arapahoe St,Denver,Colorado,80205-2512,-104.9885279,39.7539229,Colorado,80205,3173,,"34,967","2,810",1085,33%,21001,11591,50317,10282,246,659,6814
Great Divide Brewing Co - RiNo Barrel Bar,micro,1812 35th St,Denver,Colorado,80216-3665,-104.979247,39.7703322,Colorado,80216,3174,,"15,915",585,226,29%,7912,4670,37054,3499,225,468,2053
B.O.B's Brewery,brewpub,20 Monroe Ave NW,Grand Rapids,Michigan,49503-6208,-85.67248446,42.9638257,Michigan,49503,492,INCOMPLETE,,"1,968",760,,,,,,,,
Great Flood Brewing,micro,2120 Bardstown Rd,Louisville,Kentucky,40205-1916,-85.6938076,38.2239974,Kentucky,40205,3177,,"24,077","1,411",545,22%,9831,5242,45323,10070,164,824,4276
Elk Brewing Co,brewpub,700 Wealthy St SE,Grand Rapids,Michigan,49503-5539,-85.6515221,42.9554463,Michigan,49503,2431,INCOMPLETE,,"1,968",760,,,,,,,,
Great Frontier Brewing Company,micro,2010 S Oak St,Lakewood,Colorado,80227-2050,-105.1177216,39.6813614,Colorado,80227,3179,,"35,567","1,260",487,21%,14277,7565,42796,12662,341,1229,5542
Great Heights Brewing Company,micro,938 Wakefield Dr,Houston,Texas,77018-6204,-95.4223629,29.8216738,Texas,77018,3180,,"27,870","1,621",626,26%,13337,7260,54367,8296,331,504,2873
Great Lakes Brewing Co,regional,1947 W 28th St,Cleveland,Ohio,44113-3422,-81.70571113,41.48405803,Ohio,44113,3181,,"20,291","1,932",746,34%,11545,6803,43386,7141,158,403,5309
Great Lakes Brewing Co,brewpub,2516 Market Ave,Cleveland,Ohio,44113-3434,-81.7044266,41.4844172,Ohio,44113,3182,,"20,291","1,932",746,34%,11545,6803,43386,7141,158,403,5309
Great Northern Brewing Co,micro,2 Central Ave,Whitefish,Montana,59937-2547,-114.3370175,48.4123443,Montana,59937,3186,,"14,354",18,7,21%,5702,3073,36529,5897,35,343,2490
Great Notion Brewing,brewpub,2204 NE Alberta St Ste 101,Portland,Oregon,97211-5885,-122.64249,45.55884,Oregon,97211,3187,,"33,762","1,847",713,29%,19312,9737,46738,10300,267,731,4634
Great Notion Brewing NW,micro,2444 NW 28th Ave,Portland,Oregon,97210,-122.7089599,45.54001975,Oregon,97210,3188,,"13,016",495,191,25%,6201,3214,57840,5387,48,135,3331
Founders Brewing Co,regional,235 Grandville Ave SW,Grand Rapids,Michigan,49503-4037,-85.6765753,42.9524964,Michigan,49503,2799,INCOMPLETE,,"1,968",760,,,,,,,,
Great River Brewery,micro,332 E 2nd St,Davenport,Iowa,52801-1702,-90.57063937,41.52138805,Iowa,52801,3191,,"1,446","1,377",532,28%,637,405,19318,648,24,13,593
Great Waters Brewing Company,brewpub,426 Saint Peter St,Saint Paul,Minnesota,55102-1105,-93.096926,44.94672,Minnesota,55102,3194,,"20,355","2,229",861,25%,9087,4999,41117,8812,340,325,5731
Greater Good Imperial Brew Co,brewpub,55 Millbrook St,Worcester,Massachusetts,1606,-71.80355503,42.2891295,Massachusetts,1606,3195,,"21,651","1,475",570,23%,9757,5015,42362,7422,311,915,3657
Green Bench Brewing Co,micro,1133 Baum Ave N,Saint Petersburg,Florida,33705-1555,-82.65067185,27.7717121,Florida,33705,3196,,"27,915","1,850",714,20%,10222,5488,33144,5735,163,392,3090
Green Bus Brewing,brewpub,206 Eustis Ave SE,Huntsville,Alabama,35801-4233,-86.58405136,34.73010503,Alabama,35801,3198,,"22,539",701,271,29%,11344,6627,41784,9219,257,651,4159
Green Cheek Beer Company,micro,2957 Randolph Av unit B,Costa Mesa,California,92626,-117.8882255,33.67893714,California,92626,3199,,"50,885","2,005",774,26%,24321,13143,46294,12859,617,897,5430
Fountain Hill Brewery,brewpub,151 Fountain St NE,Grand Rapids,Michigan,49503-3263,-85.664754,42.965489,Michigan,49503,2803,INCOMPLETE,,"1,968",760,,,,,,,,
Green Feet Brewing,micro,3669 E 44th St,Tucson,Arizona,85713-6814,-110.9232648,32.1843632,Arizona,85713,3202,,"46,810",744,287,21%,17262,9749,23796,10019,793,1668,3385
Green Flash Brewing Co,regional,6550 Mira Mesa Blvd,San Diego,California,92121-4100,-117.113975,32.9167796,California,92121,3203,,"4,658",130,50,27%,1985,1248,64167,1028,24,37,420
Klockow Brewing Company,micro,36 SE 10th St,Grand Rapids,Minnesota,55744-3947,-93.52833525,47.22108337,Minnesota,55744,3997,INCOMPLETE,,33,13,,,,,,,,
Green Man Brewing Co,micro,27 Buxton Ave,Asheville,North Carolina,28801-4019,-82.55367153,35.5886249,North Carolina,28801,3206,,"15,148","1,088",420,25%,6597,3769,29537,4991,106,206,3151
Green Oak Brewing,brewpub,1427 Wine Country Rd,Prosser,Washington,99350-1148,-119.7707374,46.210051,Washington,99350,3208,,"13,240",9,4,21%,5013,2803,33481,3566,63,445,914
Vander Mill,brewpub,505 Ball Ave NE,Grand Rapids,Michigan,49503-2011,-85.6305954,42.9712724,Michigan,49503,7511,INCOMPLETE,,"1,968",760,,,,,,,,
Green Room Burgers & Beer,brewpub,4010 Pennsylvania Ave,Kansas City,Missouri,64111-3010,-94.5932559,39.0544808,Missouri,64111,3210,,"17,112","2,428",938,37%,10241,6255,39171,8389,206,280,6459
Green Tree Brewery,micro,309 N Cody Road,Le Claire,Iowa,52753,-90.343376,41.599934,Iowa,52753,3211,,"6,176",94,36,13%,1843,832,45625,2040,72,178,481
Green Wolf Brewing Co,micro,315 Main St,Middleburgh,New York,12122-,-74.334814,42.598257,New York,12122,3212,,"3,763",14,6,18%,1261,689,31700,1819,112,188,803
Greenbrier Valley Brewing Co,micro,862 Industrial Park Rd Ste A,Maxwelton,West Virginia,24957,-79.9614382,39.6272603,West Virginia,24957,3213,,538,21,8,24%,249,130,93700,213,14,0,34
Greenbush Annex,micro,5870 Sawyer Rd,Sawyer,Michigan,49125,-86.59404729,41.88540971,Michigan,49125,3214,,"1,743",66,25,24%,870,416,29727,919,0,188,231
Greenbush Brewing Co,micro,5885 Sawyer Rd,Sawyer,Michigan,49125-9380,-86.59431314,41.88557686,Michigan,49125,3215,,"1,743",66,25,24%,870,416,29727,919,0,188,231
Greene Growlers,brewpub,227 E Diamond Ave,Gaithersburg,Maryland,20877,-77.19355584,39.1419364,Maryland,20877,3216,,"37,577","2,539",980,23%,15786,8574,33102,4911,218,470,2050
Greenpoint Beer,brewpub,7 N 15th St,Brooklyn,New York,11222-2838,-73.99607617,40.66893407,New York,11222,3217,,"41,957","10,061",3884,31%,25232,12935,61179,15435,383,1040,9078
"Greenport Harbor Brewing Co, LLC",brewpub,42155 Main Rd,Peconic,New York,11958-1502,-72.4545703,41.0415525,New York,11958,3218,,691,106,41,18%,251,126,40608,310,0,35,143
Greenstar Brewing At Uncommon Ground,brewpub,3810 N Clark St,Chicago,Illinois,60613-2812,-87.66001045,41.95128495,Illinois,60613,3220,,"53,048","8,837",3412,32%,31533,17193,60477,22410,572,774,14872
Greer Brewing,closed,16050 Manchester Rd,Ellisville,Missouri,63011-2161,-90.59484652,38.590625,Missouri,63011,3222,,"37,495","1,002",387,18%,12505,6641,48807,12568,315,841,3630
Grey Sail Brewing Co. LLC,micro,63 Canal St,Westerly,Rhode Island,02891-1552,-71.832459,41.385011,Rhode Island,2891,3223,,"21,803",323,125,19%,7757,4117,40338,9113,335,843,3341
Greyline Brewing,brewpub,1727 Alpine Ave NW,Grand Rapids,Michigan,49504-,-85.68843549,42.99474375,Michigan,49504,3225,,"41,249","1,416",547,20%,16645,8441,29112,13850,466,1325,6704
Greywolf Brewing,planning,,Riverside,California,92508-9793,-117.3961623,33.9533546,California,92508,3226,,"35,415","1,272",491,23%,15242,8222,43666,5531,177,506,704
Grid City Beer Works,brewpub,333 W 2100 S,Salt Lake City,Utah,84115-1825,-111.9008077,40.7250681,Utah,84115,3227,,"27,588","1,780",687,26%,12906,7230,30891,8910,530,802,5098
Gridlock Brewing Co,contract,2659 Pickfair Lane,Livermore,California,94551,-121.7669791,37.69251772,California,94551,3228,,"40,358",189,73,23%,18001,9428,55353,9362,354,589,3000
Griesedieck Brothers Brewery,contract,1240 Switzer Ave,Saint Louis,Missouri,63147-1840,-90.23498721,38.70903511,Missouri,63147,3229,,"8,499",541,209,19%,2897,1575,22080,162,39,14,102
Griffin Claw Brewing Co,micro,575 S Eton St,Birmingham,Michigan,48009-6824,-83.19546429,42.5434572,Michigan,48009,3230,,"21,817","1,690",652,20%,8512,4454,79601,8506,207,446,3313
