name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code
2 Row Brewing,micro,6856 S 300 W,Midvale,Utah,84047-1083,-111.9007652,40.5950202,Utah,84047
2 Silos Brewing Company,micro,9925 Discovery Blvd,Manassas,Virginia,20109,,,Virginia,20109
2 Tones Brewing Co.,micro,4539 E Broad St,Whitehall,Ohio,43213-1308,-82.9118174,40.0030689,Ohio,43213
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,Santa Rosa,California,95401-6399,-122.7167729,38.4387767,California,95401
2 Way Brewing Company,brewpub,18 W Main St,Beacon,New York,12508-2512,-73.9809868,41.5082102,New York,12508
2 Witches Winery and Brewing Company,micro,209 Trade St,Danville,Virginia,24541-3545,-79.42125553,36.58590349,Virginia,24541
20 Corners Brewing LLC,brewpub,14148 NE 190th St Ste A,Woodinville,Washington,98072-8437,-122.1517007,47.76864301,Washington,98072
210 Brewing Co,brewpub,3438 Stoluckquamish Ln,Arlington,Washington,98223-9056,-122.18421,48.215096,Washington,98223
212 Brewing Company,contract,21476 Route 23,Davenport,New York,13750,,,New York,13750
217 Brew Works,micro,217 South St S,Wilson,North Carolina,27893-4911,-77.9120318,35.7227625,North Carolina,27893
21st Amendment Brewery,regional,2010 Williams St Unit A,San Leandro,California,94577-2334,-122.1772928,37.71130036,California,94577
21st Amendment Brewery Cafe,brewpub,563 2nd St,San Francisco,California,94107-1411,-122.3925769,37.782448,California,94107
21st St Brewers Bar,brewpub,2017 Chouteau Ave,Saint Louis,Missouri,63103,-90.213781,38.624291,Missouri,63103
23 Brewing Company / Lizzie B's Cafe,brewpub,2010 KY Route 321,Prestonsburg,Kentucky,41653-9103,,,Kentucky,41653
238 Brewing Company,closed,10321 E Day Mt Spokane Rd,Mead,Washington,99021,,,Washington,99021
23rd Street Brewery,brewpub,3512 Clinton Pkwy,Lawrence,Kansas,66047-2145,-95.28093353,38.9429674,Kansas,66047
26 Degree Brewing Company,micro,2600 E Atlantic Blvd,Pompano Beach,Florida,33062-4940,-80.1224169,26.2316338,Florida,33062
28th State Brewing,planning,,Houston,Texas,77095-6933,,,Texas,77095
2C Family Brewing Co.,micro,1215 1st St S,Nampa,Idaho,83651-3957,-116.559282,43.578989,Idaho,83651
2Kids Brewing Company,micro,8680 Miralani Dr Ste 123,San Diego,California,92126-6391,-117.137429,32.896584,California,92126
2nd Shift Brewing Co,brewpub,1601 Sublette Ave,Saint Louis,Missouri,63110-1924,-90.280526,38.621943,Missouri,63110
2nd Story Brewing Company,brewpub,117 Chestnut St Frnt,Philadelphia,Pennsylvania,19106-4700,,,Pennsylvania,19106
2SP Brewing Company,micro,120 Concord Rd,Aston,Pennsylvania,19014-2909,,,Pennsylvania,19014
3 Beards Beer Company,contract,4 Main St,Williamsburg,Massachusetts,01096,-72.7305059,42.3923659,Massachusetts,01096
3 Daughters Brewing,micro,222 22nd St S,Saint Petersburg,Florida,33712-1240,-82.6629721,27.76899022,Florida,33712
3 Disciples Brewing,micro,,Sebastopol,California,95472-5937,-122.8332502,38.3845125,California,95472
3 Freaks Brewing Co,micro,7140 E County Line Rd,Highlands Ranch,Colorado,80126-3926,-104.9426656,39.5659575,Colorado,80126
3 Iron Brewing Company,micro,898 Via Lata Ste A,Colton,California,92324-3920,-117.3066993,34.05616889,California,92324
"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,Bradenton,Florida,34208-2421,-82.53393502,27.49645026,Florida,34208
7venth Sun Tampa,micro,6809 N Nebraska Ave,Tampa,Florida,33604-5660,-82.4500207,27.9495902,Florida,33604
3 Nations Brewing,micro,2405 Squire Pl Ste 200,Farmers Branch,Texas,75234-4714,-96.89883128,32.93044336,Texas,75234
3 Sheeps Brewing Co,micro,1837 North Ave,Sheboygan,Wisconsin,53083-4620,-87.73006524,43.77384561,Wisconsin,53083
3 Sheets Brewery,micro,136 W 1st Ave,Albany,Oregon,97321,,,Oregon,97321
3 Sons Brewing Co.,proprietor,236 N Federal Hwy,Dania,Florida,33004-2870,-80.14361029,26.04800238,Florida,33004
3 Stars Brewing Co,micro,6400 Chillum Pl NW Ste B,Washington,District of Columbia,20012-2111,,,District of Columbia,20012
3 Trails Brewing Co,micro,111 N Main St ,Independence,Missouri,64050,-94.41265,39.122385,Missouri,64050
30 Mile Brewing Co.,closed,39 Ragged Rock Rd Unit 5,Old Saybrook,Connecticut,06475-1518,,,Connecticut,06475
300 Suns Brewing Company,brewpub,335 1st Ave Unit C,Longmont,Colorado,80501-5958,,,Colorado,80501
32 North Brewing Co,closed,8655 Production Ave Ste A,San Diego,California,92121-2258,-117.1649842,32.88313237,California,92121
34 Degree North Experiment Station,micro,4802 Main St,Shallotte,North Carolina,28470,-78.38636517,33.97270364,North Carolina,28470
350 Brewing Co,brewpub,7144 183rd St,Tinley Park,Illinois,60477-3933,-87.79160288,41.55864726,Illinois,60477
38 State Brewing,micro,8071 S Broadway Ste A,Littleton,Colorado,80122-2730,,,Colorado,80122
380 Brewing Company,planning,,Clancy,Montana,59634,,,Montana,59634
38Â°-75Â° Brewing,brewpub,2000 Coastal Highway STE 105,Rehoboth Beach,Delaware,19971,-75.090191,38.7074994,Delaware,19971
3cross Fermentation Cooperative,micro,4 Knowlton Ave,Worcester,Massachusetts,01603,-71.83057593,42.24364875,Massachusetts,01603
3Halves Brewing Co,brewpub,110 E Kansas St,Liberty,Missouri,64068-2374,-94.4190247,39.2461993,Missouri,64068
3rd Degree Brewhouse,micro,1625 N Main St,Fuquay Varina,North Carolina,27526,-78.794223,35.5914556,North Carolina,27526
3rd Planet Brewing,micro,120 Partin Dr N,Niceville,Florida,32578-2053,,,Florida,32578
3rd Rock Brewing Company,micro,134 Industrial Park Dr,Trenton,North Carolina,28585-9593,-77.36749285,35.06939877,North Carolina,28585
3rd Turn Brewing,micro,10408 Watterson Trl,Louisville,Kentucky,40299-3702,-85.56656078,38.19322725,Kentucky,40299
3rd Wave Brewing Co,micro,501 N Bi State Blvd,Delmar,Delaware,19940-1106,,,Delaware,19940
4 By 4 Brewing Company,micro,2811 E Galloway St Ste A,Springfield,Missouri,65804-4601,-93.239889,37.147986,Missouri,65804
4 Hands Brewing Co,regional,1220 S 8th St,Saint Louis,Missouri,63104-3610,-90.19762012,38.61526593,Missouri,63104
4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,Broomfield,Colorado,80021-2521,,,Colorado,80021
4 Stitch Brewing Co,nano,7 192nd St SW,Bothell,Washington,98012,-122.2328187,47.82525617,Washington,98012
400 North Brewing,planning,,Sugarhill,Georgia,30518-7916,,,Georgia,30518
406 Brewing Company,micro,"101 E Oak St,Â Ste D",Bozeman,Montana,59715-2967,,,Montana,59715
411 Broadway Ales,planning,,Fresno,California,93721-2801,-119.7088613,36.7295295,California,93721
412 Brews,brewpub,706 Island Ave,Mc Kees Rocks,Pennsylvania,15136-3287,,,Pennsylvania,15136
42 North Brewing Company,brewpub,25 Pine St,East Aurora,New York,14052-1827,-78.607989,42.769311,New York,14052
4204 Main Street Brewing Co,brewpub,4204 W Main St,Belleville,Illinois,62226,-90.02053343,38.53796122,Illinois,62226
450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,Columbus,Indiana,47203-8106,,,Indiana,47203
47 Hills Brewing Co,brewpub,137 S Linden Ave,South San Francisco,California,94080-6410,-122.4136168,37.64425595,California,94080
49th State Brewing Co,micro,248.4 Parks Hwy 5 Mile,Healy,Alaska,99743,-149.017877,63.864759,Alaska,99743
49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave,Anchorage,Alaska,99501-2104,-149.8958196,61.2197366,Alaska,99501
4B's Brewery,brewpub,215 W Main St,Cedaredge,Colorado,81413-3339,-107.925782,38.900614,Colorado,81413
4J Brewing Company,micro,1348 Cedar Post Ln.,Houston,Texas,77055,,,Texas,77055
4kd Crick Brewery,brewpub,211 Carpenter Rd,Defiance,Ohio,43512-1718,-84.341647,41.296252,Ohio,43512
4th Tap Brewing Cooperative,micro,10615 Metric Blvd,Austin,Texas,78758-4520,-97.7118913,30.3852024,Texas,78758
5 Alarm Brewing Co,micro,211 W Main St,Lake Mills,Iowa,50450,-93.53398788,43.41926615,Iowa,50450
5 Lakes Brewing Co.,brewpub,1638 142nd Ave,Dorr,Michigan,49323-9312,-85.70445518,42.72497157,Michigan,49323
Barrie Brewing Company,planning,,Gainesville,Florida,32607-4807,,,Florida,32607
5 North Brewing Company,brewpub,6501 N Cedar Rd,Spokane,Washington,99208,-117.4328496,47.71758683,Washington,99208
5 Rabbit Cerveceria Inc,micro,6398 W 74th St,Chicago,Illinois,60638-6129,-87.6572069,41.7595502,Illinois,60638
5 Rights Brewing Co,micro,1514 3rd St,Marysville,Washington,98270,-122.1762906,48.05156015,Washington,98270
5 Rivers Brewing LLC,planning,,Spanish Fort,Alabama,36527-3161,-87.9152724,30.6749127,Alabama,36527
5 Seasons Brewing Co - Prado,brewpub,5600 Roswell Rd,Sandy Springs,Georgia,30342-1150,-84.3796711,33.9078086,Georgia,30342
