NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Horizon West CDP, Florida",12,32610,72283,34214,38069,35.4,38.6,34.0,26843.0,2806.0,4905.0,3689.0,2516.0,2873.0,9427.0,121007.0,122116.0,47425.0,61936,48493.0,23271,21596,21837,21444,393,Horizon Wes,Florida
"Immokalee CDP, Florida",12,33250,26843,14805,12038,30.0,29.8,30.3,26784.0,2761.0,4081.0,4019.0,3892.0,2822.0,386283.0,63685.0,61299.0,62056.0,27016,19485.0,10350,7227,7802,6970,832,Immokale,Florida
"Ives Estates CDP, Florida",12,34400,26784,12357,14427,36.6,32.2,39.0,954624.0,81365.0,154666.0,127300.0,114094.0,120363.0,10347.0,63017.0,78688.0,22310.0,31856,21649.0,7792,10559,9853,9427,426,Ives Estate,Florida
"Jacksonville city, Florida",12,35000,954624,464197,490427,36.6,35.3,38.3,24623.0,1903.0,3502.0,4138.0,1685.0,3367.0,8895.0,58621.0,72016.0,68590.0,36589,759046.0,305104,314631,422315,386283,36032,Jacksonville,Florida
"Jacksonville Beach city, Florida",12,35050,24623,12085,12538,39.1,40.5,38.7,20208.0,1474.0,3413.0,2120.0,3005.0,2761.0,25559.0,111067.0,126184.0,44922.0,43826,20110.0,7278,8307,11967,10347,1620,Jacksonville Beach,Florida
"Jasmine Estates CDP, Florida",12,35350,20208,8816,11392,41.4,41.2,42.0,60815.0,4223.0,5353.0,7983.0,6127.0,10989.0,19202.0,44079.0,52106.0,48824.0,35485,16567.0,5815,7247,10177,8895,1282,Jasmine Estate,Florida
"Jupiter town, Florida",12,35875,60815,29156,31659,50.6,50.9,49.8,52043.0,4107.0,5145.0,5366.0,7398.0,7719.0,33184.0,94354.0,111268.0,37494.0,46358,51561.0,17845,18102,31404,25559,5845,Jupiter,Florida
"Kendale Lakes CDP, Florida",12,36062,52043,25237,26806,50.3,47.8,52.2,81524.0,4850.0,10541.0,9262.0,11586.0,11317.0,12477.0,60319.0,61625.0,41701.0,35252,45561.0,15861,15105,19758,19202,556,Kendale Lake,Florida
"Kendall CDP, Florida",12,36100,81524,39598,41926,43.4,38.0,46.7,32188.0,2157.0,3788.0,3251.0,6024.0,5558.0,9325.0,76255.0,86898.0,25702.0,45388,66003.0,24912,24518,33932,33184,748,Kendal,Florida
"Kendall West CDP, Florida",12,36121,32188,14680,17508,48.8,46.8,50.6,25189.0,613.0,1665.0,3858.0,3917.0,4055.0,11961.0,59659.0,68591.0,76970.0,35367,27979.0,9974,11488,12772,12477,295,Kendall Wes,Florida
"Keystone CDP, Florida",12,36462,25189,12343,12846,44.8,47.4,44.0,26526.0,1187.0,4487.0,4283.0,2826.0,4525.0,25999.0,136789.0,142395.0,57181.0,86355,19780.0,7464,7956,10009,9325,684,Keyston,Florida
"Key West city, Florida",12,36550,26526,15276,11250,42.8,41.0,45.5,79440.0,7905.0,11727.0,11468.0,9676.0,7168.0,45548.0,62418.0,67297.0,72245.0,35273,22644.0,10202,7344,15684,11961,3723,Key West,Florida
"Kissimmee city, Florida",12,36950,79440,39327,40113,33.4,31.0,34.4,115401.0,12617.0,14618.0,13552.0,12693.0,13071.0,13536.0,42615.0,45105.0,46653.0,24580,59246.0,24384,25888,29099,25999,3100,Kissimmee,Florida
"Lakeland city, Florida",12,38250,115401,56475,58926,40.8,38.9,41.6,31356.0,1273.0,3359.0,4219.0,4254.0,4798.0,12318.0,55029.0,65515.0,34335.0,34313,95205.0,33819,35765,52994,45548,7446,Lakeland,Florida
"Lake Magdalene CDP, Florida",12,38350,31356,16092,15264,45.6,43.6,48.0,34914.0,3282.0,4479.0,4854.0,5731.0,4525.0,15959.0,65596.0,81394.0,33186.0,48286,25748.0,10222,8853,13668,13536,132,Lake Magdalen,Florida
"Lakeside CDP, Florida",12,38813,34914,16928,17986,42.4,43.2,42.1,40548.0,3563.0,2477.0,3846.0,6374.0,6230.0,14120.0,74701.0,78598.0,73014.0,35847,29395.0,11400,12452,13710,12318,1392,Lakesid,Florida
"Lakewood Ranch CDP, Florida",12,39067,40548,20823,19725,53.2,53.4,51.5,42510.0,4302.0,7741.0,6090.0,5890.0,3211.0,14247.0,87028.0,95798.0,30634.0,35036,34444.0,12546,10293,19734,15959,3775,Lakewood Ranc,Florida
"Lake Worth Beach city, Florida",12,39081,42510,22283,20227,31.7,34.6,29.8,38419.0,2202.0,4746.0,6430.0,5015.0,4468.0,36493.0,60857.0,50021.0,28912.0,25363,32440.0,15337,12924,16758,14120,2638,Lake Worth Beach,Florida
"Land O' Lakes CDP, Florida",12,39200,38419,20720,17699,40.8,37.5,44.0,82333.0,5320.0,11161.0,10711.0,9765.0,12395.0,11314.0,82861.0,103259.0,48742.0,42128,30064.0,13065,10774,14568,14247,321,Land O' Lake,Florida
"Largo city, Florida",12,39425,82333,39699,42634,46.3,45.9,47.2,35610.0,3697.0,3942.0,4510.0,2874.0,4867.0,26555.0,55228.0,69281.0,33891.0,38112,71022.0,25016,25776,46495,36493,10002,Largo,Florida
"Lauderdale Lakes city, Florida",12,39525,35610,15196,20414,36.5,36.0,37.2,73461.0,5706.0,9587.0,8002.0,9437.0,10411.0,8985.0,47488.0,57157.0,30998.0,24772,27642.0,8619,12356,13598,11314,2284,Lauderdale Lakes,Florida
"Lauderhill city, Florida",12,39550,73461,35729,37732,41.5,37.6,44.7,20410.0,1223.0,2841.0,2458.0,2761.0,3090.0,13798.0,44975.0,55630.0,35358.0,29769,59106.0,21522,23655,30956,26555,4401,Lauderhill,Florida
"Lealman CDP, Florida",12,39775,20410,10771,9639,44.9,43.6,45.7,27813.0,1079.0,2928.0,4694.0,2676.0,2589.0,40295.0,44827.0,56127.0,32411.0,33492,17250.0,7290,5624,11075,8985,2090,Lealma,Florida
"Leesburg city, Florida",12,39875,27813,13691,14122,50.3,50.7,47.3,126557.0,10735.0,17972.0,14721.0,14715.0,14232.0,7524.0,37330.0,72146.0,36944.0,29015,24031.0,7440,6813,16318,13798,2520,Leesburg,Florida
"Lehigh Acres CDP, Florida",12,39925,126557,62265,64292,34.9,35.0,34.8,24979.0,2804.0,3398.0,3242.0,3660.0,2383.0,11639.0,58422.0,63935.0,46630.0,34145,95985.0,38040,38531,42566,40295,2271,Lehigh Acre,Florida
"Leisure City CDP, Florida",12,39950,24979,13032,11947,32.2,29.8,34.7,22527.0,119.0,648.0,2191.0,2770.0,3014.0,9579.0,37543.0,53299.0,55233.0,27976,18712.0,8370,7848,7639,7524,115,Leisure Cit,Florida
"Liberty Triangle CDP, Florida",12,40387,22527,8971,13556,61.7,64.2,61.1,29785.0,2332.0,3280.0,3273.0,4323.0,4585.0,9177.0,63025.0,84153.0,31303.0,48566,19775.0,4149,5399,12758,11639,1119,Liberty Triangl,Florida
"Lutz CDP, Florida",12,41775,29785,15016,14769,36.9,37.8,35.9,20572.0,1990.0,1938.0,3427.0,2040.0,3594.0,9982.0,100688.0,109081.0,48775.0,46175,22646.0,9353,9685,9889,9579,310,Lut,Florida
"Lynn Haven city, Florida",12,41825,20572,9568,11004,38.0,38.0,38.0,22618.0,1091.0,6308.0,2913.0,2255.0,2555.0,22640.0,79297.0,102726.0,44560.0,40643,16624.0,6608,7352,9575,9177,398,Lynn Haven,Florida
"Maitland city, Florida",12,42575,22618,10349,12269,33.0,32.3,33.8,58005.0,4451.0,6678.0,8004.0,5418.0,9843.0,10888.0,82065.0,100978.0,32755.0,51774,17474.0,6711,8633,10521,9982,539,Maitland,Florida
"Margate city, Florida",12,43125,58005,26777,31228,44.1,42.6,46.4,37120.0,3335.0,7998.0,5517.0,3092.0,3374.0,36651.0,56696.0,67465.0,61695.0,30171,48284.0,16319,19134,25015,22640,2375,Margate,Florida
"Meadow Woods CDP, Florida",12,43800,37120,20179,16941,32.2,32.3,30.5,85091.0,6969.0,11686.0,10895.0,8222.0,12601.0,13800.0,69373.0,78138.0,39986.0,33132,29514.0,14115,11303,12696,10888,1808,Meadow Wood,Florida
"Melbourne city, Florida",12,43975,85091,42014,43077,42.7,43.0,42.5,33686.0,2766.0,2785.0,4620.0,3815.0,5124.0,192219.0,57132.0,67245.0,30524.0,36801,70791.0,27707,24678,40160,36651,3509,Melbourne,Florida
"Merritt Island CDP, Florida",12,44275,33686,16630,17056,47.1,44.3,50.7,439906.0,32551.0,80616.0,66177.0,56543.0,59175.0,40788.0,77982.0,104077.0,53714.0,43507,29073.0,10454,9881,16827,13800,3027,Merritt Islan,Florida
"Miami city, Florida",12,45000,439906,223073,216833,40.4,39.3,41.8,80673.0,4702.0,12279.0,12969.0,11866.0,10524.0,34332.0,48789.0,55218.0,54755.0,32008,381863.0,161059,142398,219775,192219,27556,Miami,Florida
"Miami Beach city, Florida",12,45025,80673,40562,40111,42.7,43.7,42.2,110881.0,7391.0,15379.0,15456.0,13083.0,15649.0,10706.0,55512.0,91008.0,36898.0,44650,69484.0,28196,25893,60872,40788,20084,Miami Beach,Florida
"Miami Gardens city, Florida",12,45060,110881,52668,58213,38.5,37.5,39.6,30383.0,1908.0,3112.0,4693.0,4934.0,5192.0,8812.0,54276.0,61734.0,36037.0,32439,86370.0,33069,36250,36204,34332,1872,Miami Gardens,Florida
"Miami Lakes town, Florida",12,45100,30383,14380,16003,44.8,43.5,46.6,20536.0,1501.0,1122.0,3615.0,2773.0,3071.0,5798.0,89301.0,93076.0,47476.0,48132,25240.0,9878,10359,10911,10706,205,Miami Lakes,Florida
"Midway CDP (Santa Rosa County), Florida",12,45465,20536,10049,10487,46.4,49.2,42.8,20850.0,1968.0,2844.0,3234.0,2635.0,1981.0,42707.0,81753.0,81932.0,35503.0,49614,17547.0,6474,6438,10096,8812,1284,Midway CDP (Santa Rosa Co,Florida
"Minneola city, Florida",12,45900,20850,11222,9628,29.8,27.5,29.9,135066.0,8195.0,21012.0,22048.0,19516.0,16922.0,7895.0,98145.0,100098.0,44128.0,41989,107068.0,6179,8195,5798,5798,0,Minneola,Florida
"Miramar city, Florida",12,45975,135066,67751,67315,39.8,38.0,39.9,20110.0,1206.0,2480.0,1634.0,1196.0,2594.0,7424.0,79282.0,87414.0,136472.0,41399,16945.0,46574,43527,44987,42707,2280,Miramar,Florida
"Mount Dora city, Florida",12,47050,20110,9459,10651,57.5,53.0,59.3,22296.0,3219.0,4269.0,2413.0,2409.0,1924.0,15726.0,66313.0,79033.0,40940.0,27636,17704.0,4334,4797,8317,7895,422,Mount Dora,Florida
"Myrtle Grove CDP, Florida",12,47550,22296,12617,9679,29.9,28.9,30.3,41823.0,2618.0,6133.0,5810.0,4651.0,6790.0,8747.0,43992.0,46613.0,39680.0,26412,31327.0,8950,6275,8470,7424,1046,Myrtle Grov,Florida
"Navarre CDP, Florida",12,48050,41823,21482,20341,36.6,33.8,39.1,21506.0,2163.0,1764.0,2325.0,2881.0,2903.0,16089.0,86742.0,90988.0,24789.0,45498,18169.0,13164,13427,16320,15726,594,Navarr,Florida
"New Port Richey city, Florida",12,48500,21506,10928,10578,45.9,39.0,51.4,31136.0,691.0,1798.0,2388.0,2713.0,7013.0,8137.0,42381.0,55864.0,37876.0,30286,26934.0,6802,6103,9869,8747,1122,New Port Richey,Florida
"New Smyrna Beach city, Florida",12,48625,31136,14839,16297,59.8,59.5,60.4,22482.0,645.0,459.0,4320.0,3163.0,2462.0,9405.0,58038.0,74408.0,50075.0,42324,15511.0,7041,7828,22099,16089,6010,New Smyrna Beach,Florida
"Nocatee CDP, Florida",12,48850,22482,11213,11269,39.5,39.1,40.9,23857.0,1815.0,3660.0,2808.0,3202.0,3013.0,21859.0,137438.0,139533.0,39786.0,61920,19929.0,5418,6201,8137,8137,0,Nocate,Florida
"Northdale CDP, Florida",12,49260,23857,11905,11952,40.2,34.9,47.9,47564.0,2764.0,2168.0,3049.0,5011.0,8962.0,15451.0,80569.0,94684.0,36420.0,47638,43502.0,8009,7226,9620,9405,215,Northdal,Florida
"North Fort Myers CDP, Florida",12,49350,47564,24085,23479,62.5,61.0,63.1,44232.0,5871.0,5015.0,6377.0,8408.0,4928.0,20179.0,50845.0,57287.0,43503.0,27113,36548.0,11967,11080,27307,21859,5448,North Fort Myer,Florida
"North Lauderdale city, Florida",12,49425,44232,20391,23841,40.7,40.9,40.6,59225.0,6180.0,9506.0,8147.0,8001.0,7478.0,15650.0,58709.0,67256.0,36050.0,29775,47912.0,13961,17564,16673,15451,1222,North Lauderdale,Florida
"North Miami city, Florida",12,49450,59225,29451,29774,37.0,36.8,37.5,42504.0,2932.0,6490.0,6332.0,6727.0,4609.0,30622.0,45238.0,53478.0,32366.0,31443,36155.0,19593,20354,21733,20179,1554,North Miami,Florida
"North Miami Beach city, Florida",12,49475,42504,22427,20077,41.5,40.1,43.9,80027.0,6498.0,6472.0,7243.0,11828.0,12595.0,17104.0,50271.0,54876.0,31272.0,26680,69365.0,14236,13758,19050,15650,3400,North Miami Beach,Florida
"North Port city, Florida",12,49675,80027,38292,41735,50.6,49.8,51.2,43666.0,3048.0,8056.0,6409.0,5405.0,5528.0,9987.0,68583.0,85645.0,45489.0,33569,33721.0,24083,23225,35149,30622,4527,North Port,Florida
"Oakland Park city, Florida",12,50575,43666,23037,20629,34.9,35.2,34.5,32948.0,1925.0,3115.0,6519.0,3685.0,2854.0,8161.0,53339.0,52138.0,56119.0,33867,23830.0,16009,13288,18247,17104,1143,Oakland Park,Florida
"Oakleaf Plantation CDP, Florida",12,50630,32948,16874,16074,38.1,33.2,39.6,26450.0,3646.0,4105.0,5231.0,1910.0,1864.0,24982.0,101897.0,103304.0,31153.0,41093,19561.0,9694,9528,9987,9987,0,Oakleaf Plantatio,Florida
"Oak Ridge CDP, Florida",12,50638,26450,14593,11857,28.3,25.2,34.3,64098.0,7797.0,7967.0,6551.0,7775.0,8851.0,15494.0,38607.0,35117.0,64331.0,19666,51017.0,9618,8355,9520,8161,1359,Oak Ridg,Florida
"Ocala city, Florida",12,50750,64098,32720,31378,37.6,37.8,37.3,47453.0,4107.0,7561.0,6963.0,5297.0,6722.0,130037.0,54857.0,70972.0,31600.0,32214,37613.0,20871,19500,28582,24982,3600,Ocala,Florida
"Ocoee city, Florida",12,51075,47453,22563,24890,36.5,33.4,38.6,309193.0,25731.0,67858.0,47291.0,41551.0,30813.0,18968.0,76555.0,80157.0,45657.0,31363,258748.0,15578,16173,15736,15494,242,Ocoee,Florida
"Orlando city, Florida",12,53000,309193,149826,159367,35.7,35.7,35.6,43523.0,1842.0,3316.0,4416.0,5371.0,6031.0,14214.0,54167.0,62424.0,47349.0,36186,36263.0,106620,113828,149940,130037,19903,Orlando,Florida
"Ormond Beach city, Florida",12,53150,43523,20566,22957,53.1,50.8,54.9,39549.0,2902.0,3515.0,6416.0,6730.0,5766.0,9639.0,61871.0,74774.0,42244.0,35822,31559.0,10446,11235,20681,18968,1713,Ormond Beach,Florida
"Oviedo city, Florida",12,53575,39549,20305,19244,40.9,39.3,43.2,27126.0,1390.0,3848.0,3372.0,3022.0,3266.0,45145.0,97696.0,112886.0,32358.0,49363,20963.0,13643,13139,14288,14214,74,Oviedo,Florida
"Pace CDP, Florida",12,53725,27126,13934,13192,39.1,39.3,37.7,122932.0,9842.0,14226.0,13932.0,14369.0,17483.0,27234.0,66721.0,77535.0,48072.0,45218,99653.0,8272,7691,9777,9639,138,Pac,Florida
"Palm Bay city, Florida",12,54000,122932,61988,60944,41.2,38.3,44.6,59449.0,2823.0,5235.0,5857.0,8162.0,8907.0,11545.0,54746.0,63478.0,37477.0,30342,51844.0,38249,37313,50159,45145,5014,Palm Bay,Florida
"Palm Beach Gardens city, Florida",12,54075,59449,29820,29629,51.8,50.1,53.5,31235.0,1566.0,2563.0,4222.0,4181.0,4506.0,36896.0,103315.0,140950.0,47451.0,53711,24844.0,17300,16243,30174,27234,2940,Palm Beach Gardens,Florida
"Palm City CDP, Florida",12,54175,31235,14546,16689,46.1,48.2,45.0,93845.0,6141.0,7672.0,9904.0,11707.0,13987.0,8510.0,90844.0,123405.0,35325.0,44779,80084.0,7864,9502,12012,11545,467,Palm Cit,Florida
"Palm Coast city, Florida",12,54200,93845,45426,48419,50.8,49.9,54.1,25059.0,1285.0,1447.0,4174.0,4189.0,3220.0,25002.0,60648.0,71097.0,17530.0,34280,18361.0,25356,26774,43228,36896,6332,Palm Coast,Florida
"Palmetto Bay village, Florida",12,54275,25059,12282,12777,40.5,43.3,39.6,59237.0,3575.0,7810.0,5602.0,7230.0,9522.0,10799.0,141607.0,178974.0,31804.0,63420,49784.0,7248,8100,8761,8510,251,Palmetto Bay vi,Florida
"Palm Harbor CDP, Florida",12,54350,59237,28816,30421,47.1,44.9,48.8,24689.0,1898.0,3853.0,5069.0,2816.0,3118.0,9088.0,64372.0,99260.0,20505.0,44060,20294.0,16326,18602,28605,25002,3603,Palm Harbo,Florida
"Palm River-Clair Mel CDP, Florida",12,54387,24689,11214,13475,37.5,38.5,36.5,26771.0,2657.0,3721.0,4067.0,3908.0,2612.0,14768.0,48318.0,48660.0,34695.0,31944,21019.0,8644,8601,11348,10799,549,Palm River-Clair Me,Florida
"Palm Springs village, Florida",12,54450,26771,14054,12717,37.6,34.7,41.2,34045.0,1798.0,5634.0,4182.0,3233.0,5338.0,10626.0,49068.0,61114.0,40300.0,29486,27004.0,9150,8236,10366,9088,1278,Palm Springs vi,Florida
"Panama City city, Florida",12,54700,34045,17258,16787,39.6,35.5,41.4,35272.0,3794.0,2127.0,3299.0,6059.0,6210.0,64378.0,57167.0,69957.0,30496.0,39425,27609.0,10669,10544,15617,14768,849,Panama City,Florida
"Parkland city, Florida",12,55125,35272,17287,17985,42.1,42.3,40.9,169388.0,13519.0,18726.0,23797.0,26435.0,25344.0,26119.0,177112.0,186698.0,36956.0,55721,145070.0,11793,11738,10765,10626,139,Parkland,Florida
"Pembroke Pines city, Florida",12,55775,169388,82424,86964,44.8,43.3,45.6,53685.0,4998.0,7479.0,5318.0,6747.0,6723.0,25752.0,76439.0,93947.0,31433.0,43313,45240.0,58122,54420,67317,64378,2939,Pembroke Pines,Florida
"Pensacola city, Florida",12,55925,53685,25274,28411,44.1,40.3,47.5,85927.0,8198.0,9373.0,11344.0,10439.0,10392.0,24001.0,51578.0,64203.0,38542.0,38255,62593.0,16970,15368,29134,26119,3015,Pensacola,Florida
"Pine Hills CDP, Florida",12,56825,85927,40535,45392,34.2,30.6,36.8,53206.0,3279.0,5052.0,7525.0,7069.0,8599.0,36564.0,42153.0,44069.0,46571.0,23802,45553.0,23456,28905,26423,25752,671,Pine Hill,Florida
"Pinellas Park city, Florida",12,56975,53206,26953,26253,48.2,47.0,49.5,92981.0,4801.0,11706.0,15785.0,11611.0,10981.0,14769.0,52047.0,69882.0,41930.0,35074,72238.0,16457,16023,27458,24001,3457,Pinellas Park,Florida
"Plantation city, Florida",12,57425,92981,44004,48977,39.6,38.9,40.4,39665.0,4063.0,4251.0,7089.0,4570.0,4933.0,21402.0,72955.0,93048.0,44413.0,41900,31286.0,27741,29526,38622,36564,2058,Plantation,Florida
"Plant City city, Florida",12,57550,39665,20063,19602,38.4,36.1,41.4,65257.0,8014.0,6314.0,10630.0,7286.0,6112.0,48363.0,53852.0,65504.0,41403.0,31032,54288.0,13405,12968,15404,14769,635,Plant City,Florida
"Poinciana CDP, Florida",12,57900,65257,30309,34948,39.9,39.5,41.1,111356.0,6679.0,16810.0,16324.0,12947.0,17889.0,29120.0,57296.0,56776.0,30997.0,24163,94860.0,18754,22003,25796,21402,4394,Poincian,Florida
"Pompano Beach city, Florida",12,58050,111356,57329,54027,41.8,42.2,41.7,65671.0,4325.0,5561.0,5686.0,7241.0,12098.0,29385.0,53737.0,65401.0,47877.0,36080,58527.0,38349,35179,61793,48363,13430,Pompano Beach,Florida
"Port Charlotte CDP, Florida",12,58350,65671,30857,34814,56.3,56.0,56.7,63486.0,6255.0,7183.0,6442.0,8242.0,9621.0,9846.0,54814.0,65617.0,48423.0,28856,55285.0,16824,19803,33195,29120,4075,Port Charlott,Florida
"Port Orange city, Florida",12,58575,63486,31813,31673,47.1,47.3,46.9,26841.0,2601.0,3400.0,2195.0,4115.0,6962.0,77190.0,60572.0,76750.0,35221.0,35408,24444.0,20092,19026,31497,29385,2112,Port Orange,Florida
"Port St. John CDP, Florida",12,58700,26841,12274,14567,52.5,54.4,50.7,217535.0,15909.0,27617.0,29451.0,26693.0,31236.0,12618.0,77606.0,85318.0,49031.0,40068,179892.0,8806,10759,10570,9846,724,Port St. Joh,Florida
"Port St. Lucie city, Florida",12,58715,217535,108164,109371,43.1,41.1,44.5,38795.0,3272.0,4519.0,6598.0,7804.0,3583.0,10311.0,71381.0,80573.0,31587.0,35568,30646.0,67959,68424,84820,77190,7630,Port St. Lucie,Florida
"Princeton CDP, Florida",12,58975,38795,19886,18909,37.2,36.9,38.1,20321.0,656.0,639.0,1010.0,962.0,3478.0,11437.0,69305.0,70757.0,39859.0,32812,19103.0,13662,13080,13133,12618,515,Princeto,Florida
"Punta Gorda city, Florida",12,59200,20321,9675,10646,68.7,69.6,67.5,43334.0,2573.0,4131.0,8002.0,5326.0,4555.0,40114.0,81593.0,96801.0,53769.0,40100,32581.0,3610,3657,13079,10311,2768,Punta Gorda,Florida
"Richmond West CDP, Florida",12,60230,43334,21364,21970,38.4,36.7,40.1,114560.0,7704.0,18737.0,17754.0,16626.0,11892.0,14098.0,92344.0,93723.0,40044.0,33147,88037.0,12338,13279,11646,11437,209,Richmond Wes,Florida
"Riverview CDP, Florida",12,60950,114560,56864,57696,35.6,34.7,37.4,38069.0,4256.0,5447.0,4815.0,3973.0,5522.0,10734.0,81195.0,89329.0,43675.0,46689,31836.0,37859,37384,42959,40114,2845,Rivervie,Florida
"Riviera Beach city, Florida",12,60975,38069,18456,19613,39.0,39.1,39.0,28311.0,2218.0,4955.0,3570.0,3532.0,3201.0,14261.0,51681.0,68167.0,49048.0,31235,22816.0,12406,12253,18667,14098,4569,Riviera Beach,Florida
"Rockledge city, Florida",12,61500,28311,13855,14456,39.1,37.1,39.8,39042.0,2201.0,5663.0,4885.0,4618.0,4020.0,7592.0,81227.0,99402.0,64042.0,41247,30827.0,9494,8384,12575,10734,1841,Rockledge,Florida
"Royal Palm Beach village, Florida",12,62100,39042,18499,20543,38.7,37.2,40.6,21233.0,2406.0,3099.0,3280.0,1766.0,2462.0,19556.0,70985.0,71780.0,42500.0,41014,15937.0,10450,12418,14596,14261,335,Royal Palm Beach vi,Florida
"Ruskin CDP, Florida",12,62275,21233,10512,10721,32.7,33.1,32.5,62045.0,4298.0,9170.0,10487.0,8370.0,7296.0,111349.0,64400.0,73441.0,56253.0,35581,49864.0,6649,7052,9056,7592,1464,Ruski,Florida
"St. Cloud city, Florida",12,62625,62045,32972,29073,37.1,36.6,37.8,258214.0,16590.0,41950.0,33209.0,31713.0,35492.0,25791.0,70876.0,75948.0,19726.0,35931,216896.0,22519,20055,20987,19556,1431,St. Cloud,Florida
"St. Petersburg city, Florida",12,63000,258214,123464,134750,41.9,41.1,42.6,60676.0,6153.0,10649.0,9269.0,7204.0,7030.0,23885.0,64141.0,79734.0,35395.0,39579,49721.0,78242,86542,137046,111349,25697,St. Petersburg,Florida
"Sanford city, Florida",12,63650,60676,29668,31008,37.1,37.0,37.3,54756.0,4620.0,7209.0,4729.0,6159.0,6817.0,11651.0,50948.0,57672.0,56531.0,32720,47408.0,20216,21245,27946,25791,2155,Sanford,Florida
"Sarasota city, Florida",12,64175,54756,25102,29654,47.8,46.0,49.9,25701.0,953.0,2315.0,2434.0,2767.0,5289.0,9756.0,70692.0,86052.0,48097.0,33658,22936.0,14049,17027,31240,23885,7355,Sarasota,Florida
"Sebastian city, Florida",12,64825,25701,12458,13243,57.7,57.2,58.4,25271.0,2557.0,1827.0,4444.0,3990.0,4160.0,10193.0,60225.0,65660.0,26836.0,47352,21502.0,6984,6774,13291,11651,1640,Sebastian,Florida
"Silver Springs Shores CDP, Florida",12,66175,25271,11008,14263,43.3,39.2,52.1,22262.0,1688.0,2948.0,2049.0,2385.0,4108.0,11729.0,53975.0,61898.0,27787.0,39134,19534.0,7203,10698,10704,9756,948,Silver Springs Shore,Florida
"South Bradenton CDP, Florida",12,67258,22262,10237,12025,51.1,50.8,51.5,40245.0,2892.0,7049.0,4219.0,6172.0,5212.0,46360.0,45253.0,54246.0,56843.0,34642,32699.0,6615,6869,12889,10193,2696,South Bradento,Florida
"South Miami Heights CDP, Florida",12,67575,40245,20507,19738,40.8,33.2,44.0,123509.0,8663.0,14749.0,15465.0,15250.0,16841.0,15498.0,63479.0,71668.0,53314.0,28547,102506.0,13782,12621,12398,11729,669,South Miami Height,Florida
"Spring Hill CDP, Florida",12,68350,123509,60302,63207,44.5,41.4,45.9,27851.0,355.0,1527.0,1162.0,1630.0,2689.0,35166.0,59363.0,68782.0,187191.0,32092,26610.0,36537,37240,48653,46360,2293,Spring Hil,Florida
"Sun City Center CDP, Florida",12,69250,27851,11763,16088,70.7,70.8,70.7,96031.0,7838.0,13119.0,11584.0,11727.0,12626.0,84920.0,59866.0,78575.0,51032.0,50222,77156.0,2792,4581,17907,15498,2409,Sun City Cente,Florida
"Sunrise city, Florida",12,69700,96031,44827,51204,39.6,39.0,41.1,197103.0,52160.0,31152.0,24686.0,16528.0,16122.0,29065.0,66184.0,77974.0,32563.0,37757,169439.0,26012,33742,40831,35166,5665,Sunrise,Florida
"Tallahassee city, Florida",12,70600,197103,92682,104421,29.6,28.8,30.2,71522.0,5156.0,7927.0,8752.0,8999.0,10230.0,17783.0,51224.0,76259.0,30032.0,28483,58555.0,66482,78497,95467,84920,10547,Tallahassee,Florida
"Tamarac city, Florida",12,70675,71522,32989,38533,43.7,41.8,47.5,53544.0,5036.0,5163.0,6136.0,9211.0,9845.0,159925.0,59885.0,72185.0,27290.0,36696,46384.0,21669,21680,32750,29065,3685,Tamarac,Florida
"Tamiami CDP, Florida",12,70700,53544,26681,26863,48.2,44.4,50.9,387037.0,37181.0,69913.0,56169.0,45440.0,42276.0,11583.0,66416.0,67849.0,77617.0,31707,313221.0,18945,17371,18374,17783,591,Tamiam,Florida
"Tampa city, Florida",12,71000,387037,190098,196939,35.8,35.6,35.9,25558.0,1173.0,2382.0,2834.0,2814.0,5306.0,10498.0,63404.0,80390.0,32743.0,41792,23055.0,129657,128671,172886,159925,12961,Tampa,Florida
"Tarpon Springs city, Florida",12,71150,25558,12170,13388,56.0,53.6,57.2,27016.0,2661.0,5544.0,4102.0,2358.0,2619.0,11258.0,72234.0,79449.0,58614.0,46418,21992.0,7174,7883,13407,11583,1824,Tarpon Springs,Florida
"Temple Terrace city, Florida",12,71400,27016,13121,13895,33.1,31.9,33.7,35872.0,2517.0,4202.0,5379.0,5542.0,6954.0,7901.0,73125.0,81673.0,34735.0,42167,30378.0,8913,9382,10985,10498,487,Temple Terrace,Florida
"The Acreage CDP, Florida",12,71564,35872,18016,17856,44.2,44.7,42.7,20827.0,1705.0,3103.0,2078.0,2875.0,4053.0,19406.0,88256.0,115078.0,75047.0,40721,17992.0,12823,12692,12308,11258,1050,The Acreag,Florida
"The Crossings CDP, Florida",12,71567,20827,10081,10746,43.9,40.5,44.4,52742.0,3888.0,5953.0,6839.0,8708.0,9102.0,47527.0,85358.0,102940.0,24517.0,43330,44741.0,7614,7143,8168,7901,267,The Crossing,Florida
"The Hammocks CDP, Florida",12,71569,52742,25473,27269,46.0,45.1,47.7,80691.0,52.0,237.0,847.0,1038.0,7703.0,21358.0,74392.0,77102.0,38860.0,41415,80691.0,18081,17410,19971,19406,565,The Hammock,Florida
