name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent
122 West Brewing Co,closed,2416 Meridian St,Bellingham,Washington,98225-2405,-122.485982,48.7621709,Washington,98225,22,"Bellingham city, Washington",53.0,5280.0,40653.0,7524.0,12648.0,39467.0,39467.0,42984.0,42984.0,55540.0,94.6,27776.0,47.3,81123.0,81123.0,40653.0,58597.0,88892.0,18943.0,96157.0,124483.0,39815.0,21710.0,43464.0,56621.0,-888888888.0,9.8,-888888888.0,19.8,42715.0,42715.0,42715.0,42715.0,92290.0,70077.0,75.9,8334.0,9.0,37764.0,47.6,41615.0,52.4
13 Below Brewery,micro,7391 Forbes Rd,Cincinnati,Ohio,45233-1013,-84.70634815,39.12639764,Ohio,45233,26,"Cincinnati city, Ohio",39.0,15000.0,144929.0,37940.0,61503.0,117604.0,117604.0,134700.0,134700.0,180960.0,89.8,82884.0,41.1,249792.0,249792.0,144929.0,42733.0,71913.0,61170.0,61707.0,98347.0,34519.0,83759.0,32643.0,51489.0,-888888888.0,21.2,-888888888.0,27.3,160420.0,160420.0,160420.0,160420.0,308913.0,225860.0,73.1,20472.0,6.6,112574.0,46.3,130417.0,53.7
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,Portland,Oregon,97202-5518,-122.6487531,45.4762536,Oregon,97202,28,"Portland city, Oregon",41.0,59000.0,286734.0,65543.0,82822.0,274072.0,274072.0,278814.0,278814.0,452051.0,93.3,263232.0,54.3,546399.0,546399.0,286734.0,79057.0,108391.0,138910.0,104230.0,138450.0,49003.0,147824.0,55849.0,76193.0,-888888888.0,6.4,-888888888.0,12.0,303483.0,303483.0,303483.0,303483.0,642218.0,515575.0,80.3,31016.0,4.8,264448.0,49.4,270792.0,50.6
14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205-2235,-104.9839636,39.7614112,Colorado,80205,32,"Denver city, Colorado",8.0,20000.0,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643.0,592643.0,326634.0,81630.0,115122.0,152927.0,105365.0,145483.0,52690.0,173707.0,63720.0,85674.0,-888888888.0,8.2,-888888888.0,11.6,351829.0,351829.0,351829.0,351829.0,711463.0,558313.0,78.5,35211.0,4.9,291170.0,50.3,287833.0,49.7
1717 Brewing Co,micro,322 E Court Ave,Des Moines,Iowa,50309-2015,-93.6120353,41.5872267,Iowa,50309,38,"Des Moines city, Iowa",19.0,21000.0,90416.0,21186.0,28600.0,84937.0,84937.0,87199.0,87199.0,123987.0,87.4,39276.0,27.7,169315.0,169315.0,90416.0,60693.0,75671.0,49210.0,73761.0,89237.0,33498.0,41206.0,42586.0,56353.0,-888888888.0,8.2,-888888888.0,13.2,97957.0,97957.0,97957.0,97957.0,212333.0,155645.0,73.3,13747.0,6.5,81749.0,49.6,83011.0,50.4
1840 Brewing Company,micro,342 E Ward St,Milwaukee,Wisconsin,53207-1348,-87.90606942,43.00436242,Wisconsin,53207,43,"Milwaukee city, Wisconsin",55.0,53000.0,232362.0,59623.0,91583.0,211765.0,211765.0,234419.0,234419.0,307384.0,86.2,97240.0,27.3,436763.0,436763.0,232362.0,46637.0,64459.0,125691.0,51513.0,71734.0,26998.0,106671.0,37552.0,52789.0,-888888888.0,20.1,-888888888.0,23.8,257812.0,257812.0,257812.0,257812.0,569326.0,391192.0,68.7,45091.0,7.9,199484.0,47.3,222454.0,52.7
18th Street Brewery,micro,5417 Oakley Ave,Hammond,Indiana,46320-1817,-87.517422,41.61556796,Indiana,46320,46,"Hammond city, Indiana",18.0,31000.0,30737.0,6588.0,10507.0,30385.0,30385.0,33266.0,33266.0,43505.0,81.6,6075.0,11.4,62593.0,62593.0,30737.0,46248.0,63852.0,19485.0,55884.0,73836.0,26153.0,11252.0,35037.0,39263.0,-888888888.0,15.0,-888888888.0,17.0,33703.0,33703.0,33703.0,33703.0,76991.0,56899.0,73.9,5251.0,6.8,29566.0,48.4,31509.0,51.6
1912 Brewing,micro,2045 N Forbes Blvd Ste 105,Tucson,Arizona,85745-1444,-110.9927505,32.24673727,Arizona,85745,48,"Tucson city, Arizona",4.0,77000.0,223068.0,53018.0,68387.0,223284.0,223284.0,227326.0,227326.0,308500.0,88.1,101720.0,29.1,445020.0,445020.0,223068.0,50306.0,67355.0,126496.0,61461.0,78995.0,27821.0,96572.0,35798.0,46880.0,-888888888.0,14.1,-888888888.0,19.0,242816.0,242816.0,242816.0,242816.0,543215.0,398349.0,73.3,42346.0,7.8,213982.0,49.6,217080.0,50.4
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,Santa Rosa,California,95401-6399,-122.7167729,38.4387767,California,95401,58,"Santa Rosa city, California",6.0,70098.0,68686.0,11994.0,19127.0,72715.0,72715.0,75767.0,75767.0,105721.0,84.4,43958.0,35.1,145676.0,145676.0,68686.0,86459.0,111487.0,43259.0,105179.0,130636.0,43653.0,25427.0,52281.0,73266.0,-888888888.0,7.0,-888888888.0,11.1,71553.0,71553.0,71553.0,71553.0,176942.0,133935.0,75.7,12588.0,7.1,68649.0,48.5,72823.0,51.5
21st Amendment Brewery,regional,2010 Williams St Unit A,San Leandro,California,94577-2334,-122.1772928,37.71130036,California,94577,65,"San Leandro city, California",6.0,68084.0,30977.0,6033.0,8913.0,38229.0,38229.0,39280.0,39280.0,56038.0,83.5,20292.0,30.2,75968.0,75968.0,30977.0,84017.0,106970.0,20043.0,97777.0,123811.0,39188.0,10934.0,35321.0,66330.0,-888888888.0,5.3,-888888888.0,8.8,32100.0,32100.0,32100.0,32100.0,88878.0,72425.0,81.5,4485.0,5.0,36585.0,49.0,38076.0,51.0
21st Amendment Brewery Cafe,brewpub,563 2nd St,San Francisco,California,94107-1411,-122.3925769,37.782448,California,94107,66,"San Francisco city, California",6.0,67000.0,350796.0,89479.0,95377.0,367492.0,367492.0,351430.0,351430.0,577897.0,89.2,394580.0,60.9,713617.0,713617.0,350796.0,121826.0,181909.0,170287.0,150429.0,224909.0,80383.0,180509.0,91445.0,136860.0,-888888888.0,6.7,-888888888.0,11.3,412269.0,412269.0,412269.0,412269.0,815201.0,682312.0,83.7,30564.0,3.7,358628.0,51.1,342546.0,48.9
23rd Street Brewery,brewpub,3512 Clinton Pkwy,Lawrence,Kansas,66047-2145,-95.28093353,38.9429674,Kansas,66047,70,"Lawrence city, Kansas",20.0,38900.0,41041.0,13409.0,11087.0,42240.0,42240.0,40316.0,40316.0,54907.0,95.6,31169.0,54.3,81488.0,81488.0,41041.0,52475.0,70690.0,18295.0,78853.0,97796.0,31804.0,22746.0,34150.0,46835.0,-888888888.0,14.8,-888888888.0,20.7,44551.0,44551.0,44551.0,44551.0,95251.0,69376.0,72.8,10721.0,11.3,40785.0,51.0,39217.0,49.0
