name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id
Adventure Brewing Co,micro,33 Perchwood Dr Ste 101,Fredericksburg,Virginia,22405-4552,,,Virginia,22405,214
Adventure South,brewpub,3300 Dill Smith Dr,Fredericksburg,Virginia,22408-7319,,,Virginia,22408,215
Against the Grain Beer Garden,planning,,Louisville,Kentucky,40217,,,Kentucky,40217,221
Agonic Brewing Company LLC,planning,,Rice Lake,Wisconsin,54868-8786,,,Wisconsin,54868,224
Ahnapee Brewery,micro,N9153 Cherry Tree Rd Apt 4,Algoma,Wisconsin,54201-9501,,,Wisconsin,54201,226
Akasha Brewing Company,micro,909 E Market St Ste 700,Louisville,Kentucky,40206-1688,,,Kentucky,40206,233
Akwesasne Mohawk Casino Resort,planning,,Akwesasne,New York,13655-1800,,,New York,13655,235
Alarmist Brewing Co,micro,4055 W Peterson Ave Ste REAR,Chicago,Illinois,60646-6072,,,Illinois,60646,240
Albright Grove Brewing Company,planning,,Townsend,Tennessee,37882,,,Tennessee,37882,245
"Alcazar Brewery, LLC.",planning,,Rio Grande City,Texas,78582-4450,,,Texas,78582,247
Alchemist Cannery,regional,35 Crossroad,Waterbury,Vermont,05676-9003,,,Vermont,05676,248
Ale Republic,micro,28 Arroyo Seco,Cedar Crest,New Mexico,87008,,,New Mexico,87008,253
Ale Spike,closed,9300 271st St NW Ste B-5,Stanwood,Washington,98292,,,Washington,98292,254
Alematic Artisan Ales,planning,,Huber Heights,Ohio,45424-3857,,,Ohio,45424,257
Alewerks Brewing Company,micro,197 Ewell Rd,Williamsburg,Virginia,23188-2185,,,Virginia,23188,262
Alexandria Brewing Company,micro,7926 Alexandria Pike Ste 1,Alexandria,Kentucky,41001-1454,,,Kentucky,41001,264
Alien Brewpub,brewpub,6601 Uptown Blvd NE Ste B,Albuquerque,New Mexico,87110-4207,,,New Mexico,87110,266
All Saints Brewing Co,micro,1602 State Route 119,Greensburg,Pennsylvania,15601-7317,,,Pennsylvania,15601,269
Alphabet City Brewing Co,contract,96 Avenue C Frnt 4,New York,New York,10009-7055,,,New York,10009,289
Alpine Dog Brewing Co,micro,1505 N Ogden St,Denver,Colorado,80218-1405,,,Colorado,80218,292
Alter Brewing Company,micro,2300 Wisconsin Ave Ste 213,Downers Grove,Illinois,60515-2234,,,Illinois,60515,296
Altmeyer and Lewis Brewing Company,micro,15898 N Hwy 123,San Marcos,Texas,78666-2418,,,Texas,78666,299
Altruist Brewing Company,brewpub,559 Main St Unit 105,Sturbridge,Massachusetts,01518-1208,,,Massachusetts,01518,300
Alvarium Beer Company,micro,365 John Downey Dr Ste B,New Britain,Connecticut,06051-2922,,,Connecticut,06051,304
Amalgam Brewing,proprietor,6381 Beach St Unit A,Denver,Colorado,80221-2036,,,Colorado,80221,306
